syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,pos,comp_struct,nomen,comp_len,Word,stress_class
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,KCCDC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,ø,7,7,7,10,12,3,3,3,3,4,1,light,schwa,light,schwa,light,c,o,o,c,c,KC,CK,CL,CKC,CDC,,C,C,C,C,C,,,C,C,K,K,L,K,D,2,2,2,3,4,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,VC,CV,CVV,CVC,CVVC,1,1,0,2,1,N,A,T,1,Abgewogenheit,prima
ø,ent,t,ø,ø,ø,ø,C,CC,KCC,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCL,KCLC,KCLCL,ø,6,9,9,12,10,6,4,4,6,3,1,light,light,light,light,heavy,c,o,o,o,c,K,CL,CL,CL,ø,,C,C,C,,,,,,CC,K,L,L,L,K,2,1,2,2,3,1,0,0,0,2,0,1,1,1,0,1,2,2,2,1,VC,CVV,CVV,CVV,ø,1,0,0,0,2,N,N,T,1,Abiturient,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,ALCKC,ø,ø,ab,a,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,acc,7,14,9,9,13,3,7,4,4,4,0,light,light,light,light,schwa,c,o,o,o,c,KC,CL,CL,AL,CKC,,C,C,A,C,C,,,,C,K,L,L,L,K,2,2,2,3,3,1,0,0,0,1,0,1,1,1,1,1,2,2,2,1,VC,CVV,CVV,CVV,CVC,1,0,0,0,2,V,V,F,1,abjudizieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ab,a,ø,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,9,13,3,3,4,4,4,1,light,light,light,light,schwa,c,c,c,o,c,KC,CK,CKC,CL,CKC,,C,C,C,C,C,,C,,C,K,K,K,L,K,2,3,3,3,3,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVC,CVV,CVC,1,2,2,0,2,V,V,F,1,abkommandieren,prima
ø,ø,n,en,ø,ø,ø,C,KC,ø,ø,ø,ø,ø,ab,a,ø,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,11,11,9,3,3,3,5,4,0,light,light,schwa,light,schwa,c,c,c,o,c,KC,CKC,CKC,CD,KC,,C,C,C,,C,C,C,,C,K,K,K,D,K,2,3,3,3,2,1,1,1,0,1,0,1,1,1,0,1,1,1,2,1,VC,CVC,CVC,CVV,VC,1,2,2,0,1,V,V,F,1,abkonterfeien,prima
ø,ø,a,ø,ø,ø,ø,L,CL,ø,ø,ø,ø,A,ø,A,ø,ø,ø,ø,L,LC,ø,ø,ø,ø,10,11,7,11,15,10,3,3,5,5,1,light,light,light,light,light,o,c,c,o,o,L,CCK,CK,CL,ø,,CC,C,C,CC,,,,,,L,K,K,L,L,1,3,2,2,3,0,1,1,0,0,0,2,1,1,2,2,1,1,2,2,VV,CCVC,CVC,CVV,ø,0,3,2,0,1,N,ø,T,0,Abrakadabra,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ab,a,ø,ø,ø,ø,K,KC,KCC,KCCL,ø,acc,7,10,6,9,13,3,5,6,4,4,1,light,light,light,light,schwa,c,o,c,o,c,KC,CL,K,CL,CKC,,C,,C,C,C,,,,C,K,L,K,L,K,2,2,1,3,3,1,0,1,0,1,0,1,0,1,1,1,2,1,2,1,VC,CVV,VC,CVV,CVC,1,0,1,0,2,V,V,F,1,abreagieren,prima
on,ø,n,on,ion,tion,ø,C,LC,LLC,ALLC,ø,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,9,9,3,3,6,4,4,0,light,light,light,light,light,c,o,o,o,c,KC,CL,CL,AL,LC,,C,C,A,,C,,,,C,K,L,L,L,L,2,2,2,2,2,1,0,0,0,1,0,1,1,1,0,1,2,2,2,2,VC,CVV,CVV,CVV,VVC,1,0,0,0,0,N,R,T,1,Absolution,ultima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,noacc,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,10,12,3,3,6,3,4,1,light,light,light,light,light,c,o,o,c,c,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,2,2,2,3,3,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,N,A,T,1,Absolutismus,paenultima
ø,ø,h,ch,sch,isch,tisch,C,KC,CKC,CCKC,KCCKC,ø,ø,ab,a,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,10,10,3,3,6,3,3,0,light,light,light,light,light,c,o,o,c,c,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,2,2,2,2,6,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,A,A,F,1,absolutistisch,paenultima
