syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,g,ng,ung,sung,ssung,C,KC,CKC,LCKC,CLCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,13,12,5,4,4,1,light,light,light,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,6,4,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,V,T,1,Erschliessung,paenultima
fen,ø,n,en,fen,pfen,ø,C,KC,AKC,KAKC,CKAKC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCK,KCCKA,noacc,10,7,10,5,3,3,0,light,light,schwa,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,5,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,erschoepfen,paenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,ø,ø,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCK,KCCKA,noacc,10,8,15,5,2,5,2,light,light,light,c,c,c,KC,ø,CLC,,C,C,C,A,C,K,K,L,2,6,3,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,A,V,F,1,erschoepfbar,paenultima
lich,ø,h,ch,ich,lich,ø,C,KC,CKC,ø,ø,noacc,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCK,KCCKA,noacc,10,8,13,5,2,4,1,light,light,light,c,c,c,KC,ø,CKC,,C,C,C,A,C,K,K,K,2,6,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,A,V,F,1,erschoepflich,paenultima
fung,ø,g,ng,ung,fung,ø,C,KC,AKC,KAKC,CKAKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,7,12,5,3,4,1,light,light,light,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,5,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Erschoepfung,paenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,11,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,5,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erschrecken,paenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,11,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,5,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erschrecken,paenultima
ø,ø,d,nd,end,ø,ø,C,CC,KCC,CKCC,KCKCC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,ø,10,11,11,5,3,2,0,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,5,5,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,A,F,F,1,erschreckend,paenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCK,KCCKC,noacc,10,9,14,5,4,3,2,light,light,schwa,c,c,c,KC,CK,CKCC,,C,C,C,,CC,K,K,K,2,5,4,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,V,V,F,1,erschuettern,paenultima
ø,ø,d,nd,ø,ø,ø,C,CC,ø,ø,ø,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCK,KCCKC,ø,10,9,15,5,4,3,2,light,light,schwa,c,c,c,KC,CK,ø,,C,C,C,,CCC,K,K,K,2,5,5,1,1,3,0,1,1,1,1,1,VC,CVC,ø,1,2,4,A,F,F,1,erschuetternd,paenultima
ren,ø,n,en,ren,eren,ø,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCL,noacc,10,8,13,5,2,4,1,light,light,schwa,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,5,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,A,F,1,erschweren,paenultima
ø,ø,d,nd,end,ø,ø,C,CC,KCC,CKCC,LCKCC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCL,ø,10,8,14,5,2,3,2,light,light,schwa,c,o,c,KC,CCL,CKCC,,CC,C,C,,CC,K,L,K,2,5,4,1,0,2,0,2,1,1,2,1,VC,CCVV,CVCC,1,1,3,A,F,F,1,erschwerend,paenultima
nis,nis,s,is,nis,ø,ø,C,KC,CKC,CCKC,LCCKC,noacc,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,12,12,5,3,4,1,light,light,light,c,c,c,KC,CCLC,CKC,,CC,C,C,C,C,K,L,K,2,6,3,1,1,1,0,2,1,1,2,1,VC,CCVVC,CVC,1,1,2,N,V,T,1,Erschwernis,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,8,15,5,2,5,2,light,light,light,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,5,4,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,V,T,1,Erschwerung,paenultima
deln,ø,n,ln,eln,deln,ndeln,C,CC,KCC,CKCC,CCKCC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,13,14,5,3,3,2,light,light,schwa,c,c,c,KC,CCKC,CKCC,,CC,C,C,C,CC,K,K,K,2,6,4,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,erschwindeln,paenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,10,12,5,3,4,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,6,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erschwingen,paenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,CCLC,KCCLC,ø,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,13,15,5,3,5,2,light,light,light,c,c,c,KC,CCKC,CLC,,CC,C,C,C,C,K,K,L,2,7,3,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,A,V,F,1,erschwingbar,paenultima
lich,ø,h,ch,ich,lich,glich,C,KC,CKC,CCKC,KCCKC,noacc,er,er,e,er,ers,ersc,ersch,K,KC,KCC,KCCC,KCCCK,noacc,10,13,13,5,3,4,1,light,light,light,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,7,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,A,V,F,1,erschwinglich,paenultima
hen,ø,n,en,hen,ehen,ø,C,KC,LKC,CLKC,CCLKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCL,KCCLK,noacc,10,7,9,5,3,4,-1,light,light,schwa,c,o,c,KC,CL,KC,,C,,C,,C,K,L,K,2,2,3,1,0,1,0,1,0,1,2,1,VC,CVV,VC,1,0,1,V,V,F,1,ersehen,paenultima
nen,ø,n,en,nen,hnen,ehnen,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCL,KCCLC,noacc,10,7,12,5,3,4,1,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,ersehnen,paenultima
zen,ø,n,en,zen,tzen,etzen,C,KC,AKC,KAKC,CKAKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,7,10,5,3,3,0,light,light,schwa,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,ersetzen,paenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,ø,ø,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,8,15,5,2,5,2,light,light,light,c,c,c,KC,ø,CLC,,C,C,C,A,C,K,K,L,2,4,3,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,A,V,F,1,ersetzbar,paenultima
lich,ø,h,ch,ich,lich,ø,C,KC,CKC,ø,ø,noacc,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,8,13,5,2,4,1,light,light,light,c,c,c,KC,ø,CKC,,C,C,C,A,C,K,K,K,2,4,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,A,V,F,1,ersetzlich,paenultima
zung,ø,g,ng,ung,zung,tzung,C,KC,AKC,KAKC,CKAKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,7,12,5,3,4,1,light,light,light,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Ersetzung,paenultima
lich,ø,h,ch,ich,lich,tlich,C,KC,CKC,CCKC,CCCKC,noacc,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKC,noacc,10,11,13,5,2,4,1,light,heavy,light,c,c,c,KC,CKCC,CKC,,C,C,C,CC,C,K,K,K,2,5,4,1,2,1,0,1,1,1,1,1,VC,CVCC,CVC,1,3,2,A,N,F,1,ersichtlich,paenultima
nen,ø,n,en,nen,nnen,ø,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKC,noacc,10,9,12,5,4,4,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,ersinnen,paenultima
lich,ø,h,ch,ich,lich,ø,C,KC,CKC,CCKC,KCCKC,noacc,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKC,noacc,10,12,13,5,4,4,1,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,4,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,A,V,F,1,ersinnlich,paenultima
zen,ø,n,en,zen,tzen,itzen,C,KC,AKC,KAKC,CKAKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,9,10,5,4,3,0,light,light,schwa,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,ersitzen,paenultima
zung,ø,g,ng,ung,zung,tzung,C,KC,AKC,KAKC,CKAKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCK,KCCKA,noacc,10,9,12,5,4,4,1,light,light,light,c,c,c,KC,CK,AKC,,C,A,C,,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Ersitzung,paenultima
hen,ø,n,en,hen,ehen,ø,C,KC,LKC,CLKC,CCLKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,8,9,5,2,4,-1,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,V,V,F,1,erspaehen,paenultima
ren,ø,n,en,ren,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,12,13,5,4,4,1,light,light,schwa,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,3,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,V,F,1,ersparen,paenultima
nis,nis,s,is,nis,ø,ø,C,KC,CKC,CCKC,LCCKC,noacc,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,16,12,5,4,4,1,light,light,light,c,c,c,KC,CCLC,CKC,,CC,C,C,C,C,K,L,K,2,4,3,1,1,1,0,2,1,1,2,1,VC,CCVVC,CVC,1,1,2,N,V,T,1,Ersparnis,paenultima
rung,ø,g,ng,ung,rung,ø,C,KC,CKC,LCKC,CLCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,12,15,5,4,5,2,light,light,light,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,3,4,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,V,T,1,Ersparung,paenultima
$en,ø,n,en,sen,ssen,essen,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,14,10,5,3,3,0,light,light,schwa,c,o,c,KC,CCCL,CKC,,CCC,C,C,,C,K,L,K,2,5,3,1,0,1,0,3,1,1,2,1,VC,CCCVV,CVC,1,1,2,V,V,F,1,erspriessen,paenultima
lich,ø,h,ch,ich,lich,slich,C,KC,CKC,CCKC,LCCKC,noacc,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,15,13,5,3,4,1,light,light,light,c,c,c,KC,ø,CKC,,CCC,C,C,C,C,K,L,K,2,6,4,1,1,1,0,3,1,1,2,1,VC,ø,CVC,1,2,2,A,V,F,1,erspriesslich,paenultima
ken,ø,n,en,ken,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,12,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erstarken,paenultima
ø,ø,g,ng,ung,kung,ø,C,KC,CKC,CCKC,KCCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,12,12,5,3,4,1,light,light,light,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstarkung,paenultima
ren,ø,n,en,ren,rren,ø,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,13,5,2,4,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erstarren,paenultima
rung,ø,g,ng,ung,rung,ø,C,KC,CKC,KCKC,CKCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,15,5,2,5,2,light,light,light,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstarrung,paenultima
ten,ø,n,en,ten,tten,ø,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,10,5,2,3,0,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,N,F,1,erstatten,paenultima
tung,ø,g,ng,ung,tung,ø,C,KC,CKC,KCKC,CKCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,12,5,2,4,1,light,light,light,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstattung,paenultima
nen,ø,n,en,nen,ø,ø,C,KC,CKC,DCKC,CDCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,12,12,5,4,4,1,light,light,schwa,c,o,c,KC,CCD,CKC,,CC,C,C,,C,K,D,K,2,4,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,V,F,1,erstaunen,paenultima
nen,ø,n,en,nen,ø,ø,C,KC,CKC,DCKC,CDCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCD,ø,10,12,12,5,4,4,1,light,light,schwa,c,o,c,KC,CCD,CKC,,CC,C,C,,C,K,D,K,2,4,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,F,T,1,Erstaunen,paenultima
lich,ø,h,ch,ich,lich,ø,C,KC,CKC,CCKC,DCCKC,noacc,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,15,13,5,3,4,1,light,light,light,c,c,c,KC,ø,CKC,,CC,C,C,C,C,K,D,K,2,5,4,1,1,1,0,2,1,1,2,1,VC,CCVVC,CVC,1,1,2,A,V,F,1,erstaunlich,paenultima
chen,chen,n,en,hen,chen,echen,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,10,5,2,3,0,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erstechen,paenultima
hen,ø,n,en,hen,ehen,ø,C,KC,LKC,CLKC,CCLKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,8,9,5,2,4,-1,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,V,V,F,1,erstehen,paenultima
ø,ø,r,er,her,ø,ø,C,KC,LKC,CLKC,CCLKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,8,10,5,2,5,0,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,N,V,T,1,Ersteher,paenultima
ø,ø,g,ng,ung,hung,ø,C,KC,LKC,CLKC,CCLKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,noacc,10,8,11,5,2,5,0,light,light,light,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,4,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,N,V,T,1,Erstehung,paenultima
gen,ø,n,en,gen,igen,eigen,C,KC,CKC,DCKC,CDCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,12,10,5,4,3,0,light,light,schwa,c,o,c,KC,CCD,CKC,,CC,C,C,,C,K,D,K,2,4,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,V,F,1,ersteigen,paenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,CCLC,ø,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,13,15,5,3,5,2,light,light,light,c,c,c,KC,ø,CLC,,CC,C,C,C,C,K,D,L,2,5,3,1,1,1,0,2,1,1,2,2,VC,CCVVC,CVVC,1,1,1,A,V,F,1,ersteigbar,paenultima
ø,ø,n,rn,ern,ø,ø,C,CC,KCC,CKCC,DCKCC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,12,14,5,4,3,2,light,light,schwa,c,o,c,KC,CCD,CKCC,,CC,C,C,,CC,K,D,K,2,4,4,1,0,2,0,2,1,1,2,1,VC,CCVV,CVCC,1,1,3,V,V,F,1,ersteigern,paenultima
ger,ø,r,er,ger,ø,ø,C,KC,CKC,DCKC,CDCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,12,11,5,4,3,0,light,light,schwa,c,o,c,KC,CCD,CKC,,CC,C,C,,C,K,D,K,2,4,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,V,T,1,Ersteiger,paenultima
gung,ø,g,ng,ung,gung,igung,C,KC,CKC,DCKC,CDCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCD,noacc,10,12,12,5,4,4,1,light,light,light,c,o,c,KC,CCD,CKC,,CC,C,C,,C,K,D,K,2,4,4,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,V,T,1,Ersteigung,paenultima
len,ø,n,en,len,llen,ellen,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,13,5,2,4,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erstellen,paenultima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,8,15,5,2,5,2,light,light,light,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstellung,paenultima
ø,ø,e,ø,ø,ø,ø,K,CK,KCK,CKCK,CCKCK,ø,er,er,e,er,ers,ø,ø,L,LC,LCC,ø,ø,ø,10,8,10,5,2,5,0,light,schwa,schwa,c,o,o,LC,CCK,CK,,CC,C,C,,,L,K,K,2,3,2,1,0,0,0,2,1,2,1,1,VVC,ø,CV,0,2,1,X,ø,F,1,erstere,antepaenultima
cken,ø,n,en,ken,cken,icken,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,10,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,ersticken,paenultima
ø,ø,g,ng,ung,kung,ckung,C,KC,CKC,KCKC,CKCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,10,12,5,3,4,1,light,light,light,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,5,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstickung,paenultima
len,ø,n,en,len,hlen,ø,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,16,13,5,4,4,1,light,light,schwa,c,o,c,KC,CCCL,CKC,,CCC,C,C,,C,K,L,K,2,5,3,1,0,1,0,3,1,1,2,1,VC,CCCVV,CVC,1,1,2,V,V,F,1,erstrahlen,paenultima
ben,ø,n,en,ben,eben,ø,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,12,10,5,3,3,0,light,light,schwa,c,o,c,KC,CCCL,CKC,,CCC,C,C,,C,K,L,K,2,4,3,1,0,1,0,3,1,1,2,1,VC,CCCVV,CVC,1,1,2,V,V,F,1,erstreben,paenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,CKCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,12,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCCK,CKC,,CCC,C,C,,C,K,K,K,2,4,4,1,1,1,0,3,1,1,1,1,VC,CCCVC,CVC,1,4,2,V,V,F,1,erstrecken,paenultima
ø,ø,g,ng,ung,kung,ckung,C,KC,CKC,KCKC,CKCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCC,noacc,10,12,12,5,3,4,1,light,light,light,c,c,c,KC,CCCK,CKC,,CCC,C,C,,C,K,K,K,2,4,5,1,1,1,0,3,1,1,1,1,VC,CCCVC,CVC,1,4,2,N,V,T,1,Erstreckung,paenultima
ken,ø,n,en,ken,nken,ø,C,KC,CKC,CCKC,KCCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,ø,10,13,10,5,3,3,0,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,A,A,F,1,erstunken,paenultima
men,ø,n,en,men,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,14,12,5,3,4,1,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,erstuermen,paenultima
ø,ø,g,ng,ung,mung,ø,C,KC,CKC,CCKC,KCCKC,ø,Er,ø,E,Er,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,noacc,10,14,14,5,3,4,2,light,light,light,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,V,T,1,Erstuermung,paenultima
chen,chen,n,en,hen,chen,uchen,C,KC,CKC,LCKC,CLCKC,ø,er,er,e,er,ers,ø,ø,K,KC,KCC,KCCL,KCCLC,noacc,10,9,10,5,4,3,0,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,2,4,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,ersuchen,paenultima
