syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
bung,ø,g,ng,ung,bung,ø,C,KC,CKC,CCKC,KCCKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCK,DCCKC,acc,11,11,12,5,3,4,0,light,light,light,c,c,c,DC,CKC,CKC,,C,C,C,C,C,D,K,K,3,3,4,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,N,V,T,1,Auskerbung,antepaenultima
nen,ø,n,en,nen,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,11,12,5,3,4,0,light,light,schwa,c,c,c,DC,CKC,CKC,,C,C,C,C,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,N,F,1,auskernen,antepaenultima
pen,ø,n,en,pen,ppen,ø,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,9,10,5,4,3,-1,light,light,schwa,c,c,c,DC,CK,CKC,,C,C,C,,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskippen,antepaenultima
gen,ø,n,en,gen,agen,ø,C,KC,CKC,LCKC,CLCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCL,acc,11,15,10,5,5,3,-1,light,light,schwa,c,o,c,DC,CCL,CKC,,CC,C,C,,C,D,L,K,3,3,3,1,0,1,0,2,1,2,2,1,VVC,CCVV,CVC,0,1,2,V,V,F,1,ausklagen,antepaenultima
ø,ø,n,rn,ern,ø,ø,C,CC,KCC,CKCC,KCKCC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,11,16,5,3,4,2,light,light,schwa,c,c,c,DC,CCK,CKCC,,CC,C,C,,CC,D,K,K,3,4,4,1,1,2,0,2,1,2,1,1,VVC,CCVC,CVCC,0,3,3,V,V,F,1,ausklammern,antepaenultima
pen,ø,n,en,pen,ppen,ø,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,11,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CCK,CKC,,CC,C,C,,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausklappen,antepaenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,CCLC,KCCLC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,12,15,5,3,5,2,light,light,light,c,c,c,DC,CCKC,CLC,,CC,C,C,C,C,D,K,L,3,5,3,1,1,1,0,2,1,2,1,2,VVC,CCVC,CVVC,0,3,1,A,V,F,1,ausklappbar,antepaenultima
ben,ø,n,en,ben,ø,auben,C,KC,CKC,DCKC,CDCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCD,acc,11,15,10,5,5,3,-1,light,light,schwa,c,o,c,DC,CCD,CKC,,CC,C,C,,C,D,D,K,3,4,3,1,0,1,0,2,1,2,2,1,VVC,CCVV,CVC,0,1,2,V,V,F,1,ausklauben,antepaenultima
den,ø,n,en,den,iden,eiden,C,KC,CKC,DCKC,CDCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCD,acc,11,15,10,5,5,3,-1,light,light,schwa,c,o,c,DC,CCD,CKC,,CC,C,C,,C,D,D,K,3,4,3,1,0,1,0,2,1,2,2,1,VVC,CCVV,CVC,0,1,2,V,V,F,1,auskleiden,antepaenultima
dung,ø,g,ng,ung,dung,ø,C,KC,CKC,DCKC,CDCKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCC,DCCCD,acc,11,15,12,5,5,4,0,light,light,light,c,o,c,DC,CCD,CKC,,CC,C,C,,C,D,D,K,3,4,4,1,0,1,0,2,1,2,2,1,VVC,CCVV,CVC,0,1,2,N,V,T,1,Auskleidung,antepaenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,13,12,5,4,4,0,light,light,schwa,c,c,c,DC,CCK,CKC,,CC,C,C,,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausklingen,antepaenultima
ken,ø,n,en,ken,nken,ø,C,KC,CKC,CCKC,KCCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,16,10,5,4,3,-1,light,light,schwa,c,c,c,DC,CCKC,CKC,,CC,C,C,C,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausklinken,antepaenultima
fen,ø,n,en,fen,pfen,ø,C,KC,AKC,KAKC,CKAKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,11,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CCK,AKC,,CC,A,C,,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausklopfen,antepaenultima
ø,ø,r,er,ø,ø,ø,C,KC,AKC,KAKC,CKAKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCC,DCCCK,acc,11,11,11,5,3,3,0,light,light,schwa,c,c,c,DC,CCK,AKC,,CC,A,C,,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,N,V,T,1,Ausklopfer,antepaenultima
ø,ø,n,ln,eln,geln,egeln,C,CC,KCC,CKCC,LCKCC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCL,acc,11,13,14,5,4,3,1,light,light,schwa,c,o,c,DC,CCL,CKCC,,CC,C,C,,CC,D,L,K,3,3,4,1,0,2,0,2,1,2,2,1,VVC,CCVV,CVCC,0,1,3,V,V,F,1,auskluegeln,antepaenultima
lung,ø,g,ng,ung,lung,ø,C,KC,CKC,CCKC,LCCKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCC,DCCCL,acc,11,13,16,5,4,4,2,light,light,light,c,o,c,DC,CCL,CCKC,,CC,CC,C,,C,D,L,K,3,4,4,1,0,1,0,2,2,2,2,1,VVC,CCVV,CCVC,0,1,3,N,V,T,1,Ausklueglung,antepaenultima
