syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
stoff,ø,f,ff,off,toff,stoff,C,KC,CKC,CCKC,CCCKC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrs,C,CL,CLC,CLCC,CLCCC,ø,14,9,4,2,-2,light,light,c,c,CLC,CCKC,C,CC,C,C,L,K,4,5,1,1,1,2,2,1,CVVC,CCVC,1,3,N,NN,T,2,Lehrstoff,paenultima
zeit,ø,t,it,eit,zeit,rzeit,C,DC,ADC,CADC,LCADC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrz,C,CL,CLC,CLCA,CLCAD,ø,14,12,4,4,-1,light,light,c,c,CLC,ADC,C,A,C,C,L,D,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Lehrzeit,paenultima
arzt,ø,t,zt,rzt,arzt,barzt,C,AC,CAC,LCAC,CLCAC,ø,Leib,ø,L,Le,Lei,Leib,Leiba,C,CD,CDC,CDCL,CDCLC,ø,15,16,5,4,1,light,heavy,c,c,CDC,LCAC,C,,C,CAC,D,L,4,4,1,3,1,0,2,2,CVVC,VVCCC,1,1,N,NN,T,2,Leibarzt,paenultima
koch,ø,h,ch,och,koch,bkoch,C,KC,CKC,CCKC,DCCKC,ø,Leib,ø,L,Le,Lei,Leib,Leibk,C,CD,CDC,CDCC,CDCCK,ø,15,8,5,2,-3,light,light,c,c,CDC,CKC,C,C,C,C,D,K,4,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,NN,T,2,Leibkoch,paenultima
schmerz,ø,z,rz,erz,merz,hmerz,A,CA,KCA,CKCA,CCKCA,ø,Leib,ø,L,Le,Lei,Leib,Leibs,C,CD,CDC,CDCC,CDCCC,ø,15,15,5,3,0,light,heavy,c,c,CDC,CCKCA,C,CC,C,CA,D,K,4,7,1,2,1,2,2,1,CVVC,CCVCC,1,4,N,NN,T,2,Leibschmerz,paenultima
hin,ø,n,in,hin,thin,hthin,C,KC,CKC,CCKC,CCCKC,ø,leicht,ø,l,le,lei,leic,leich,C,CD,CDC,CDCC,CDCCC,ø,16,12,4,4,-2,heavy,light,c,c,CDCC,CKC,C,C,CC,C,D,K,6,3,2,1,1,1,2,1,CVVCC,CVC,1,2,ADV,ø,F,2,leichthin,paenultima
3l,ø,l,el,oel,toel,htoel,C,LC,CLC,CCLC,DCCLC,ø,Leicht,ø,L,Le,Lei,Leic,Leich,C,CD,CDC,CDCC,CDCCL,ø,16,10,4,5,-3,heavy,light,c,c,CDCC,LC,C,,CC,C,D,L,6,2,2,1,1,0,2,2,CVVCC,VVC,1,0,N,AN,T,2,Leichtoel,paenultima
sinn,ø,n,nn,inn,sinn,tsinn,C,KC,CKC,CCKC,CCCKC,ø,Leicht,ø,L,Le,Lei,Leic,Leich,C,CD,CDC,CDCC,CDCCC,ø,16,12,4,4,-2,heavy,light,c,c,CDCC,CKC,C,C,CC,C,D,K,6,4,2,1,1,1,2,1,CVVCC,CVC,1,2,N,AN,T,2,Leichtsinn,paenultima
amt,ø,t,mt,amt,hamt,ihamt,C,CC,KCC,DKCC,CDKCC,ø,Leih,ø,L,Le,Lei,Leih,Leiha,C,CD,CDK,CDKC,CDKCC,ø,14,10,7,3,-2,light,heavy,o,c,CD,KCC,C,,,CC,D,K,4,3,0,2,1,0,2,1,CVV,VCC,0,2,N,VN,T,2,Leihamt,paenultima
topf,ø,f,pf,opf,topf,mtopf,A,KA,CKA,CCKA,DCCKA,ø,Leim,ø,L,Le,Lei,Leim,Leimt,C,CD,CDC,CDCC,CDCCK,ø,17,8,5,2,-4,light,light,c,c,CDC,CKA,C,C,C,A,D,K,4,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,NN,T,2,Leimtopf,paenultima
3l,ø,l,el,oel,noel,inoel,C,LC,CLC,DCLC,CDCLC,ø,Lein,ø,L,Le,Lei,Lein,Leino,C,CD,CDC,CDCL,CDCLC,ø,17,10,5,5,-3,light,light,c,c,CDC,LC,C,,C,C,D,L,4,2,1,1,1,0,2,2,CVVC,VVC,1,0,N,NN,T,2,Leinoel,paenultima
tuch,ø,h,ch,uch,tuch,ntuch,C,LC,CLC,CCLC,DCCLC,ø,Lein,ø,L,Le,Lei,Lein,Leint,C,CD,CDC,CDCC,CDCCL,ø,17,10,5,3,-3,light,light,c,c,CDC,CLC,C,C,C,C,D,L,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Leintuch,paenultima
wand,ø,d,nd,and,wand,nwand,C,CC,KCC,CKCC,CCKCC,ø,Lein,ø,L,Le,Lei,Lein,Leinw,C,CD,CDC,CDCC,CDCCK,ø,17,11,5,2,-3,light,heavy,c,c,CDC,CKCC,C,C,C,CC,D,K,4,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Leinwand,paenultima
bild,ø,d,ld,ild,bild,tbild,C,CC,KCC,CKCC,CCKCC,ø,Leit,ø,L,Le,Lei,Leit,Leitb,C,CD,CDC,CDCC,CDCCK,ø,15,14,5,3,0,light,heavy,c,c,CDC,CKCC,C,C,C,CC,D,K,4,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,VN,T,2,Leitbild,paenultima
spruch,ø,h,ch,uch,ruch,pruch,C,KC,CKC,CCKC,CCCKC,ø,Leit,ø,L,Le,Lei,Leit,Leits,C,CD,CDC,CDCC,CDCCC,ø,15,15,5,3,0,light,light,c,c,CDC,CCCKC,C,CCC,C,C,D,K,4,6,1,1,1,3,2,1,CVVC,CCCVC,1,4,N,VN,T,2,Leitspruch,paenultima
stern,ø,n,rn,ern,tern,stern,C,CC,KCC,CKCC,CCKCC,ø,Leit,ø,L,Le,Lei,Leit,Leits,C,CD,CDC,CDCC,CDCCC,ø,15,15,5,3,0,light,heavy,c,c,CDC,CCKCC,C,CC,C,CC,D,K,4,5,1,2,1,2,2,1,CVVC,CCVCC,1,4,N,VN,T,2,Leitstern,paenultima
