syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,syl0,syl1,syl2,syl3,syl4,syl5,syl6,syl7,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,rhyme7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,syl_class7,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,onset_class7,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,koda_class7,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,nucleus_class7,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,nomen,sylcnt,stress_class
2,2,2,1,2,2,2,2,Ma,te,ri,a,li,sa,ti,on,on,ø,N,N,SA,ø,C,CK,CKC,CKCL,CKCLC,C,LC,LLC,ALLC,KALLC,ø,CVC,CVV,CVV,VC,CVV,CVC,CVV,VVC,2,0,0,1,0,2,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,2,2,1,2,1,2,2,1,1001,101,11,1,11,101,101,1001,3,2,4,4,4,2,3,3,1,CK,CL,CL,K,CL,CK,AL,LC,C,C,C,,C,C,A,,,,,,,,,C,K,L,L,K,L,K,L,L,1,1,1,1,1,1,1,1,T,8,ultima
2,2,3,2,2,2,2,2,Mi,ni,ste,ri,al,be,am,te,e,ø,N,AN,SS,ø,C,CL,CLC,CLCK,CLCKC,K,CK,CCK,KCCK,KKCCK,ø,CVV,CVC,CVV,CVV,VVC,CV,VC,CV,0,2,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,2,1,2,2,2,1,1,1,2,1001,1101,101,11,11,101,1001,101,3,2,2,4,4,2,3,2,-1,CL,CKC,CL,CL,LC,CK,KC,CK,C,C,C,C,,C,,C,,C,,,C,,C,,L,K,L,L,L,K,K,K,1,1,1,1,1,0,1,0,T,8,undef
2,2,2,2,3,2,3,4,Mo,du,la,ti,ons,f1,hig,keit,eit,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,C,DC,CDC,CCDC,KCCDC,ø,CVV,CVV,CVC,CVV,VVCC,CVV,VC,CVVC,0,0,2,0,1,0,1,1,0,0,1,0,2,0,1,1,1,1,1,1,0,1,0,1,2,2,1,2,2,2,1,2,2,1001,101,11,101,1101,101,101,201,3,3,3,3,2,2,3,2,-1,CL,CL,CK,AL,LCC,CL,KC,CDC,C,C,C,A,,C,,C,,,,,CC,,C,C,L,L,K,L,L,L,K,D,1,1,1,1,2,1,1,1,T,8,undef
2,2,3,2,2,2,2,6,mo,no,pol,ka,pi,ta,li,stisch,isch,ø,A,N,SA,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVV,CVVC,CVC,CVV,CVC,CVC,CVC,0,0,1,2,0,2,2,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1001,1001,111,101,101,101,111,201,3,3,2,2,3,2,3,2,-1,CL,CL,CLC,CK,CL,CK,CKC,CKC,C,C,C,C,C,C,C,C,,,C,,,,C,C,L,L,L,K,L,K,K,K,1,1,1,1,1,1,1,1,F,8,undef
2,2,1,3,2,2,3,5,na,ti,o,nal,de,mo,kra,tisch,isch,ø,A,ø,SS,ø,C,CK,CKA,CKAL,CKALL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,VV,CVVC,CVV,CVV,CCVV,CVC,2,0,0,1,0,0,1,2,1,0,0,1,0,0,0,1,1,1,0,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1001,101,1,1011,101,1001,111,201,3,3,4,3,2,3,3,2,-1,CK,AL,L,CLC,CL,CL,CCL,CKC,C,A,,C,C,C,CC,C,,,,C,,,,C,K,L,L,L,L,L,L,K,1,1,1,1,1,1,1,1,F,8,undef
2,2,1,3,2,2,2,3,Na,ti,o,nal,li,te,ra,tur,ur,ø,N,AN,SS,ø,C,CK,CKA,CKAL,CKALL,C,LC,CLC,KCLC,CKCLC,ø,CVC,CVV,VV,CVVC,CVC,CV,CVC,CVVC,2,0,0,1,2,1,2,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1001,101,1,1011,11,101,11,111,3,3,4,3,4,2,3,3,-1,CK,AL,L,CLC,CK,CK,CK,CLC,C,A,,C,C,C,C,C,,,,C,,,,C,K,L,L,L,K,K,K,L,1,1,1,1,1,0,1,1,T,8,undef
2,2,1,3,1,2,2,3,Na,ti,o,nal,3,ko,no,mie,ie,ø,N,AN,SS,ø,C,CK,CKA,CKAL,CKALL,L,CL,LCL,CLCL,LCLCL,ø,CVC,CVV,VV,CVVC,VV,CVV,CVV,CVV,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,1001,101,1,1011,1,101,1001,1001,3,3,4,3,4,2,3,3,1,CK,AL,L,CLC,L,CL,CL,CL,C,A,,C,,C,C,C,,,,C,,,,,K,L,L,L,L,L,L,L,1,1,1,1,1,1,1,1,T,8,undef
2,2,1,3,2,2,1,4,Na,ti,o,nal,so,zi,a,list,ist,ø,N,R,SA,ø,C,CK,CKA,CKAL,CKALL,C,CC,KCC,CKCC,KCKCC,acc,CVC,CVV,VV,CVVC,CVV,CVV,VC,CVCC,2,0,0,1,0,0,1,3,1,0,0,1,0,0,1,2,1,1,0,1,1,1,0,1,1,2,2,2,2,2,1,1,1,1001,101,1,1011,101,101,1,211,3,3,4,3,2,3,4,2,-1,CK,AL,L,CLC,CL,AL,K,CKCC,C,A,,C,C,A,,C,,,,C,,,,CC,K,L,L,L,L,L,K,K,1,1,1,1,1,1,1,2,T,8,undef
2,2,2,2,2,2,2,4,Na,tu,ra,li,en,ka,bi,nett,ett,ø,N,NN,SS,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVV,CVV,VC,CVC,CVV,CVC,2,0,0,0,1,2,0,2,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,2,2,2,1,1,2,1,2,1001,101,11,11,1001,101,101,1101,3,3,4,4,3,2,3,2,1,CK,CL,CL,CL,KC,CK,CL,CKC,C,C,C,C,,C,C,C,,,,,C,,,C,K,L,L,L,K,K,L,K,1,1,1,1,0,1,1,1,T,8,undef
2,1,2,2,2,1,3,3,Ne,o,ko,lo,ni,a,lis,mus,us,ø,N,N,AS,ø,C,CL,CLL,CLLC,CLLCL,C,KC,CKC,CCKC,KCCKC,noacc,CVV,VV,CVV,CVV,CVV,VV,CVC,CVC,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,2,2,2,2,2,1,1,1,1001,1,101,11,1001,1,111,1101,3,4,2,3,3,6,3,2,1,CL,L,CL,CL,CL,L,CKC,CKC,C,,C,C,C,,C,C,,,,,,,C,C,L,L,L,L,L,L,K,K,1,1,1,1,1,1,1,1,T,8,paenultima
2,3,3,2,2,2,2,2,No,vem,ber,re,vo,lu,ti,on,on,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,C,LC,LLC,ALLC,LALLC,ø,CVV,CVC,CVC,CVV,CVV,CVV,CVV,VVC,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,2,2,2,2,2,2,1001,1101,111,11,101,11,101,1001,3,2,2,3,2,4,3,3,-1,CL,CKC,CKC,CL,CL,CL,AL,LC,C,C,C,C,C,C,A,,,C,C,,,,,C,L,K,K,L,L,L,L,L,1,1,0,1,1,1,1,1,T,8,sekunda
2,2,3,2,2,2,2,2,Ok,to,ber,re,vo,lu,ti,on,on,ø,N,NN,SS,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,LALLC,ø,VC,CVV,CVC,CVV,CVV,CVV,CVV,VVC,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,2,1,2,2,2,2,2,2,101,101,111,11,101,11,101,1001,2,2,2,3,2,4,3,3,1,KC,CL,CKC,CL,CL,CL,AL,LC,,C,C,C,C,C,A,,C,,C,,,,,C,K,L,K,L,L,L,L,L,1,1,0,1,1,1,1,1,T,8,sekunda
2,2,2,2,2,3,2,2,Or,ga,ni,sa,ti,ons,b2,ro,o,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,L,CL,LCL,CLCL,CCLCL,ø,VC,CVC,CVV,CVC,CVV,VVCC,CVV,CVV,1,2,0,2,0,1,0,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,1,1,1,1,2,1,2,2,2,2,2,11,101,1001,101,101,1101,101,11,3,2,3,2,3,2,3,3,1,KC,CK,CL,CK,AL,LCC,CL,CL,,C,C,C,A,,C,C,C,,,,,CC,,,K,K,L,K,L,L,L,L,1,1,1,1,1,2,1,1,T,8,antepaenultima
2,2,2,2,2,3,2,4,Or,ga,ni,sa,ti,ons,ta,lent,ent,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,KCKCC,ø,VC,CVC,CVV,CVC,CVV,VVCC,CVC,CVCC,1,2,0,2,0,1,2,3,1,1,0,1,0,2,1,2,0,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,2,11,101,1001,101,101,1101,101,1111,3,2,3,2,3,2,2,2,1,KC,CK,CL,CK,AL,LCC,CK,CKCC,,C,C,C,A,,C,C,C,,,,,CC,,CC,K,K,L,K,L,L,K,K,1,1,1,1,1,2,1,2,T,8,antepaenultima
1,2,2,3,5,3,2,3,O,ri,en,tie,rungs,ver,m3,gen,en,ø,N,NN,SAS,ø,L,LC,LCL,LCLK,LCLKC,C,KC,CKC,LCKC,CLCKC,ø,VV,CVV,VC,CVV,CVCC,CVC,CVV,CVC,0,0,1,0,3,2,0,2,0,0,1,0,2,1,0,1,0,1,0,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,11,1001,101,1111,111,1001,1101,4,4,3,3,2,2,3,2,1,L,CL,KC,CL,CKCC,CKC,CL,CKC,,C,,C,C,C,C,C,,,C,,CC,C,,C,L,L,K,L,K,K,L,K,1,1,1,1,2,1,1,0,T,8,undef
2,2,2,2,2,3,3,3,Po,la,ri,sa,ti,ons,fil,ter,er,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVC,CVV,CVC,CVV,VVCC,CVC,CVC,0,2,0,2,0,1,2,2,0,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,2,1,1,2,101,11,11,101,101,1101,111,111,2,3,4,2,3,2,3,2,1,CL,CK,CL,CK,AL,LCC,CKC,CKC,C,C,C,C,A,,C,C,,,,,,CC,C,C,L,K,L,K,L,L,K,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
3,3,1,2,2,1,2,2,Pri,vat,i,ni,ti,a,ti,ve,e,ø,N,AN,SS,ø,C,CC,CCL,CCLC,CCLCL,K,CK,LCK,CLCK,KCLCK,ø,CCVV,CVVC,VV,CVV,CVV,VC,CVV,CV,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,1,2,2,2,2,2,1,2,1,2,111,201,1,1001,101,1,101,101,3,2,5,3,3,4,3,2,-1,CCL,CLC,L,CL,AL,K,CL,CK,CC,C,,C,A,,C,C,,C,,,,,,,L,L,L,L,L,K,L,K,1,1,1,1,1,1,1,0,T,8,sekunda
3,3,2,3,2,2,2,3,Pro,duk,ti,ons,ka,pa,zi,t1t,1t,ø,N,NN,SAS,ø,C,CC,CCL,CCLC,CCLCK,C,LC,CLC,LCLC,ALCLC,ø,CCVV,CVC,CVV,VVCC,CVC,CVC,CVV,CVVC,1,2,0,1,2,2,0,1,0,1,0,2,1,1,0,1,2,1,1,0,1,1,1,1,2,1,2,2,1,1,2,2,2,111,201,101,1101,101,101,101,201,2,2,3,2,2,2,3,2,-1,CCL,CKC,AL,LCC,CK,CK,AL,CLC,CC,C,A,,C,C,A,C,,C,,CC,,,,C,L,K,L,L,K,K,L,L,1,1,1,2,1,1,1,1,T,8,undef
3,3,2,2,4,4,2,4,Pro,duk,ti,vi,t1ts,stei,ge,rung,ung,ø,N,NV,ø,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,KCKC,CKCKC,ø,CCVV,CVC,CVV,CVV,CVVC,CCVV,CV,CVC,1,2,0,0,1,1,1,2,0,1,0,0,1,0,0,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,111,201,101,101,201,201,101,1011,2,2,3,3,2,2,2,3,1,CCL,CKC,CL,CL,CLA,CCD,CK,CKC,CC,C,C,C,C,CC,C,C,,C,,,A,,,C,L,K,L,L,L,D,K,K,1,1,1,1,1,1,0,1,T,8,undef
3,3,2,1,2,2,3,3,pro,fes,si,o,na,li,sie,ren,en,ø,V,N,SA,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVC,CVV,VV,CVC,CVV,CVV,CVC,1,2,0,0,2,0,0,2,0,1,0,0,1,0,0,1,2,1,1,0,1,1,1,1,2,1,2,2,1,2,2,1,1,111,101,101,1,1001,11,101,1011,2,2,3,4,3,4,3,3,1,CCL,CK,CL,L,CK,CL,CL,CKC,CC,C,C,,C,C,C,C,,,,,,,,C,L,K,L,L,K,L,L,K,1,1,1,1,1,1,1,0,F,8,paenultima
3,3,2,3,3,2,2,2,Pro,fes,so,ren,kol,le,gi,um,um,ø,N,NN,SAS,ø,C,CC,CCL,CCLC,CCLCK,C,KC,LKC,CLKC,LCLKC,ø,CCVV,CVC,CVV,CVC,CVC,CVV,CVV,VC,1,2,0,2,2,0,0,1,0,1,0,1,1,0,0,1,2,1,1,1,1,1,1,0,2,1,2,1,1,2,2,1,2,111,101,101,1011,101,11,101,1001,2,2,2,3,2,3,3,3,1,CCL,CK,CL,CKC,CK,CL,CL,KC,CC,C,C,C,C,C,C,,,,,C,,,,C,L,K,L,K,K,L,L,K,1,1,1,0,1,1,1,1,T,8,undef
3,2,2,2,2,3,3,2,Qua,li,fi,ka,ti,ons,stu,fe,e,ø,N,NN,SAS,ø,C,CC,CCK,CCKC,CCKCL,K,CK,LCK,CLCK,CCLCK,ø,CCVC,CVV,CVV,CVC,CVV,VVCC,CCVV,CV,3,0,0,2,0,1,1,1,1,0,0,1,0,2,0,0,2,1,1,1,1,0,2,1,1,2,2,1,2,2,2,1,2,201,11,101,101,101,1101,201,101,2,4,3,2,3,2,2,2,1,CCK,CL,CL,CK,AL,LCC,CCL,CK,CC,C,C,C,A,,CC,C,,,,,,CC,,,K,L,L,K,L,L,L,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
2,2,2,3,2,6,3,4,Re,ak,ti,ons,ge,schwin,dig,keit,eit,ø,N,NN,SAS,ø,C,CL,CLK,CLKC,CLKCA,C,DC,CDC,CCDC,KCCDC,ø,CVV,VC,CVV,VVCC,CV,CCVC,CVC,CVVC,0,1,0,1,1,3,2,1,0,1,0,2,0,1,1,1,1,0,1,0,1,2,1,1,2,1,2,2,1,1,1,2,2,11,101,101,1101,101,1201,201,201,3,2,3,2,2,2,2,2,1,CL,KC,AL,LCC,CK,CCKC,CKC,CDC,C,,A,,C,CC,C,C,,C,,CC,,C,C,C,L,K,L,L,K,K,K,D,1,1,1,2,0,1,1,1,T,8,undef
2,3,5,2,1,2,2,2,Re,gie,rungs,ko,a,li,ti,on,on,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,C,LC,LLC,ALLC,LALLC,ø,CVV,CVV,CVCC,CVV,VC,CVV,CVV,VVC,0,0,3,0,1,0,0,0,0,0,2,0,1,0,0,1,1,1,1,1,0,1,1,0,2,2,1,2,1,2,2,2,2,11,101,1111,101,1,11,101,1001,3,3,2,2,4,4,3,3,1,CL,CL,CKCC,CL,K,CL,AL,LC,C,C,C,C,,C,A,,,,CC,,,,,C,L,L,K,L,K,L,L,L,1,1,2,1,1,1,1,1,T,8,sekunda
2,3,3,2,2,3,6,3,Re,kom,man,da,ti,ons,schrei,ben,en,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,DCKC,CDCKC,ø,CVV,CVC,CVC,CVC,CVV,VVCC,CCVV,CVC,0,2,2,2,0,1,1,2,0,1,1,1,0,2,0,1,1,1,1,1,1,0,2,1,2,1,1,1,2,2,2,1,2,11,101,2001,101,101,1101,111,1101,3,2,2,2,3,2,3,2,1,CL,CK,CKC,CK,AL,LCC,CCD,CKC,C,C,C,C,A,,CC,C,,,C,,,CC,,C,L,K,K,K,L,L,D,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
2,2,2,2,4,3,1,3,Re,la,ti,vi,t1ts,the,o,rie,ie,ø,N,NN,SAS,ø,C,CL,CLC,CLCK,CLCKC,L,CL,LCL,LLCL,CLLCL,ø,CVV,CVC,CVV,CVV,CVVC,CVV,VV,CVV,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,2,1,2,2,2,2,2,2,2,11,11,101,101,201,101,1,11,3,3,3,3,2,2,4,4,0,CL,CK,CL,CL,CLA,CL,L,CL,C,C,C,C,C,C,,C,,,,,A,,,,L,K,L,L,L,L,L,L,1,1,1,1,1,1,1,1,T,8,undef
2,2,2,3,3,2,2,4,Re,li,gi,ons,phi,lo,so,phie,ie,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,L,CL,LCL,CLCL,LCLCL,ø,CVV,CVV,CVV,VVCC,CVV,CVV,CVV,CVV,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,11,11,101,1101,101,11,101,101,3,4,3,2,3,3,2,3,-1,CL,CL,CL,LCC,CL,CL,CL,CL,C,C,C,,C,C,C,C,,,,CC,,,,,L,L,L,L,L,L,L,L,1,1,1,2,1,1,1,1,T,8,undef
2,2,2,3,3,3,2,3,Re,li,gi,ons,psy,cho,lo,gie,ie,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,L,CL,LCL,CLCL,LCLCL,ø,CVV,CVV,CVV,VVCC,CCVV,CVV,CVV,CVV,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,1,1,1,2,2,2,2,2,2,2,2,2,11,11,101,1101,201,101,11,101,3,4,3,2,2,2,3,3,-1,CL,CL,CL,LCC,CCL,CL,CL,CL,C,C,C,,CC,C,C,C,,,,CC,,,,,L,L,L,L,L,L,L,L,1,1,1,2,1,1,1,1,T,8,undef
2,3,2,2,3,2,2,3,Re,spi,ra,ti,ons,ap,pa,rat,at,ø,N,NN,SAS,ø,C,CL,CLC,CLCC,CLCCL,C,LC,CLC,KCLC,CKCLC,ø,CVVC,CVV,CVC,CVV,VVCC,VC,CVC,CVVC,1,0,2,0,1,1,2,1,1,0,1,0,2,1,1,1,1,1,1,1,0,0,1,1,2,2,1,2,2,1,1,2,2,111,101,11,101,1101,1,101,111,2,3,3,3,2,4,2,3,1,CLC,CL,CK,AL,LCC,K,CK,CLC,C,C,C,A,,,C,C,C,,,,CC,,,C,L,L,K,L,L,K,K,L,1,1,1,1,2,1,1,1,T,8,undef
2,3,2,3,1,3,3,4,Sa,tel,li,ten,2,ber,tra,gung,ung,ø,N,NN,SAS,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVV,CVC,VV,CVC,CCVV,CVC,2,2,0,2,0,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,0,1,2,1,1,1,2,1,2,1,2,1,2,101,101,11,1101,1,111,111,1101,2,2,4,2,5,2,3,2,1,CK,CK,CL,CKC,L,CKC,CCL,CKC,C,C,C,C,,C,CC,C,,,,C,,C,,C,K,K,L,K,L,K,L,K,1,1,1,0,1,0,1,1,T,8,undef
5,3,4,2,2,2,2,2,Schau,fen,ster,de,ko,ra,ti,on,on,ø,N,NN,SS,ø,C,CD,CDC,CDCK,CDCKC,C,LC,LLC,ALLC,KALLC,ø,CVV,CVC,CCVC,CVV,CVV,CVC,CVV,VVC,0,2,3,0,0,2,0,0,0,1,1,0,0,1,0,1,1,1,2,1,1,1,1,0,2,1,1,2,2,1,2,2,2,101,1101,211,101,101,11,101,1001,3,2,2,2,2,3,3,3,1,CD,CKC,CCKC,CL,CL,CK,AL,LC,C,C,CC,C,C,C,A,,,C,C,,,,,C,D,K,K,L,L,K,L,L,1,1,0,1,1,1,1,1,T,8,prima
2,2,2,2,3,2,2,2,Se,ri,en,fa,bri,ka,ti,on,on,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLK,C,LC,LLC,ALLC,KALLC,ø,CVV,CVV,VC,CVC,CCVV,CVC,CVV,VVC,0,0,1,2,1,2,0,0,0,0,1,1,0,1,0,1,1,1,0,1,2,1,1,0,2,2,1,1,2,1,2,2,2,101,11,1001,101,111,101,101,1001,2,4,3,2,3,2,3,3,1,CL,CL,KC,CK,CCL,CK,AL,LC,C,C,,C,CC,C,A,,,,C,,,,,C,L,L,K,K,L,K,L,L,1,1,0,1,1,1,1,1,T,8,prima
4,3,2,2,2,2,2,2,Spit,zen,or,ga,ni,sa,ti,on,on,ø,N,NN,SAS,ø,C,CC,CCK,CCKA,CCKAK,C,LC,LLC,ALLC,KALLC,ø,CCVC,CVC,VC,CVC,CVV,CVC,CVV,VVC,3,2,1,2,0,2,0,0,1,1,1,1,0,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,2,1,2,2,2,201,1101,11,101,1001,101,101,1001,2,2,3,2,3,2,3,3,1,CCK,AKC,KC,CK,CL,CK,AL,LC,CC,A,,C,C,C,A,,,C,C,,,,,C,K,K,K,K,L,K,L,L,1,0,1,1,1,1,1,1,T,8,prima
5,3,3,2,3,3,4,4,Stadt,ver,ord,ne,ten,ver,samm,lung,ung,ø,N,NV,ø,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,VCC,CV,CVC,CVC,CVC,CCVC,3,2,2,1,2,2,2,3,1,1,2,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,2,301,111,111,1001,1101,111,101,2011,1,2,2,3,2,2,2,3,1,CCKC,CKC,KCC,CK,CKC,CKC,CK,CCKC,CC,C,,C,C,C,C,CC,C,C,CC,,C,C,,C,K,K,K,K,K,K,K,K,1,1,2,0,0,1,1,1,T,8,prima
3,2,3,2,2,2,2,2,S2d,po,lar,ex,pe,di,ti,on,on,ø,N,AN,SS,ø,C,CL,CLC,CLCC,CLCCL,C,LC,LLC,ALLC,LALLC,ø,CVVC,CVV,CVVC,VCC,CVV,CVV,CVV,VVC,1,0,1,2,0,0,0,0,1,0,1,2,0,0,0,1,1,1,1,0,1,1,1,0,2,2,2,1,2,2,2,2,2,201,101,21,201,101,101,101,1001,2,2,4,2,2,3,3,3,1,CLC,CL,CLC,KCC,CL,CL,AL,LC,C,C,C,,C,C,A,,C,,C,CC,,,,C,L,L,L,K,L,L,L,L,1,1,1,2,1,1,1,1,T,8,multa
3,2,2,2,2,2,3,3,Ter,ri,to,ri,al,ge,w1s,ser,er,ø,N,AN,SS,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVV,CVV,CVV,VVC,CV,CVC,CVC,2,0,0,0,0,1,2,2,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,1,2,101,11,101,11,11,101,101,111,2,4,2,4,4,2,2,2,1,CK,CL,CL,CL,LC,CK,CK,CKC,C,C,C,C,,C,C,C,,,,,C,,,C,K,L,L,L,L,K,K,K,1,1,1,1,1,0,1,0,T,8,undef
3,1,3,2,2,2,2,2,The,a,ter,de,ko,ra,ti,on,on,ø,N,NN,SS,ø,C,CL,CLL,CLLC,CLLCK,C,LC,LLC,ALLC,KALLC,ø,CVV,VV,CVC,CVV,CVV,CVC,CVV,VVC,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,2,2,1,2,2,1,2,2,2,101,1,111,101,101,11,101,1001,2,6,2,2,2,3,3,3,1,CL,L,CKC,CL,CL,CK,AL,LC,C,,C,C,C,C,A,,,,C,,,,,C,L,L,K,L,L,K,L,L,1,1,0,1,1,1,1,1,T,8,sekunda
2,3,2,2,2,3,3,2,Tu,ber,ku,lo,se,f2r,sor,ge,e,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,K,CK,CCK,KCCK,CKCCK,ø,CVV,CVC,CVV,CVV,CV,CVVC,CVC,CV,0,2,0,0,1,1,2,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,101,111,101,11,101,111,111,101,3,2,3,3,2,3,2,2,1,CL,CKC,CL,CL,CK,CLC,CKC,CK,C,C,C,C,C,C,C,C,,C,,,,C,C,,L,K,L,L,K,L,K,K,1,1,1,1,0,1,1,0,T,8,undef
1,3,2,2,2,2,2,2,8,ber,or,ga,ni,sa,ti,on,on,ueber,N,ø,SS,acc,L,LC,LCK,LCKC,LCKCK,C,LC,LLC,ALLC,KALLC,ø,VV,CVC,VC,CVC,CVV,CVC,CVV,VVC,0,2,1,2,0,2,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,2,1,1,1,2,1,2,2,2,1,111,11,101,1001,101,101,1001,5,2,3,2,3,2,3,3,1,L,CKC,KC,CK,CL,CK,AL,LC,,C,,C,C,C,A,,,C,C,,,,,C,L,K,K,K,L,K,L,L,1,0,1,1,1,1,1,1,T,8,prima
2,3,4,3,3,3,3,3,Ul,tra,kurz,wel,len,emp,f1n,ger,er,ø,N,NV,ø,ø,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,KCKC,AKCKC,ø,VC,CCVV,CVCC,CVC,CVC,VC,CVC,CVC,1,1,3,2,2,1,2,2,1,0,2,1,1,1,1,1,0,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,2,11,111,211,101,1011,1001,101,1011,4,3,2,2,3,3,2,3,1,KC,CCL,CKCA,CK,CKC,KC,AK,CKC,,CC,C,C,C,,A,C,C,,CA,,C,C,,C,K,L,K,K,K,K,K,K,1,1,2,1,0,1,1,0,T,8,prima
