syl_len0,syl_len1,syl_len2,syl0,syl1,syl2,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,cv_ratio0,cv_ratio1,cv_ratio2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,comp_len,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_class0,syl_class1,syl_class2,onset_class0,onset_class1,onset_class2,koda_class0,koda_class1,koda_class2,nucleus_class0,nucleus_class1,nucleus_class2,syl_weight0,syl_weight1,syl_weight2,nomen,sylcnt,stress_class
5,3,3,Fisch,mes,ser,er,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,2,201,1001,111,2,3,2,-1,CKC,CK,CKC,C,C,C,C,?,C,K,K,K,1,1,0,T,3,antepaenultima
3,4,3,ent,krau,ten,en,ent,V,V,AS,noacc,K,KC,KCC,KCCC,KCCCC,C,KC,CKC,DCKC,CDCKC,ø,VCC,CCVV,CVC,2,1,2,2,0,1,0,2,1,1,2,1,1,1101,111,1101,2,3,2,0,KCC,CCD,CKC,?,CC,C,CC,?,C,K,D,K,2,1,0,F,3,paenultima
2,4,3,ir,gend,ein,ein,ø,ø,ø,SS,ø,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CVCC,VVC,1,3,0,1,2,1,0,1,0,1,1,2,2,11,1201,1001,4,2,4,1,KC,CKCC,DC,?,C,?,C,CC,C,K,K,D,1,0,1,F,3,antepaenultima
4,4,3,raus,flie,gen,en,ø,V,BV,SS,ø,C,CD,CDC,CDCC,CDCCC,C,KC,CKC,LCKC,CLCKC,ø,CVVC,CCVV,CVC,1,1,2,1,0,1,1,2,1,2,2,1,2,111,111,1101,3,3,2,1,CDC,CCL,CKC,C,CC,C,C,?,C,D,L,K,1,1,0,F,3,antepaenultima
3,2,2,Zes,si,on,on,ø,N,ø,ø,ø,A,AK,AKC,AKCL,AKCLL,C,LC,LLC,CLLC,KCLLC,ø,CVC,CVV,VVC,2,0,0,1,0,1,1,1,0,1,2,2,0,101,101,1001,2,3,3,1,AK,CL,LC,A,C,?,?,?,C,K,L,L,1,1,1,T,3,ultima
5,4,4,Schla,fitt,chen,en,ø,N,N,S,ø,C,CC,CCK,CCKC,CCKCK,C,KC,CKC,CCKC,KCCKC,ø,CCVC,CVC,CVC,3,2,2,1,1,1,2,1,1,1,1,1,1,111,201,1101,2,2,2,1,CCK,CKC,CKC,CC,C,C,?,C,C,K,K,K,1,1,0,T,3,paenultima
3,3,3,ver,bl2,hen,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCC,C,KC,LKC,CLKC,CCLKC,ø,CVC,CCVV,VC,2,1,1,1,0,1,1,2,0,1,2,1,1,111,111,1001,2,3,3,1,CKC,CCL,KC,C,CC,?,C,?,C,K,L,K,1,1,0,F,3,paenultima
4,4,4,Stop,plig,keit,eit,ø,N,A,SA,ø,C,CC,CCK,CCKC,CCKCC,C,DC,CDC,CCDC,KCCDC,ø,CCVC,CVC,CVVC,3,2,1,1,1,1,2,1,1,1,1,2,1,301,111,201,1,3,2,-1,CCKC,CKC,CDC,CC,C,C,C,C,C,K,K,D,1,1,1,T,3,antepaenultima
3,3,4,aus,d2n,sten,en,aus,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,CCKC,CCCKC,ø,VVC,CVC,CCVC,0,2,3,1,1,1,0,1,2,2,1,1,1,101,1101,1201,3,2,2,1,DC,CKC,CCKC,?,C,CC,C,C,C,D,K,K,1,1,0,F,3,antepaenultima
2,2,4,to,le,rant,ant,ø,A,R,SA,ø,C,CL,CLC,CLCL,CLCLC,C,CC,KCC,CKCC,LCKCC,ø,CVV,CVV,CVCC,0,0,3,0,0,2,1,1,1,2,2,1,1,101,11,1111,2,3,2,1,CL,CL,CKCC,C,C,C,?,?,CC,L,L,K,1,1,2,F,3,ultima
2,2,3,Ka,da,ver,er,ø,N,N,S,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,101,101,111,2,3,2,1,CK,CL,CKC,C,C,C,?,?,C,K,L,K,1,1,0,T,3,paenultima
3,2,3,Stu,te,rei,ei,ø,N,N,SA,ø,C,CC,CCL,CCLC,CCLCK,D,CD,KCD,CKCD,LCKCD,ø,CCVV,CV,CVV,1,1,0,0,0,0,2,1,1,2,1,2,1,201,101,11,2,2,4,-1,CCL,CK,CD,CC,C,C,?,?,?,L,K,D,1,0,1,T,3,ultima
5,3,2,durch,ha2,en,en,durch,V,PV,SS,acc,C,CK,CKC,CKCC,CKCCC,C,KC,DKC,CDKC,CCDKC,ø,CVCC,CVV,VC,3,0,1,2,0,1,1,1,0,1,2,1,2,211,101,1001,2,3,3,1,CKCC,CD,KC,C,C,?,CC,?,C,K,D,K,2,1,0,F,3,paenultima
3,3,3,Ein,sil,ber,er,ein,N,ø,SSA,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,CCKC,KCCKC,ø,VVC,CVC,CVC,0,2,2,1,1,1,0,1,1,2,1,1,2,1001,111,111,4,3,2,-1,DC,CKC,CKC,?,C,C,C,C,C,D,K,K,1,1,0,T,3,antepaenultima
2,2,3,Ba,ri,ton,on,ø,N,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,C,KC,CKC,LCKC,CLCKC,ø,CVV,CVV,CVC,0,0,2,0,0,1,1,1,1,2,2,1,0,101,11,1101,3,4,2,1,CL,CL,CKC,C,C,C,?,?,C,L,L,K,1,1,1,T,3,antepaenultima
2,4,3,Be,glei,ter,er,be,N,V,SA,noacc,C,CK,CKC,CKCC,CKCCD,C,KC,CKC,DCKC,CDCKC,ø,CV,CCVV,CVC,1,1,2,0,0,1,1,2,1,1,2,1,1,101,111,111,2,3,2,1,CK,CCD,CKC,C,CC,C,?,?,C,K,D,K,0,1,0,T,3,paenultima
2,3,3,er,mor,den,en,er,V,V,AS,noacc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,11,1011,1101,3,3,2,1,KC,CKC,CKC,?,C,C,C,C,C,K,K,K,1,1,0,F,3,paenultima
2,2,3,Al,bu,men,en,ø,N,N,S,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,11,101,2001,3,3,2,1,KC,CL,CKC,?,C,C,C,?,C,K,L,K,1,1,0,T,3,paenultima
3,2,3,ein,at,men,en,ein,V,V,AS,acc,D,DC,DCL,DCLC,DCLCC,C,KC,CKC,CCKC,LCCKC,ø,VVC,VVC,CVC,0,0,2,1,1,1,0,0,1,2,2,1,1,1001,101,2001,4,3,2,1,DC,LC,CKC,?,?,C,C,C,C,D,L,K,1,1,0,F,3,antepaenultima
3,6,3,ver,schlei,men,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,DCKC,CDCKC,ø,CVC,CCVV,CVC,2,1,2,1,0,1,1,2,1,1,2,1,1,111,111,2001,2,3,2,1,CKC,CCD,CKC,C,CC,C,C,?,C,K,D,K,1,1,0,F,3,paenultima
2,3,3,pu,pil,lar,ar,ø,A,N,SA,ø,C,CL,CLC,CLCK,CLCKC,C,LC,CLC,KCLC,CKCLC,ø,CVV,CVC,CVVC,0,2,1,0,1,1,1,1,1,2,1,2,1,101,101,21,3,3,4,-1,CL,CK,CLC,C,C,C,?,?,C,L,K,L,1,1,1,F,3,ultima
2,3,4,ab,ser,beln,eln,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,CCKCC,ø,VC,CVC,CVCC,1,2,3,1,1,2,0,1,1,1,1,1,1,101,111,1111,2,2,2,1,KC,CKC,CKCC,?,C,C,C,C,CC,K,K,K,1,1,0,F,3,antepaenultima
2,3,4,Be,din,gung,ung,be,N,V,SA,noacc,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,KCKC,CKCKC,ø,CV,CVC,CVC,1,2,2,0,1,1,1,1,1,1,1,1,1,101,101,2001,2,3,3,1,CK,CK,CKC,C,C,C,?,?,C,K,K,K,0,1,1,T,3,paenultima
2,3,3,an,lei,nen,en,an,V,V,AS,acc,K,KC,KCC,KCCD,KCCDC,C,KC,CKC,DCKC,CDCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,1001,11,2001,3,4,2,1,KC,CD,CKC,?,C,C,C,?,C,K,D,K,1,1,0,F,3,antepaenultima
3,3,3,aus,ker,ben,en,aus,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,CCKC,KCCKC,ø,VVC,CVC,CVC,0,2,2,1,1,1,0,1,1,2,1,1,1,101,111,1101,3,2,2,1,DC,CKC,CKC,?,C,C,C,C,C,D,K,K,1,1,0,F,3,antepaenultima
3,3,3,aus,zie,hen,en,aus,V,V,AS,acc,D,DC,DCA,DCAL,DCALK,C,KC,LKC,ALKC,CALKC,ø,VVC,CVV,VC,0,0,1,1,0,1,0,1,0,2,2,1,1,101,101,1001,3,3,3,1,DC,AL,KC,?,A,?,C,?,C,D,L,K,1,1,0,F,3,antepaenultima
2,5,3,zu,schul,den,en,zu,ADV,ø,SSA,acc,A,AL,ALC,ALCK,ALCKC,C,KC,CKC,CCKC,KCCKC,ø,CVV,CVC,CVC,0,2,2,0,1,1,1,1,1,2,1,1,2,101,111,1101,3,3,2,1,AL,CKC,CKC,A,C,C,?,C,C,L,K,K,1,1,0,F,3,paenultima
2,2,3,be,no,ten,en,be,V,N,AS,noacc,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,LCKC,CLCKC,ø,CV,CVV,CVC,1,0,2,0,0,1,1,1,1,1,2,1,1,101,1001,1101,2,3,2,1,CK,CL,CKC,C,C,C,?,?,C,K,L,K,0,1,0,F,3,paenultima
1,2,3,A,zu,rit,it,ø,N,N,SA,ø,K,KA,KAL,KALC,KALCL,C,LC,CLC,LCLC,ALCLC,ø,VC,CVV,CVVC,1,0,1,1,0,1,0,1,1,1,2,2,1,1,101,111,4,3,3,1,K,AL,CLC,?,A,C,?,?,C,K,L,L,1,1,1,T,3,ultima
2,4,5,K2,chen,stuhl,uhl,ø,N,NN,SAS,ø,C,CK,CKC,CKCK,CKCKC,C,LC,CLC,CCLC,CCCLC,ø,CVC,CVC,CCVVC,2,2,1,1,1,1,1,1,2,1,1,2,2,101,1101,211,3,2,2,1,CK,CKC,CCLC,C,C,CC,?,C,C,K,K,L,1,0,1,T,3,antepaenultima
3,3,4,Hin,ter,land,and,hinter,N,ø,SS,acc,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVC,CVCC,2,2,3,1,1,2,1,1,1,1,1,1,2,1101,111,1111,2,2,2,1,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,1,0,2,T,3,antepaenultima
