syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,10,9,15,3,3,4,5,2,light,light,light,light,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,2,4,4,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,N,V,T,1,Demaskierung,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,9,13,3,4,4,4,1,light,light,light,schwa,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,3,3,3,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,V,ø,F,0,dementieren,paenultima
ø,ø,e,ie,hie,ø,aphie,L,CL,KCL,CKCL,CCKCL,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,11,9,3,4,3,4,0,light,light,light,light,o,o,c,o,CL,CL,CCK,CL,C,C,CC,C,,,,,L,L,K,L,2,2,3,4,0,0,1,0,1,1,2,1,2,2,1,2,CVV,CVV,CCVC,CVV,0,0,3,0,N,ø,T,0,Demographie,ultima
ø,ø,h,ch,sch,isch,hisch,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,15,10,3,4,5,3,1,light,light,light,light,o,o,o,c,CL,CL,CCL,CKC,C,C,CC,C,,,,C,L,L,L,K,2,2,3,6,0,0,0,1,1,1,2,1,2,2,2,1,CVV,CVV,CCVV,CVC,0,0,1,2,A,N,F,1,demographisch,paenultima
le,ø,e,le,lle,elle,ø,C,KC,CKC,KCKC,ø,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCL,CLCLK,ø,7,9,6,11,3,4,6,3,1,light,light,light,light,o,o,c,c,CL,CL,K,CKC,C,C,,C,,,,C,L,L,K,K,2,3,3,2,0,0,1,1,1,1,0,1,2,2,1,1,CVV,CVV,VC,CVC,0,0,1,2,N,ø,T,0,Demoiselle,ultima
ø,ø,e,ie,ø,ø,ø,L,CL,KCL,CKCL,CCKCL,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,11,9,3,4,3,4,0,light,light,light,light,o,o,c,o,CL,CL,CCK,CL,C,C,CC,C,,,,,L,L,K,L,2,2,3,3,0,0,1,0,1,1,2,1,2,2,1,2,CVV,CVV,CCVC,CVV,0,0,3,0,N,N,T,1,Demokratie,ultima
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,15,10,3,4,5,3,1,light,light,light,light,o,o,o,c,CL,CL,CCL,CKC,C,C,CC,C,,,,C,L,L,L,K,2,2,3,5,0,0,0,1,1,1,2,1,2,2,2,1,CVV,CVV,CCVV,CVC,0,0,1,2,A,N,F,1,demokratisch,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,12,13,3,4,6,4,2,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,ø,F,0,demolieren,paenultima
tiv,ø,v,iv,tiv,ativ,ø,C,LC,CLC,KCLC,CKCLC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,12,10,3,4,3,3,1,light,light,light,light,o,c,c,c,CL,CKC,CCCK,CLC,C,C,CCC,C,,C,,C,L,K,K,L,2,3,4,3,0,1,1,1,1,1,3,1,2,1,1,2,CVV,CVC,CCCVC,CVVC,0,2,4,1,A,R,F,1,demonstrativ,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,14,13,3,4,3,4,2,light,light,light,schwa,o,c,o,c,CL,CKC,CCCL,CKC,C,C,CCC,C,,C,,C,L,K,L,K,2,3,5,3,0,1,0,1,1,1,3,1,2,1,2,1,CVV,CVC,CCCVV,CVC,0,2,1,2,V,R,F,1,demonstrieren,paenultima
