syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abs,Abse,Absei,K,KC,KCC,KCCD,KCCDA,acc,7,12,8,15,3,4,2,5,2,light,light,light,light,c,c,c,c,KC,CDA,CCK,CKC,,C,CC,C,C,A,,C,K,D,K,K,2,5,4,4,1,1,1,1,0,1,2,1,1,2,1,1,VC,CVVC,CCVC,CVC,1,1,3,2,N,ø,T,2,Abseitsstellung,prima
te,ø,e,te,tte,ette,kette,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abs,Absp,Abspe,K,KC,KCC,KCCC,KCCCK,acc,7,12,7,7,3,3,3,3,-1,light,light,light,schwa,c,c,c,o,KC,CCKC,CK,CK,,CC,C,C,C,C,,,K,K,K,K,2,5,3,2,1,1,1,0,0,2,1,1,1,1,1,1,VC,CCVC,CVC,CV,1,3,2,1,N,VN,T,2,Absperrkette,prima
fen,ø,n,en,fen,afen,hafen,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abs,Absp,Abspr,K,KC,KCC,KCCC,KCCCC,acc,7,17,11,10,3,3,5,3,0,light,light,light,schwa,c,c,o,c,KC,CCCKC,CL,CKC,,CCC,C,C,C,C,,C,K,K,L,K,2,6,2,3,1,1,0,1,0,3,1,1,1,1,2,1,VC,CCCVC,CVV,CVC,1,4,0,2,N,NN,T,2,Absprunghafen,prima
me,ø,e,me,mme,umme,summe,K,CK,KCK,CKCK,ACKCK,ø,Ab,ø,A,Ab,Abs,Abst,Absta,K,KC,KCC,KCCC,KCCCK,ø,7,12,9,9,3,2,4,4,0,light,heavy,light,schwa,c,c,c,o,KC,CCKCA,CK,CK,,CC,C,C,C,CA,,,K,K,K,K,2,6,3,2,1,2,1,0,0,2,1,1,1,1,1,1,VC,CCVCC,CVC,CV,1,4,2,1,N,NN,T,2,Abstandssumme,prima
hof,ø,f,of,hof,nhof,hnhof,C,LC,CLC,CCLC,LCCLC,ø,Ab,ø,A,Ab,Abs,Abst,Abste,K,KC,KCC,KCCC,KCCCK,acc,7,12,14,8,3,3,4,2,0,light,light,light,light,c,c,c,c,KC,CCKC,CLC,CLC,,CC,C,C,C,C,C,C,K,K,L,L,2,5,4,3,1,1,1,1,0,2,1,1,1,1,2,2,VC,CCVC,CVVC,CVVC,1,3,1,1,N,VN,T,2,Abstellbahnhof,prima
fe,ø,e,fe,rfe,erfe,aerfe,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,acc,7,13,11,7,3,3,3,3,-1,light,light,light,schwa,c,c,c,o,KC,CCKC,CKC,CK,,CC,C,C,C,C,C,,K,K,K,K,2,5,5,2,1,1,1,0,0,2,1,1,1,1,1,1,VC,CCVC,CVC,CV,1,3,2,1,N,VN,T,2,Abstimmschaerfe,prima
tag,ø,g,ag,tag,ztag,nztag,C,LC,CLC,ACLC,CACLC,ø,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCL,ø,7,10,13,12,3,3,3,4,1,light,light,heavy,light,c,o,c,c,KC,CCL,CKCA,CLC,,CC,C,C,C,,CA,C,K,L,K,L,2,3,4,3,1,0,2,1,0,2,1,1,1,2,1,2,VC,CCVV,CVCC,CVVC,1,1,3,1,N,NN,T,2,Abstinenztag,paenultima
reich,ø,h,ch,ich,eich,reich,C,DC,CDC,CCDC,CCCDC,ø,ab,ab,a,ab,abw,abwe,abwec,K,KC,KCC,KCCK,KCCKC,acc,7,8,17,15,3,2,3,5,3,light,light,heavy,light,c,c,c,c,KC,CKC,CCKCC,CDC,,C,CC,C,C,C,CC,C,K,K,K,D,2,5,5,5,1,1,2,1,0,1,2,1,1,1,1,2,VC,CVC,CCVCC,CVVC,1,2,4,1,A,NA,F,2,abwechslungsreich,prima
sch2tz,ø,z,tz,etz,uetz,huetz,A,KA,CKA,KCKA,CKCKA,ø,Ab,ø,A,Ab,Abw,Abwe,Abweh,K,KC,KCC,KCCL,KCCLC,acc,7,11,7,10,3,3,3,3,0,light,light,schwa,light,c,c,o,c,KC,CLC,CK,CKA,,C,C,C,C,C,,A,K,L,K,K,2,4,2,6,1,1,0,1,0,1,1,1,1,2,1,1,VC,CVVC,CV,CVC,1,1,1,2,N,VN,T,2,Abwehrgeschuetz,prima
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,ø,ab,ab,a,ab,abz,abzu,abzug,K,KC,KCA,KCAL,KCALC,acc,7,11,7,9,3,2,3,4,0,light,heavy,light,light,c,c,o,c,KC,ALCC,CL,KC,,A,C,,C,CC,,C,K,L,L,K,2,4,2,3,1,2,0,1,0,1,1,0,1,2,2,1,VC,CVVCC,CVV,VC,1,1,0,1,A,NA,F,2,abzugsfaehig,prima
