syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl0,syl1,syl2,syl3,syl4,syl5,syl6,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,nomen,sylcnt,stress_class
1,2,2,2,2,3,4,A,me,ri,ka,ni,sie,rung,ung,ø,N,V,SA,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVC,CVV,CVV,CVC,1,0,0,2,0,0,2,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1001,11,101,1001,101,1011,4,3,4,2,3,3,3,1,K,CL,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,L,L,K,L,L,K,1,1,1,1,1,1,1,T,7,paenultima
1,2,3,2,2,3,3,a,na,the,ma,ti,sie,ren,en,ø,V,N,SA,ø,K,KC,KCK,KCKC,KCKCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,CVV,CVV,CVC,1,2,0,2,0,0,2,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1001,101,1001,101,101,1011,4,3,2,3,3,3,3,1,K,CK,CL,CK,CL,CL,CKC,,C,C,C,C,C,C,,,,,,,C,K,K,L,K,L,L,K,1,1,1,1,1,1,0,F,7,paenultima
2,3,2,3,2,2,3,an,ein,an,der,ge,ra,ten,en,an,V,BV,SS,acc,K,KC,KCD,KCDC,KCDCK,C,KC,CKC,LCKC,CLCKC,ø,VC,VVC,VC,CVC,CV,CVV,CVC,1,0,1,2,1,0,2,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,2,1,1,1,2,1,2,1001,1001,1001,111,101,11,1101,3,4,3,2,2,4,2,-1,KC,DC,KC,CKC,CK,CL,CKC,,,,C,C,C,C,C,C,C,C,,,C,K,D,K,K,K,L,K,1,1,1,0,0,1,0,F,7,undef
2,3,1,2,2,2,3,An,glo,a,me,ri,ka,ner,er,ø,N,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,VC,CVV,CVV,CVV,CVC,1,1,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,1,1,1,1,2,1,2,2,2,1,0,1001,111,1,1001,11,101,1011,3,2,4,3,4,3,3,0,KC,CCL,K,CL,CL,CL,CKC,,CC,,C,C,C,C,C,,,,,,C,K,L,K,L,L,L,K,1,1,1,1,1,1,0,T,7,paenultima
2,3,2,3,3,2,4,An,nah,me,ver,wei,ge,rung,ung,an,N,NV,ø,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVV,CV,CVC,CVV,CV,CVC,1,0,1,2,0,1,2,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1001,1001,1001,111,101,101,1011,3,4,3,2,3,2,3,-1,KC,CL,CK,CKC,CD,CK,CKC,,C,C,C,C,C,C,C,,,C,,,C,K,L,K,K,D,K,K,1,1,0,1,1,0,1,T,7,prima
2,3,2,1,3,2,3,An,nun,zi,a,ten,or,den,en,ø,N,ø,ø,ø,K,KC,KCK,KCKC,KCKCA,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVV,VV,CVC,VC,CVC,1,2,0,0,2,1,2,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,2,2,1,1,1,0,1,2001,101,1,1101,11,1101,4,3,3,6,2,3,2,1,K,CKC,AL,L,CKC,KC,CKC,,C,A,,C,,C,,C,,,C,C,C,K,K,L,L,K,K,K,1,1,1,1,0,1,0,T,7,undef
2,2,2,2,2,1,5,an,te,di,lu,vi,a,nisch,isch,ø,A,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,LLCKC,ø,VC,CVV,CVV,CVV,CVV,VV,CVC,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,2,2,2,2,2,1,0,1001,101,101,11,101,1,1101,3,2,3,4,3,6,2,1,KC,CL,CL,CL,CL,L,CKC,,C,C,C,C,,C,C,,,,,,C,K,L,L,L,L,L,K,1,1,1,1,1,1,1,F,7,paenultima
2,2,2,2,2,2,3,An,ti,al,ko,ho,li,ker,er,ø,N,N,AS,ø,K,KC,KCC,KCCL,KCCLK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,VC,CVV,CVV,CVV,CVC,1,0,1,0,0,0,2,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,2,1,2,2,2,1,1,1001,101,11,101,101,11,111,3,3,3,2,2,4,2,-1,KC,CL,KC,CL,CL,CL,CKC,,C,,C,C,C,C,C,,C,,,,C,K,L,K,L,L,L,K,1,1,1,1,1,1,0,T,7,antepaenultima
2,2,3,3,2,1,4,an,ti,kon,zep,ti,o,nell,ell,ø,A,A,AS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,LLCKC,ø,VC,CVV,CVC,CVC,CVV,VV,CVC,1,0,2,2,0,0,2,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,2,1,1,2,2,1,1,1001,101,1101,201,101,1,1011,3,3,2,2,3,4,3,-1,KC,CL,CKC,AKC,AL,L,CKC,,C,C,A,A,,C,C,,C,C,,,C,K,L,K,K,L,L,K,1,1,1,1,1,1,1,F,7,ultima
2,2,2,2,2,3,3,An,ti,mi,li,ta,ris,mus,us,ø,N,N,AS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,noacc,VC,CVV,CVV,CVV,CVC,CVC,CVC,1,0,0,0,2,2,2,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1001,101,1001,11,101,111,1101,3,3,3,4,2,3,2,-1,KC,CL,CL,CL,CK,CKC,CKC,,C,C,C,C,C,C,C,,,,,C,C,K,L,L,L,K,K,K,1,1,1,1,1,1,1,T,7,paenultima
