syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
ten,ø,n,en,ten,tten,atten,C,KC,CKC,KCKC,CKCKC,ø,gat,ø,g,ga,gat,gatt,gatte,C,CK,CKC,CKCK,CKCKC,ø,7,10,3,3,2,light,schwa,c,c,CK,CKC,C,C,,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,V,N,F,1,gatten,paenultima
te,ø,e,te,tte,atte,Gatte,K,CK,KCK,CKCK,ø,ø,Gat,ø,G,Ga,Gat,Gatt,Gatte,C,CK,CKC,CKCK,ø,ø,7,7,3,3,0,light,schwa,c,o,CK,CK,C,C,,,K,K,3,2,1,0,1,1,1,1,CVC,CV,2,1,N,N,T,1,Gatte,paenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,ø,gat,ø,g,ga,gat,gatt,gatte,C,CK,CKC,CKCK,CKCKC,ø,7,14,3,3,4,light,schwa,c,c,CK,CKCC,C,C,,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,V,V,F,1,gattern,paenultima
tin,ø,n,in,tin,ttin,attin,C,KC,CKC,KCKC,CKCKC,ø,Gat,ø,G,Ga,Gat,Gatt,Gatti,C,CK,CKC,CKCK,CKCKC,ø,7,12,3,4,3,light,light,c,c,CK,CKC,C,C,,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Gattin,paenultima
tung,ø,g,ng,ung,tung,ttung,C,KC,CKC,KCKC,CKCKC,ø,Gat,ø,G,Ga,Gat,Gatt,Gattu,C,CK,CKC,CKCK,CKCKC,ø,7,12,3,4,3,light,light,c,c,CK,CKC,C,C,,C,K,K,3,4,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Gattung,paenultima
keln,ø,n,ln,eln,keln,ukeln,C,CC,KCC,CKCC,DCKCC,ø,gau,ø,g,ga,gau,gauk,gauke,C,CD,CDC,CDCK,CDCKC,ø,11,14,5,3,2,light,schwa,o,c,CD,CKCC,C,C,,CC,D,K,3,4,0,2,1,1,2,1,CVV,CVCC,0,3,V,V,F,1,gaukeln,paenultima
men,ø,n,en,men,umen,aumen,C,KC,CKC,DCKC,CDCKC,ø,Gau,ø,G,Ga,Gau,Gaum,Gaume,C,CD,CDC,CDCK,CDCKC,ø,11,12,5,4,1,light,schwa,o,c,CD,CKC,C,C,,C,D,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Gaumen,paenultima
ner,ø,r,er,ner,uner,auner,C,KC,CKC,DCKC,CDCKC,ø,Gau,ø,G,Ga,Gau,Gaun,Gaune,C,CD,CDC,CDCK,CDCKC,ø,11,13,5,4,1,light,schwa,o,c,CD,CKC,C,C,,C,D,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Gauner,paenultima
ze,ø,e,ze,aze,Gaze,ø,K,CK,LCK,CLCK,ø,ø,Ga,ø,G,Ga,Gaz,Gaze,ø,C,CL,CLC,CLCK,ø,ø,11,7,5,3,-2,light,schwa,o,o,CL,CK,C,C,,,L,K,2,2,0,0,1,1,2,1,CVV,CV,0,1,N,N,T,1,Gaze,paenultima
ben,ø,n,en,ben,eben,geben,C,KC,CKC,LCKC,CLCKC,ø,ge,ø,g,ge,geb,gebe,geben,C,CL,CLC,CLCK,CLCKC,ø,7,10,3,3,2,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,V,F,1,geben,paenultima
