syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
der,ø,r,er,der,uder,Luder,C,KC,CKC,LCKC,CLCKC,Lu,ø,L,Lu,Lud,Lude,Luder,C,CL,CLC,CLCK,CLCKC,12,11,6,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Luder,paenultima
ten,ø,n,en,ten,ften,eften,C,KC,CKC,CCKC,KCCKC,l2f,ø,l,lu,lue,luef,lueft,C,CK,CKC,CKCC,CKCCK,13,10,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,V,N,F,1,lueften,paenultima
chen,chen,n,en,hen,chen,tchen,C,KC,CKC,CCKC,CCCKC,L2ft,ø,L,Lu,Lue,Luef,Lueft,C,CK,CKC,CKCC,CKCCC,14,10,3,3,-2,heavy,schwa,c,c,CKCC,CKC,C,C,CC,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,N,N,T,1,Lueftchen,paenultima
ter,ø,r,er,ter,fter,efter,C,KC,CKC,CCKC,KCCKC,L2f,ø,L,Lu,Lue,Luef,Lueft,C,CK,CKC,CKCC,CKCCK,13,11,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,V,T,1,Luefter,paenultima
tig,ø,g,ig,tig,ftig,uftig,C,KC,CKC,CCKC,KCCKC,luf,ø,l,lu,luf,luft,lufti,C,CK,CKC,CKCC,CKCCK,13,10,4,3,-1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,A,N,F,1,luftig,paenultima
leer,ø,r,er,eer,leer,tleer,C,LC,CLC,CCLC,CCCLC,luft,ø,l,lu,luf,luft,luftl,C,CK,CKC,CKCC,CKCCC,14,14,3,4,0,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,4,4,2,1,1,1,1,2,CVCC,CVVC,3,1,A,N,F,1,luftleer,paenultima
tung,ø,g,ng,ung,tung,ftung,C,KC,CKC,CCKC,KCCKC,L2f,ø,L,Lu,Lue,Luef,Lueft,C,CK,CKC,CKCC,CKCCK,13,12,4,4,0,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,4,1,1,1,1,1,1,CVC,CVC,2,2,N,V,T,1,Lueftung,paenultima
gen,ø,n,en,gen,egen,uegen,C,KC,CKC,LCKC,CLCKC,l2,ø,l,lu,lue,lueg,luege,C,CL,CLC,CLCK,CLCKC,12,10,6,3,-1,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,V,F,1,luegen,paenultima
ge,ø,e,ge,ege,uege,Luege,K,CK,LCK,CLCK,ø,L2,ø,L,Lu,Lue,Lueg,Luege,C,CL,CLC,CLCK,ø,12,7,6,3,-2,light,schwa,o,o,CL,CK,C,C,,,L,K,2,2,0,0,1,1,2,1,CVV,CV,0,1,N,V,T,1,Luege,paenultima
ner,ø,r,er,ner,gner,egner,C,KC,CKC,CCKC,LCCKC,L2g,ø,L,Lu,Lue,Lueg,Luegn,C,CL,CLC,CLCC,CLCCK,12,14,6,3,1,light,schwa,o,c,CL,CCKC,C,CC,,C,L,K,3,3,0,1,1,2,2,1,CVV,CCVC,0,3,N,V,T,1,Luegner,paenultima
