syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
setz,ø,z,tz,etz,setz,esetz,A,KA,CKA,KCKA,CKCKA,ø,An,ø,A,An,Ant,Anti,Antid,K,KC,KCC,KCCL,KCCLC,ø,9,9,10,12,7,8,4,4,3,4,3,2,-1,light,light,light,light,schwa,light,c,o,c,c,o,c,KC,CL,CKC,CKC,CK,CKA,,C,C,C,C,C,C,,C,C,,A,K,L,K,K,K,K,2,2,3,4,2,4,1,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,1,1,VC,CVV,CVC,CVC,CV,CVC,1,0,2,2,1,2,N,NN,T,2,Antidumpinggesetz,undef
gend,ø,d,nd,end,gend,egend,C,CC,KCC,CKCC,LCKCC,ø,ap,ø,a,ap,app,appe,appet,K,KC,KCL,KCLC,KCLCL,ø,6,7,10,9,10,11,6,3,3,4,5,2,0,light,light,light,light,light,schwa,c,o,c,c,o,c,K,CL,CLC,KC,CL,CKCC,,C,C,,C,C,,,C,C,,CC,K,L,L,K,L,K,2,2,3,2,2,4,1,0,1,1,0,2,0,1,1,0,1,1,1,2,2,1,2,1,VC,CVV,CVVC,VC,CVV,CVCC,1,0,1,1,0,3,A,NA,F,2,appetitanregend,undef
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,ø,Ap,ø,A,Ap,App,Appe,Appet,K,KC,KCL,KCLC,KCLCL,ø,6,7,10,10,10,12,6,3,3,5,3,4,1,light,light,light,light,light,light,c,o,c,o,c,c,K,CL,CLC,CL,CKC,CDC,,C,C,C,C,C,,,C,,C,C,K,L,L,L,K,D,2,2,3,2,3,4,1,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,1,2,VC,CVV,CVVC,CVV,CVC,CVVC,1,0,1,0,2,1,N,A,T,1,Appetitlosigkeit,undef
den,ø,n,en,den,aden,faden,C,KC,CKC,LCKC,CLCKC,ø,A,ø,A,Ar,Ari,Aria,Ariad,K,KC,KCL,KCLL,KCLLC,ø,6,12,10,10,11,10,6,6,10,3,5,3,0,light,light,light,schwa,light,schwa,c,o,o,o,o,c,K,CL,L,CCK,CL,CKC,,C,,CC,C,C,,,,,,C,K,L,L,K,L,K,1,2,2,2,2,3,1,0,0,0,0,1,0,1,0,2,1,1,1,2,2,1,2,1,VC,CVV,VV,CCV,CVV,CVC,1,0,0,2,0,2,N,ø,T,0,Ariadnefaden,undef
cke,ø,e,ke,cke,ocke,locke,K,CK,KCK,CKCK,CCKCK,ø,Ar,ø,A,Ar,Arm,Arme,Armes,K,KC,KCC,KCCK,KCCKC,ø,10,9,12,11,11,7,5,4,4,3,3,3,-1,light,schwa,light,schwa,light,schwa,c,o,c,c,c,o,KC,CK,CKC,CKC,CCK,CK,,C,C,C,CC,C,C,,C,C,,,K,K,K,K,K,K,2,2,3,3,3,3,1,0,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,VC,CV,CVC,CVC,CCVC,CV,1,1,2,2,3,1,N,NN,T,2,Armesuenderglocke,undef
$en,ø,n,en,sen,ssen,issen,C,KC,CKC,DCKC,CDCKC,ø,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,11,10,5,6,4,3,5,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,DC,DC,KC,CKC,CD,CKC,,,,C,C,C,C,C,C,C,,C,D,D,K,K,D,K,3,3,2,3,3,3,1,1,1,1,0,1,0,0,0,1,1,1,2,2,1,1,2,1,VVC,VVC,VC,CVC,CVV,CVC,0,0,1,2,0,2,V,BV,F,2,aufeinanderbeissen,undef
gen,ø,n,en,gen,lgen,olgen,C,KC,CKC,CCKC,KCCKC,ø,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,11,10,5,6,4,3,3,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,c,c,DC,DC,KC,CKC,CKC,CKC,,,,C,C,C,C,C,C,C,C,C,D,D,K,K,K,K,3,3,2,3,3,3,1,1,1,1,1,1,0,0,0,1,1,1,2,2,1,1,1,1,VVC,VVC,VC,CVC,CVC,CVC,0,0,1,2,2,2,V,BV,F,2,aufeinanderfolgen,undef
gen,ø,n,en,gen,egen,legen,C,KC,CKC,LCKC,CLCKC,ø,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,10,10,5,6,4,3,5,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,DC,DC,KC,CKC,CL,CKC,,,,C,C,C,C,C,C,C,,C,D,D,K,K,L,K,3,3,2,3,2,3,1,1,1,1,0,1,0,0,0,1,1,1,2,2,1,1,2,1,VVC,VVC,VC,CVC,CVV,CVC,0,0,1,2,0,2,V,BV,F,2,aufeinanderlegen,undef
len,ø,n,en,len,llen,allen,C,KC,CKC,KCKC,CKCKC,ø,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,11,13,5,6,4,3,3,4,0,light,light,light,schwa,light,schwa,c,c,c,c,c,c,DC,DC,KC,CKC,CCK,CKC,,,,C,CC,C,C,C,C,C,,C,D,D,K,K,K,K,3,3,2,3,4,3,1,1,1,1,1,1,0,0,0,1,2,1,2,2,1,1,1,1,VVC,VVC,VC,CVC,CCVC,CVC,0,0,1,2,3,2,V,BV,F,2,aufeinanderprallen,undef
sen,ø,n,en,sen,ssen,essen,C,KC,CKC,KCKC,CKCKC,ø,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,acc,11,13,9,11,11,10,5,6,4,3,3,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,c,c,DC,DC,KC,CKC,CCK,CKC,,,,C,CC,C,C,C,C,C,,C,D,D,K,K,K,K,3,3,2,3,4,3,1,1,1,1,1,1,0,0,0,1,2,1,2,2,1,1,1,1,VVC,VVC,VC,CVC,CCVC,CVC,0,0,1,2,3,2,V,BV,F,2,aufeinanderpressen,undef
