syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
plar,ø,r,ar,lar,plar,mplar,C,LC,CLC,CCLC,CCCLC,Ex,ø,E,Ex,Exe,Exem,Exemp,K,KC,KCC,KCCK,KCCKC,6,11,19,6,2,4,6,light,light,light,c,c,c,K,CCKC,CCLC,,CC,CC,,C,C,K,K,L,2,2,4,1,1,1,0,2,2,1,1,2,VC,CCVC,CCVVC,1,3,1,N,N,T,1,Exemplar,ultima
liert,ø,t,rt,ert,iert,liert,C,CC,LCC,CLCC,LCLCC,e,ø,e,ex,exi,exil,exili,K,KC,KCC,KCCL,KCCLC,6,10,17,6,3,4,5,light,light,heavy,c,o,c,K,CCL,CLCC,,CC,C,,,CC,K,L,L,1,2,5,1,0,2,0,2,1,1,2,2,VC,CCVV,CVVCC,1,1,1,A,N,F,1,exiliert,ultima
stent,ø,t,nt,ent,tent,stent,C,CC,KCC,CKCC,CCKCC,e,ø,e,ex,exi,exis,exist,K,KC,KCC,KCCK,KCCKC,6,11,11,6,2,2,2,light,light,heavy,c,c,c,K,CCKC,CKCC,,CC,C,,C,CC,K,K,K,1,2,5,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,A,R,F,1,existent,ultima
stenz,ø,z,nz,enz,tenz,stenz,A,CA,KCA,CKCA,CCKCA,E,ø,E,Ex,Exi,Exis,Exist,K,KC,KCC,KCCK,KCCKC,6,11,11,6,2,2,2,light,light,heavy,c,c,c,K,CCKC,CKCA,,CC,C,,C,CA,K,K,K,1,2,5,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,N,ø,T,0,Existenz,ultima
siv,ø,v,iv,siv,usiv,lusiv,C,LC,CLC,LCLC,CLCLC,ex,ø,e,ex,exk,exkl,exklu,K,KC,KCC,KCCC,KCCCC,8,13,10,2,4,3,1,heavy,light,light,c,o,c,KCC,CCL,CLC,,CC,C,CC,,C,K,L,L,2,3,3,2,0,1,0,2,1,1,2,2,VCC,CCVV,CVVC,2,1,1,A,R,F,1,exklusiv,ultima
ment,ø,t,nt,ent,ment,ement,C,CC,KCC,CKCC,LCKCC,Ex,ø,E,Ex,Exk,Exkr,Exkre,K,KC,KCC,KCCC,KCCCC,8,11,13,2,3,3,2,heavy,light,heavy,c,o,c,KCC,CCL,CKCC,,CC,C,CC,,CC,K,L,K,2,3,4,2,0,2,0,2,1,1,2,1,VCC,CCVV,CVCC,2,1,3,N,ø,T,0,Exkrement,ultima
bris,ø,s,is,ris,bris,ibris,C,LC,CLC,CCLC,LCCLC,Ex,ø,E,Ex,Exl,Exli,Exlib,K,KC,KCC,KCCC,KCCCL,8,12,14,2,6,3,3,heavy,light,light,c,o,c,KCC,CL,CCLC,,C,CC,CC,,C,K,L,L,2,2,4,2,0,1,0,1,2,1,2,2,VCC,CVV,CCVVC,2,0,1,N,ø,T,0,Exlibris,paenultima
dus,ø,s,us,dus,odus,xodus,C,KC,CKC,LCKC,CLCKC,E,ø,E,Ex,Exo,Exod,Exodu,K,KC,KCC,KCCL,KCCLC,6,8,10,6,2,3,2,light,light,light,c,o,c,K,CCL,CKC,,CC,C,,,C,K,L,K,1,2,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,ø,T,0,Exodus,antepaenultima
zist,ø,t,st,ist,zist,rzist,C,CC,KCC,AKCC,CAKCC,E,ø,E,Ex,Exo,Exor,Exorz,K,KC,KCC,KCCK,KCCKC,6,12,11,6,3,2,2,light,light,heavy,c,c,c,K,CCKC,AKCC,,CC,A,,C,CC,K,K,K,1,3,4,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,N,R,T,1,Exorzist,ultima
tik,ø,k,ik,tik,otik,xotik,C,KC,CKC,LCKC,CLCKC,E,ø,E,Ex,Exo,Exot,Exoti,K,KC,KCC,KCCL,KCCLC,6,8,10,6,2,3,2,light,light,light,c,o,c,K,CCL,CKC,,CC,C,,,C,K,L,K,1,2,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,N,T,1,Exotik,paenultima
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,CLCKC,e,ø,e,ex,exo,exot,exoti,K,KC,KCC,KCCL,KCCLC,6,8,10,6,2,3,2,light,light,light,c,o,c,K,CCL,CKC,,CC,C,,,C,K,L,K,1,2,5,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,A,ø,F,0,exotisch,paenultima
siv,ø,v,iv,siv,nsiv,ansiv,C,LC,CLC,CCLC,KCCLC,ex,ø,e,ex,exp,expa,expan,K,KC,KCC,KCCC,KCCCK,8,10,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CLC,,C,C,CC,C,C,K,K,L,2,3,3,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,A,R,F,1,expansiv,ultima
dit,ø,t,it,dit,edit,pedit,C,LC,CLC,LCLC,CLCLC,Ex,ø,E,Ex,Exp,Expe,Exped,K,KC,KCC,KCCC,KCCCL,8,7,10,2,3,3,1,heavy,light,light,c,o,c,KCC,CL,CLC,,C,C,CC,,C,K,L,L,2,2,3,2,0,1,0,1,1,1,2,2,VCC,CVV,CVVC,2,0,1,N,R,T,1,Expedit,ultima
siv,ø,v,iv,siv,nsiv,ensiv,C,LC,CLC,CCLC,KCCLC,ex,ø,e,ex,exp,expe,expen,K,KC,KCC,KCCC,KCCCK,8,10,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CLC,,C,C,CC,C,C,K,K,L,2,3,3,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,A,ø,F,0,expensiv,ultima
te,ø,e,te,rte,erte,perte,K,CK,CCK,KCCK,CKCCK,Ex,ø,E,Ex,Exp,Expe,Exper,K,KC,KCC,KCCC,KCCCK,8,11,7,2,3,3,-1,heavy,light,schwa,c,c,o,KCC,CKC,CK,,C,C,CC,C,,K,K,K,2,3,2,2,1,0,0,1,1,1,1,1,VCC,CVC,CV,2,2,1,N,ø,T,0,Experte,paenultima
zit,ø,t,it,zit,izit,lizit,C,LC,ALC,LALC,CLALC,ex,ø,e,ex,exp,expl,expli,K,KC,KCC,KCCC,KCCCC,8,13,10,2,4,3,1,heavy,light,light,c,o,c,KCC,CCL,ALC,,CC,A,CC,,C,K,L,L,2,3,3,2,0,1,0,2,1,1,2,2,VCC,CCVV,CVVC,2,1,1,A,ø,F,0,explizit,ultima
siv,ø,v,iv,siv,osiv,losiv,C,LC,CLC,LCLC,CLCLC,ex,ø,e,ex,exp,expl,explo,K,KC,KCC,KCCC,KCCCC,8,11,10,2,3,3,1,heavy,light,light,c,o,c,KCC,CCL,CLC,,CC,C,CC,,C,K,L,L,2,3,3,2,0,1,0,2,1,1,2,2,VCC,CCVV,CVVC,2,1,1,A,A,F,1,explosiv,ultima
nent,ø,t,nt,ent,nent,onent,C,CC,KCC,CKCC,LCKCC,Ex,ø,E,Ex,Exp,Expo,Expon,K,KC,KCC,KCCC,KCCCL,8,7,13,2,3,3,2,heavy,light,heavy,c,o,c,KCC,CL,CKCC,,C,C,CC,,CC,K,L,K,2,2,4,2,0,2,0,1,1,1,2,1,VCC,CVV,CVCC,2,0,3,N,R,T,1,Exponent,ultima
niert,ø,t,rt,ert,iert,niert,C,CC,LCC,CLCC,LCLCC,ex,ø,e,ex,exp,expo,expon,K,KC,KCC,KCCC,KCCCL,8,7,16,2,3,4,4,heavy,light,heavy,c,o,c,KCC,CL,CLCC,,C,C,CC,,CC,K,L,L,2,2,5,2,0,2,0,1,1,1,2,2,VCC,CVV,CVVCC,2,0,1,A,F,F,1,exponiert,ultima
