syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
lung,ø,g,ng,ung,lung,hlung,C,KC,CKC,LCKC,CLCKC,Ra,ø,R,Ra,Rad,Radi,Radiu,C,CL,CLC,CLCL,CLCLK,14,9,11,7,16,15,7,4,5,3,4,5,0,light,light,light,schwa,light,light,o,o,c,o,o,c,CL,CL,KC,CK,CCCL,CKC,C,C,,C,CCC,C,,,C,,,C,L,L,K,K,L,K,2,2,2,2,5,4,0,0,1,0,0,1,1,1,0,1,3,1,2,2,1,1,2,1,CVV,CVV,VC,CV,CCCVV,CVC,0,0,1,1,1,2,N,NN,T,2,Radiumbestrahlung,prima
pie,ø,e,ie,pie,apie,rapie,L,CL,KCL,CKCL,LCKCL,Ra,ø,R,Ra,Rad,Radi,Radiu,C,CL,CLC,CLCL,CLCLK,14,9,11,7,10,9,7,4,5,3,5,4,-1,light,light,light,light,light,light,o,o,c,o,c,o,CL,CL,KC,CL,CK,CL,C,C,,C,C,C,,,C,,,,L,L,K,L,K,L,2,2,2,3,2,3,0,0,1,0,1,0,1,1,0,1,1,1,2,2,1,2,1,2,CVV,CVV,VC,CVV,CVC,CVV,0,0,1,0,2,0,N,NN,T,2,Radiumtherapie,prima
ne,ø,e,ne,ine,hine,chine,K,CK,LCK,CLCK,KCLCK,Ra,ø,R,Ra,Ras,Rase,Rasen,C,CL,CLC,CLCK,CLCKC,14,10,9,9,9,9,7,3,4,4,4,4,-1,light,schwa,light,light,light,schwa,o,c,o,c,o,o,CL,CKC,CL,CK,CL,CK,C,C,C,C,C,C,,C,,,,,L,K,L,K,L,K,2,3,3,2,4,2,0,1,0,1,0,0,1,1,1,1,1,1,2,1,2,1,2,1,CVV,CVC,CVV,CVC,CVV,CV,0,2,0,2,0,1,N,NN,T,2,Rasenmaehmaschine,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,ra,ø,r,ra,rat,rati,ratio,C,CK,CKA,CKAL,CKALL,10,9,6,12,11,7,5,4,6,4,5,3,-1,light,light,light,schwa,light,schwa,c,o,o,c,o,o,CK,AL,L,CKC,CD,CK,C,A,,C,C,C,,,,C,,,K,L,L,K,D,K,2,2,1,3,3,2,1,0,0,1,0,0,1,1,0,1,1,1,1,2,2,1,2,1,CVC,CVV,VV,CVC,CVV,CV,2,0,0,2,0,1,ADV,NA,F,2,rationenweise,undef
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,re,ø,r,re,rea,reak,reakt,C,CL,CLK,CLKC,CLKCA,10,7,9,10,7,9,5,3,4,3,3,4,-1,light,light,light,heavy,light,light,o,c,o,c,o,c,CL,KC,AL,LCC,CL,KC,C,,A,,C,,,C,,CC,,C,L,K,L,L,L,K,2,2,2,3,2,3,0,1,0,2,0,1,1,0,1,0,1,0,2,1,2,2,2,1,CVV,VC,CVV,VVCC,CVV,VC,0,1,0,1,0,1,A,NA,F,2,reaktionsfaehig,antepaenultima
um,um,m,um,ium,sium,asium,C,KC,LKC,CLKC,LCLKC,Re,ø,R,Re,Rea,Real,Realg,C,CL,CLL,CLLC,CLLCC,10,14,12,13,9,11,5,7,4,6,4,5,-1,light,light,light,light,light,light,o,c,c,o,o,c,CL,LC,CKC,CL,CL,KC,C,,C,C,C,,,C,C,,,C,L,L,K,L,L,K,2,2,3,2,2,2,0,1,1,0,0,1,1,0,1,1,1,0,2,2,1,2,2,1,CVV,VVC,CVC,CVV,CVV,VC,0,0,2,0,0,1,N,AN,T,2,Realgymnasium,sekunda
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,KCCDC,Rechts,ø,R,Re,Rec,Rech,Recht,C,CK,CKC,CKCA,CKCAK,12,9,7,10,10,12,3,4,3,5,3,4,0,heavy,light,schwa,light,schwa,light,c,c,o,o,c,c,CKCA,KC,CK,CL,CKC,CDC,C,,C,C,C,C,CA,C,,,C,C,K,K,K,L,K,D,6,2,2,2,3,4,2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,2,1,2,CVCC,VC,CV,CVV,CVC,CVVC,3,1,1,0,2,1,N,NN,T,2,Rechtsangelegenheit,prima
men,ø,n,en,men,omen,nomen,C,KC,CKC,LCKC,CLCKC,Re,ø,R,Re,Ref,Refl,Refle,C,CL,CLC,CLCC,CLCCK,10,11,11,11,9,12,5,3,2,3,4,4,0,light,light,light,light,light,schwa,o,c,c,o,o,c,CL,CCK,CCLC,CCL,CL,CKC,C,CC,CC,CC,C,C,,,C,,,C,L,K,L,L,L,K,2,3,3,3,2,3,0,1,1,0,0,1,1,2,2,2,1,1,2,1,2,2,2,1,CVV,CCVC,CCVVC,CCVV,CVV,CVC,0,3,1,1,0,2,N,AN,T,2,Reflexivpronomen,undef
deur,ø,r,ur,eur,deur,ndeur,C,LC,CLC,CCLC,KCCLC,Re,ø,R,Re,Reg,Regi,Regim,C,CL,CLC,CLCL,CLCLC,10,9,13,7,12,11,5,4,3,3,4,3,0,light,light,heavy,light,light,light,o,o,c,c,c,c,CL,CL,CKCA,CK,CKC,CLC,C,C,C,C,C,C,,,CA,,C,C,L,L,K,K,K,L,2,2,5,3,3,4,0,0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,CVV,CVV,CVCC,CVC,CVC,CVVC,0,0,3,2,2,1,N,NN,T,2,Regimentskommandeur,undef
ga,ø,a,ga,iga,liga,lliga,L,CL,LCL,CLCL,CCLCL,Re,ø,R,Re,Reg,Regi,Regio,C,CL,CLC,CLCL,CLCLL,10,9,6,17,12,11,5,4,6,5,6,5,0,light,light,light,light,light,light,o,o,o,c,o,o,CL,CL,L,CLC,CL,CL,C,C,,C,C,C,,,,C,,,L,L,L,L,L,L,2,2,1,3,2,2,0,0,0,1,0,0,1,1,0,1,1,1,2,2,2,2,2,2,CVV,CVV,VV,CVVC,CVV,CVV,0,0,0,1,0,0,N,AN,T,2,Regionalliga,antepaenultima
ke,ø,e,ke,eke,heke,theke,K,CK,LCK,CLCK,LCLCK,Rei,ø,R,Re,Rei,Reis,Reise,C,CD,CDC,CDCK,CDCKK,14,7,6,7,7,7,7,3,6,3,3,3,-1,light,schwa,light,light,light,schwa,o,o,c,o,o,o,CD,CK,K,CL,CL,CK,C,C,,C,C,C,,,,,,,D,K,K,L,L,K,3,2,1,2,3,2,0,0,1,0,0,0,1,1,0,1,1,1,2,1,1,2,2,1,CVV,CV,VC,CVV,CVV,CV,0,1,1,0,0,1,N,NN,T,2,Reiseapotheke,prima
