syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
lung,ø,g,ng,ung,lung,dlung,C,KC,CKC,CCKC,CCCKC,Ge,ø,G,Ge,Gem,Gemi,Gemis,C,CK,CKC,CKCK,CKCKC,7,13,11,13,11,15,3,3,5,4,2,5,1,schwa,heavy,light,schwa,heavy,light,o,c,o,c,c,c,CK,CKCC,CL,CKC,CKCC,CKC,C,C,C,C,C,C,,CC,,C,CC,C,K,K,L,K,K,K,2,6,2,3,4,4,0,2,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,CV,CVCC,CVV,CVC,CVCC,CVC,1,3,0,2,3,2,N,NV,T,2,Gemischtwarenhandlung,sekunda
tor,ø,r,or,tor,ktor,ektor,C,KC,CKC,CCKC,KCCKC,Ge,ø,G,Ge,Gen,Gene,Gener,C,CL,CLC,CLCK,CLCKC,7,9,18,9,11,11,3,4,6,4,3,3,0,light,schwa,light,light,light,light,o,o,c,o,c,c,CL,CK,CLC,CL,CKC,CKC,C,C,C,C,C,C,,,C,,C,C,L,K,L,L,K,K,2,2,3,2,3,3,0,0,1,0,1,1,1,1,1,1,1,1,2,1,2,2,1,1,CVV,CV,CVVC,CVV,CVC,CVC,0,1,1,0,2,2,N,NN,T,2,Generaldirektor,undef
dant,ø,t,nt,ant,dant,ndant,C,CC,KCC,CKCC,CCKCC,Ge,ø,G,Ge,Gen,Gene,Gener,C,CL,CLC,CLCK,CLCKC,7,9,10,15,10,11,3,4,5,5,3,2,0,light,schwa,light,light,light,heavy,o,o,c,c,c,c,CL,CK,CK,CKC,CKC,CKCC,C,C,C,C,C,C,,,,C,C,CC,L,K,K,K,K,K,2,2,3,2,3,4,0,0,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,CVV,CV,CVC,CVC,CVC,CVCC,0,1,2,2,2,3,N,NN,T,2,Generalintendant,undef
do,ø,o,do,ndo,ando,mando,L,CL,CCL,KCCL,CKCCL,Ge,ø,G,Ge,Gen,Gene,Gener,C,CL,CLC,CLCK,CLCKC,7,9,18,7,12,7,3,4,6,3,4,3,-1,light,schwa,light,light,light,light,o,o,c,c,c,o,CL,CK,CLC,CK,CKC,CL,C,C,C,C,C,C,,,C,,C,,L,K,L,K,K,L,2,2,3,3,3,2,0,0,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1,2,CVV,CV,CVVC,CVC,CVC,CVV,0,1,1,2,2,0,N,NN,T,2,Generalkommando,undef
lung,ø,g,ng,ung,lung,mlung,C,KC,CKC,CCKC,KCCKC,Ge,ø,G,Ge,Gen,Gene,Gener,C,CL,CLC,CLCK,CLCKC,7,9,18,11,10,15,3,4,6,3,3,5,1,light,schwa,light,light,light,light,o,o,c,c,c,c,CL,CK,CLC,CKC,CKC,CKC,C,C,C,C,C,C,,,C,C,C,C,L,K,L,K,K,K,2,2,3,3,4,4,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,CVV,CV,CVVC,CVC,CVC,CVC,0,1,1,2,2,2,N,ø,T,2,Generalversammlung,undef
rung,ø,g,ng,ung,rung,hrung,C,KC,CKC,LCKC,CLCKC,Ge,ø,G,Ge,Gep,Gepa,Gepae,C,CK,CKC,CKCK,CKCKC,7,8,11,7,11,15,3,2,5,3,5,5,1,schwa,light,light,schwa,light,light,o,c,c,o,o,c,CK,CKC,DC,CK,CL,CKC,C,C,,C,C,C,,C,C,,,C,K,K,D,K,L,K,2,4,3,2,3,4,0,1,1,0,0,1,1,1,0,1,1,1,1,1,2,1,2,1,CV,CVC,VVC,CV,CVV,CVC,1,2,0,1,0,2,N,NV,T,2,Gepaeckaufbewahrung,sekunda
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,CLCKC,ge,ø,g,ge,ges,gese,gesel,C,CK,CKC,CKCK,CKCKC,7,11,9,7,12,10,3,3,2,3,6,3,0,schwa,light,heavy,light,light,light,o,c,c,o,o,c,CK,CKC,CKCA,CL,CL,CKC,C,C,C,C,C,C,,C,CA,,,C,K,K,K,L,L,K,2,4,7,2,2,5,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,CV,CVC,CVCC,CVV,CVV,CVC,1,2,3,0,0,2,A,NA,F,2,gesellschaftspolitisch,sekunda
se,ø,e,se,sse,osse,nosse,K,CK,KCK,CKCK,KCKCK,Ge,ø,G,Ge,Ges,Gesi,Gesin,C,CK,CKC,CKCK,CKCKC,7,9,15,7,9,7,3,4,3,3,4,3,-1,schwa,light,heavy,schwa,light,schwa,o,c,c,o,c,o,CK,CK,CKCC,CK,CK,CK,C,C,C,C,C,C,,,CC,,,,K,K,K,K,K,K,2,3,5,2,3,2,0,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,CV,CVC,CVCC,CV,CVC,CV,1,2,3,1,2,1,N,NN,T,2,Gesinnungsgenosse,sekunda
keit,keit,t,it,eit,keit,hkeit,C,DC,CDC,CCDC,KCCDC,Ge,ø,G,Ge,Ges,Gest,Gesta,C,CK,CKC,CKCC,CKCCK,7,12,13,10,13,12,3,3,3,3,4,4,0,schwa,light,heavy,light,light,light,o,c,c,c,c,c,CK,CCKC,CKCC,CLC,CKC,CDC,C,CC,C,C,C,C,,C,CC,C,C,C,K,K,K,L,K,D,2,4,5,3,4,4,0,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,CV,CCVC,CVCC,CVVC,CVC,CVVC,1,3,3,1,2,1,N,NN,T,2,Gestaltungsmoeglichkeit,sekunda
cher,ø,r,er,her,cher,echer,C,KC,CKC,KCKC,CKCKC,Ge,ø,G,Ge,Gew,Gewo,Gewoh,C,CK,CKC,CKCL,CKCLC,7,10,12,11,11,11,3,3,4,3,3,3,0,schwa,light,light,light,light,schwa,o,c,c,c,c,c,CK,CLC,CDA,CKC,CCK,CKC,C,C,C,C,CC,C,,C,A,C,,C,K,L,D,K,K,K,2,4,5,3,3,4,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,CV,CVVC,CVVC,CVC,CCVC,CVC,1,1,1,2,3,2,N,NN,T,2,Gewohnheitsverbrecher,sekunda
tiert,ø,t,rt,ert,iert,tiert,C,CC,LCC,CLCC,CCLCC,gra,ø,g,gr,gra,graf,grafi,C,CC,CCL,CCLC,CCLCK,15,10,6,12,9,14,5,3,6,6,4,3,-1,light,light,light,light,light,heavy,o,c,o,o,c,c,CCL,CKC,L,CL,KC,CLCC,CC,C,,C,,C,,C,,,C,CC,L,K,L,L,K,L,3,3,1,2,2,5,0,1,0,0,1,2,2,1,0,1,0,1,2,1,2,2,1,2,CCVV,CVC,VV,CVV,VC,CVVCC,1,2,0,0,1,1,A,NF,F,2,grafikorientiert,undef
feld,ø,d,ld,eld,feld,sfeld,C,CC,KCC,CKCC,CCKCC,Gra,ø,G,Gr,Gra,Grav,Gravi,C,CC,CCK,CCKC,CCKCL,11,9,7,9,10,12,3,4,3,4,3,3,0,light,light,light,light,heavy,heavy,c,o,c,o,c,c,CCK,CL,CK,AL,LCC,CKCC,CC,C,C,A,,C,,,,,CC,CC,K,L,K,L,L,K,3,2,2,2,3,4,1,0,1,0,2,2,2,1,1,1,0,1,1,2,1,2,2,1,CCVC,CVV,CVC,CVV,VVCC,CVCC,3,0,2,0,1,3,N,NN,T,2,Gravitationsfeld,paenultima
da,ø,a,da,nda,anda,ganda,L,CL,CCL,KCCL,CKCCL,Gre2,ø,G,Gr,Gre,Greu,Greue,C,CC,CCD,CCDK,CCDKC,15,10,11,7,10,11,5,5,3,3,3,5,-1,light,schwa,light,light,light,light,o,c,o,c,c,o,CCD,KC,CCL,CK,CKC,CL,CC,,CC,C,C,C,,C,,,C,,D,K,L,K,K,L,4,2,3,2,3,2,0,1,0,1,1,0,2,0,2,1,1,1,2,1,2,1,1,2,CCVV,VC,CCVV,CVC,CVC,CVV,1,1,1,2,2,0,N,NN,T,2,Greuelpropaganda,prima
le,ø,e,le,lle,elle,ielle,K,CK,KCK,LKCK,CLKCK,Gro$,ø,G,Gr,Gro,Gros,Gross,C,CC,CCL,CCLC,CCLCK,12,11,10,13,6,10,3,5,3,4,6,5,-1,light,light,light,light,light,schwa,c,c,c,o,c,o,CCLC,KC,CKC,CCL,K,CK,CC,,C,CC,,C,C,C,C,,,,L,K,K,L,K,K,4,2,2,4,2,2,1,1,1,0,1,0,2,0,1,2,0,1,2,1,1,2,1,1,CCVVC,VC,CVC,CCVV,VC,CV,1,1,2,1,1,1,N,AN,T,2,Grossindustrielle,prima
ge,ø,e,ge,age,lage,rlage,K,CK,LCK,CLCK,CCLCK,Gum,ø,G,Gu,Gum,Gumm,Gummi,C,CK,CKC,CKCL,CKCLK,9,11,11,11,14,7,4,5,5,3,7,3,0,light,light,light,schwa,light,schwa,c,o,c,c,o,o,CK,CL,KC,CKC,CL,CK,C,C,,C,C,C,,,C,C,,,K,L,K,K,L,K,3,2,2,3,2,2,1,0,1,1,0,0,1,1,0,1,1,1,1,2,1,1,2,1,CVC,CVV,VC,CVC,CVV,CV,2,0,1,2,0,1,N,NN,T,2,Gummiunterlage,prima
gung,ø,g,ng,ung,gung,igung,C,KC,CKC,KCKC,CKCKC,G2,ø,G,Gu,Gue,Guet,Guete,C,CL,CLC,CLCK,CLCKC,9,11,7,11,9,12,4,3,3,3,4,4,0,light,schwa,light,light,light,light,o,c,c,c,c,c,CL,CKC,KC,CKC,CK,CKC,C,C,,C,C,C,,C,C,C,,C,L,K,K,K,K,K,2,3,2,3,2,4,0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,CVV,CVC,VC,CVC,CVC,CVC,0,2,1,2,2,2,N,ø,T,2,Gueterabfertigung,prima
se,ø,e,se,sse,asse,lasse,K,CK,KCK,CKCK,CCKCK,Gym,ø,G,Gy,Gym,Gymn,Gymna,C,CK,CKC,CKCC,CKCCK,12,9,9,14,11,7,4,4,4,7,3,3,-1,light,light,light,light,light,schwa,c,c,o,c,c,o,CKC,CK,CL,LC,CCK,CK,C,C,C,,CC,C,C,,,C,,,K,K,L,L,K,K,3,2,2,2,4,2,1,1,0,1,1,0,1,1,1,0,2,1,1,1,2,2,1,1,CVC,CVC,CVV,VVC,CCVC,CV,2,2,0,0,3,1,N,AN,T,2,Gymnasialklasse,antepaenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,Haft,ø,H,Ha,Haf,Haft,Haftp,C,CK,CKC,CKCC,CKCCA,9,15,11,9,7,15,2,3,3,4,3,5,0,heavy,heavy,light,light,schwa,light,c,c,c,c,o,c,CKCC,ACKCC,CKC,CK,CK,CKC,C,AC,C,C,C,C,CC,CC,C,,,C,K,K,K,K,K,K,4,7,3,2,3,4,2,2,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,CVCC,CCVCC,CVC,CVC,CV,CVC,3,4,2,2,1,2,N,NN,T,2,Haftpflichtversicherung,prima
tiert,ø,t,rt,ert,iert,tiert,C,CC,LCC,CLCC,CCLCC,hand,ø,h,ha,han,hand,handl,C,CK,CKC,CKCC,CKCCC,10,17,6,12,9,14,3,3,6,6,4,3,0,light,heavy,light,light,light,heavy,c,c,o,o,c,c,CKC,CCKCC,L,CL,KC,CLCC,C,CC,,C,,C,C,CC,,,C,CC,K,K,L,L,K,L,4,5,1,2,2,5,1,2,0,0,1,2,1,2,0,1,0,1,1,1,2,2,1,2,CVC,CCVCC,VV,CVV,VC,CVVCC,2,4,0,0,1,1,A,NF,F,2,handlungsorientiert,prima
ne,ø,e,ne,one,none,anone,K,CK,LCK,CLCK,KCLCK,Har,ø,H,Ha,Har,Harp,Harpu,C,CK,CKC,CKCC,CKCCL,11,9,12,7,9,9,3,4,4,3,4,4,-1,light,light,schwa,light,light,schwa,c,o,c,c,o,o,CKC,CL,CKC,CK,CL,CK,C,C,C,C,C,C,C,,C,,,,K,L,K,K,L,K,3,2,3,2,2,2,1,0,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,1,CVC,CVV,CVC,CVC,CVV,CV,2,0,2,2,0,1,N,NN,T,2,Harpunenkanone,sekunda
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,Haus,ø,H,Ha,Hau,Haus,Hausr,C,CD,CDC,CDCC,CDCCL,12,15,11,9,7,15,4,5,3,4,3,5,-1,light,light,light,light,schwa,light,c,c,c,c,o,c,CDC,CLC,CKC,CK,CK,CKC,C,C,C,C,C,C,C,C,C,,,C,D,L,K,K,K,K,4,3,3,2,3,4,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,CVVC,CVVC,CVC,CVC,CV,CVC,1,1,2,2,1,2,N,NV,T,2,Hausratversicherung,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,Haut,ø,H,Ha,Hau,Haut,Hautt,C,CD,CDC,CDCC,CDCCC,12,15,14,7,9,9,4,3,3,3,4,4,-2,light,heavy,light,light,light,light,c,c,c,c,o,c,CDC,CCKCC,CCKC,CK,AL,LC,C,CC,CC,C,A,,C,CC,C,,,C,D,K,K,K,L,L,4,5,4,2,2,2,1,2,1,1,0,1,1,2,2,1,1,0,2,1,1,1,2,2,CVVC,CCVCC,CCVC,CVC,CVV,VVC,1,4,3,2,0,0,N,NN,T,2,Hauttransplantation,prima
ter,ø,r,er,ter,tter,etter,C,KC,CKC,KCKC,CKCKC,Him,ø,H,Hi,Him,Himm,Himme,C,CK,CKC,CKCK,CKCKC,9,13,7,13,7,11,4,4,3,4,3,3,-1,light,schwa,light,schwa,light,schwa,c,c,c,c,c,c,CK,CKC,CK,CKC,CK,CKC,C,C,C,C,C,C,,C,,C,,C,K,K,K,K,K,K,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CVC,CVC,CVC,CVC,CVC,CVC,2,2,2,2,2,2,N,NN,T,2,Himmeldonnerwetter,prima
pen,ø,n,en,pen,ppen,ippen,C,KC,CKC,KCKC,CKCKC,hin,hin,h,hi,hin,hint,hinte,C,CK,CKC,CKCC,CKCCK,12,10,8,11,9,10,4,3,8,3,4,3,-1,light,schwa,light,schwa,light,schwa,c,c,o,c,c,c,CKC,CKC,L,CKC,CK,CKC,C,C,,C,C,C,C,C,,C,,C,K,K,L,K,K,K,3,3,1,3,3,3,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,CVC,CVC,VV,CVC,CVC,CVC,2,2,0,2,2,2,V,BV,F,2,hintenueberkippen,undef
zen,ø,n,en,zen,rzen,erzen,C,KC,AKC,CAKC,KCAKC,hin,hin,h,hi,hin,hint,hinte,C,CK,CKC,CKCC,CKCCK,12,10,8,11,14,10,4,3,8,3,3,3,0,light,schwa,light,schwa,light,schwa,c,c,o,c,c,c,CKC,CKC,L,CKC,CCKC,AKC,C,C,,C,CC,A,C,C,,C,C,C,K,K,L,K,K,K,3,3,1,3,4,3,1,1,0,1,1,1,1,1,0,1,2,1,1,1,2,1,1,1,CVC,CVC,VV,CVC,CCVC,CVC,2,2,0,2,3,2,V,BV,F,2,hintenueberstuerzen,undef
her,ø,r,er,her,rher,erher,C,LC,CLC,CCLC,KCCLC,hin,hin,h,hi,hin,hint,hinte,C,CK,CKC,CKCC,CKCCK,12,11,13,9,11,11,4,3,6,4,3,3,-1,light,schwa,light,light,schwa,light,c,c,c,c,c,c,CKC,CKC,DC,KC,CKC,CLC,C,C,,,C,C,C,C,C,C,C,C,K,K,D,K,K,L,3,3,3,2,3,3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,2,CVC,CVC,VVC,VC,CVC,CVVC,2,2,0,1,2,1,ADV,ø,F,2,hintereinanderher,antepaenultima
sor,ø,r,or,sor,ssor,essor,C,KC,CKC,KCKC,CKCKC,Ho,ø,H,Ho,Hon,Hono,Honor,C,CL,CLC,CLCL,CLCLC,7,9,18,11,7,11,3,4,6,3,3,3,0,light,light,light,light,light,light,o,o,c,o,c,c,CL,CL,CLC,CCL,CK,CKC,C,C,C,CC,C,C,,,C,,,C,L,L,L,L,K,K,2,2,3,3,3,3,0,0,1,0,1,1,1,1,1,2,1,1,2,2,2,2,1,1,CVV,CVV,CVVC,CCVV,CVC,CVC,0,0,1,1,2,2,N,NN,T,2,Honorarprofessor,undef
gie,ø,e,ie,gie,ogie,logie,L,CL,LCL,CLCL,LCLCL,Hy,ø,H,Hy,Hyd,Hydr,Hydro,C,CL,CLC,CLCC,CLCCL,9,11,9,6,10,9,4,3,4,6,5,4,-1,light,light,light,light,light,light,o,o,o,o,o,o,CL,CCL,CL,L,CL,CL,C,CC,C,,C,C,,,,,,,L,L,L,L,L,L,2,3,2,1,2,3,0,0,0,0,0,0,1,2,1,0,1,1,2,2,2,2,2,2,CVV,CCVV,CVV,VV,CVV,CVV,0,1,0,0,0,0,N,ø,T,2,Hydrobiologie,ultima
weis,ø,s,is,eis,weis,sweis,C,DC,CDC,CCDC,DCCDC,I,ø,I,Id,Ide,Iden,Ident,L,LC,LCK,LCKC,LCKCC,8,10,9,8,11,12,8,3,4,2,5,4,0,light,light,light,light,light,light,o,c,o,c,c,c,L,CKC,CL,CLA,DC,CDC,,C,C,C,,C,,C,,A,C,C,L,K,L,L,D,D,1,3,2,4,3,4,0,1,0,1,1,1,0,1,1,1,0,1,2,1,2,2,2,2,VV,CVC,CVV,CVVC,VVC,CVVC,0,2,0,1,0,1,N,NN,T,2,Identitaetsausweis,antepaenultima
cher,ø,r,er,her,cher,icher,C,KC,CKC,KCKC,CKCKC,i,ø,i,id,idi,idio,idiot,L,LC,LCL,LCLL,LCLLC,8,9,6,10,9,11,8,4,6,3,4,3,0,light,light,light,schwa,light,schwa,o,o,o,c,c,c,L,CL,L,CKC,CK,CKC,,C,,C,C,C,,,,C,,C,L,L,L,K,K,K,1,2,1,3,2,4,0,0,0,1,1,1,0,1,0,1,1,1,2,2,2,1,1,1,VV,CVV,VV,CVC,CVC,CVC,0,0,0,2,2,2,A,NA,F,2,idiotensicher,undef
recht,ø,t,ht,cht,echt,recht,C,CC,KCC,CKCC,CCKCC,In,ø,I,In,Ind,Indi,Indiv,K,KC,KCC,KCCL,KCCLC,11,9,9,9,10,12,5,4,4,4,5,3,0,light,light,light,light,light,heavy,c,o,o,o,c,c,KC,CL,CL,CL,KC,CKCC,,C,C,C,,C,C,,,,C,CC,K,L,L,L,K,K,2,2,2,2,2,5,1,0,0,0,1,2,0,1,1,1,0,1,1,2,2,2,1,1,VC,CVV,CVV,CVV,VC,CVCC,1,0,0,0,1,3,N,ø,T,2,Individualrecht,antepaenultima
weis,ø,s,is,eis,weis,eweis,C,DC,CDC,KCDC,CKCDC,In,ø,I,In,Ind,Indi,Indiz,K,KC,KCC,KCCL,KCCLA,11,9,9,9,7,12,5,4,4,4,3,4,0,light,light,light,schwa,schwa,light,c,o,o,c,o,c,KC,CL,AL,KC,CK,CDC,,C,A,,C,C,C,,,C,,C,K,L,L,K,K,D,2,2,2,2,2,4,1,0,0,1,0,1,0,1,1,0,1,1,1,2,2,1,1,2,VC,CVV,CVV,VC,CV,CVVC,1,0,0,1,1,1,N,NN,T,2,Indizienbeweis,sekunda
weis,ø,s,is,eis,weis,eweis,C,DC,CDC,KCDC,CKCDC,In,ø,I,In,Ind,Indu,Induk,K,KC,KCC,KCCK,KCCKC,11,10,9,10,7,12,5,3,4,3,3,4,-1,light,light,light,heavy,schwa,light,c,c,o,c,o,c,KC,CKC,AL,LCC,CK,CDC,,C,A,,C,C,C,C,,CC,,C,K,K,L,L,K,D,2,3,2,3,2,4,1,1,0,2,0,1,0,1,1,0,1,1,1,1,2,2,1,2,VC,CVC,CVV,VVCC,CV,CVVC,1,2,0,1,1,1,N,NN,T,2,Induktionsbeweis,antepaenultima
ge,ø,e,ge,age,lage,nlage,K,CK,LCK,CLCK,CCLCK,In,ø,I,In,Ind,Indu,Indus,K,KC,KCC,KCCK,KCCKC,11,10,13,9,14,7,5,3,4,4,7,3,-1,light,light,light,light,light,schwa,c,c,o,c,o,o,KC,CKC,CCL,KC,CL,CK,,C,CC,,C,C,C,C,,C,,,K,K,L,K,L,K,2,2,5,2,2,2,1,1,0,1,0,0,0,1,2,0,1,1,1,1,2,1,2,1,VC,CVC,CCVV,VC,CVV,CV,1,2,1,1,0,1,N,NN,T,2,Industrieanlage,undef
ter,ø,r,er,ter,iter,eiter,C,KC,CKC,DCKC,CDCKC,In,ø,I,In,Ind,Indu,Indus,K,KC,KCC,KCCK,KCCKC,11,10,13,10,11,11,5,3,4,5,5,3,0,light,light,light,light,light,schwa,c,c,o,c,o,c,KC,CKC,CCL,KC,CD,CKC,,C,CC,,C,C,C,C,,C,,C,K,K,L,K,D,K,2,2,5,2,3,3,1,1,0,1,0,1,0,1,2,0,1,1,1,1,2,1,2,1,VC,CVC,CCVV,VC,CVV,CVC,1,2,1,1,0,2,N,NN,T,2,Industriearbeiter,undef
schaft,schaft,t,ft,aft,haft,chaft,C,CC,KCC,CKCC,CCKCC,In,ø,I,In,Ind,Indu,Indus,K,KC,KCC,KCCK,KCCKC,11,10,13,7,12,9,5,3,4,3,3,2,-1,light,light,light,schwa,heavy,heavy,c,c,o,o,c,c,KC,CKC,CCL,CK,CKCC,CKCC,,C,CC,C,C,C,C,C,,,CC,CC,K,K,L,K,K,K,2,2,5,2,4,6,1,1,0,0,2,2,0,1,2,1,1,1,1,1,2,1,1,1,VC,CVC,CCVV,CV,CVCC,CVCC,1,2,1,1,3,3,N,NN,T,2,Industriegewerkschaft,undef
fen,ø,n,en,fen,ifen,eifen,C,KC,CKC,DCKC,CDCKC,In,ø,I,In,Ine,Inei,Inein,K,KC,KCD,KCDC,KCDCK,11,13,9,11,15,10,5,6,4,3,5,3,0,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CCD,CKC,,,,C,CC,C,C,C,C,C,,C,K,D,K,K,D,K,2,3,2,3,4,3,1,1,1,1,0,1,0,0,0,1,2,1,1,2,1,1,2,1,VC,VVC,VC,CVC,CCVV,CVC,1,0,1,2,1,2,N,ø,T,2,Ineinandergreifen,undef
fahr,ø,r,hr,ahr,fahr,efahr,C,LC,CLC,KCLC,CKCLC,In,ø,I,In,Inf,Infe,Infek,K,KC,KCC,KCCK,KCCKC,11,8,9,10,7,15,5,2,4,3,3,5,0,light,light,light,heavy,schwa,light,c,c,o,c,o,c,KC,CKC,AL,LCC,CK,CLC,,C,A,,C,C,C,C,,CC,,C,K,K,L,L,K,L,2,3,2,3,2,4,1,1,0,2,0,1,0,1,1,0,1,1,1,1,2,2,1,2,VC,CVC,CVV,VVCC,CV,CVVC,1,2,0,1,1,1,N,NN,T,2,Infektionsgefahr,antepaenultima
heit,heit,t,it,eit,heit,kheit,C,DC,CDC,CCDC,CCCDC,In,ø,I,In,Inf,Infe,Infek,K,KC,KCC,KCCK,KCCKC,11,8,9,10,15,12,5,2,4,3,3,4,0,light,light,light,heavy,heavy,light,c,c,o,c,c,c,KC,CKC,AL,LCC,CCKCC,CDC,,C,A,,CC,C,C,C,,CC,CC,C,K,K,L,L,K,D,2,3,2,3,5,4,1,1,0,2,2,1,0,1,1,0,2,1,1,1,2,2,1,2,VC,CVC,CVV,VVCC,CCVCC,CVVC,1,2,0,1,4,1,N,NN,T,2,Infektionskrankheit,antepaenultima
stoff,ø,f,ff,off,toff,stoff,C,KC,CKC,CCKC,CCCKC,I,ø,I,In,Ini,Init,Initi,L,LC,LCL,LCLA,LCLAL,8,11,9,14,15,9,8,5,4,7,3,2,0,light,light,light,light,light,light,o,o,o,c,c,c,L,CL,AL,LC,CCCKC,CCKC,,C,A,,CCC,CC,,,,C,C,C,L,L,L,L,K,K,1,2,2,2,6,5,0,0,0,1,1,1,0,1,1,0,3,2,2,2,2,2,1,1,VV,CVV,CVV,VVC,CCCVC,CCVC,0,0,0,0,4,3,N,NN,T,2,Initialsprengstoff,antepaenultima
dung,ø,g,ng,ung,dung,ndung,C,KC,CKC,CCKC,KCCKC,I,ø,I,In,Ini,Init,Initi,L,LC,LCL,LCLA,LCLAL,8,11,9,14,12,12,8,5,4,7,4,4,0,light,light,light,light,light,light,o,o,o,c,c,c,L,CL,AL,LC,AKC,CKC,,C,A,,A,C,,,,C,C,C,L,L,L,L,K,K,1,2,2,2,3,4,0,0,0,1,1,1,0,1,1,0,1,1,2,2,2,2,1,1,VV,CVV,CVV,VVC,CVC,CVC,0,0,0,0,2,2,N,NN,T,2,Initialzuendung,antepaenultima
recht,ø,t,ht,cht,echt,recht,C,CC,KCC,CKCC,CCKCC,I,ø,I,In,Ini,Init,Initi,L,LC,LCL,LCLA,LCLAL,8,11,9,6,10,12,8,5,4,6,3,3,0,light,light,light,light,light,heavy,o,o,o,c,c,c,L,CL,AL,K,CLC,CKCC,,C,A,,C,C,,,,,C,CC,L,L,L,K,L,K,1,2,2,1,3,5,0,0,0,1,1,2,0,1,1,0,1,1,2,2,2,1,2,1,VV,CVV,CVV,VC,CVVC,CVCC,0,0,0,1,1,3,N,NN,T,2,Initiativrecht,paenultima
ze,ø,e,ze,tze,itze,ritze,K,AK,KAK,CKAK,CCKAK,In,ø,I,In,Inj,Inje,Injek,K,KC,KCC,KCCK,KCCKC,11,13,9,10,14,7,5,4,4,3,3,3,-1,light,light,light,heavy,light,schwa,c,c,o,c,c,o,KC,CKC,AL,LCC,CCCK,AK,,C,A,,CCC,A,C,C,,CC,,,K,K,L,L,K,K,2,3,2,3,5,2,1,1,0,2,1,0,0,1,1,0,3,1,1,1,2,2,1,1,VC,CVC,CVV,VVCC,CCCVC,CV,1,2,0,1,4,1,N,NN,T,2,Injektionsspritze,antepaenultima
