syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
dig,ø,g,ig,dig,ndig,endig,C,KC,CKC,CCKC,KCCKC,bak,ø,b,ba,bak,bakt,bakte,C,CK,CKC,CKCC,CKCCL,8,7,12,9,7,11,10,2,3,6,4,3,2,3,0,light,light,light,schwa,schwa,light,light,c,o,o,c,o,c,c,CKC,CL,CL,KC,CK,CCKC,CKC,C,C,C,,C,CC,C,C,,,C,,C,C,K,L,L,K,K,K,K,3,2,2,2,2,4,3,1,0,0,1,0,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,CVC,CVV,CVV,VC,CV,CCVC,CVC,2,0,0,1,1,3,2,A,NA,F,2,bakterienbestaendig,sekunda
gung,ø,g,ng,ung,gung,igung,C,KC,CKC,KCKC,CKCKC,Be,ø,B,Be,Bea,Beam,Beamt,C,CK,CKK,CKKC,CKKCC,7,9,10,7,14,9,12,3,4,3,3,7,4,4,0,schwa,light,schwa,schwa,light,light,light,o,c,c,o,o,c,c,CK,KC,CKC,CK,CD,CK,CKC,C,,C,C,C,C,C,,C,C,,,,C,K,K,K,K,D,K,K,2,2,3,2,3,2,4,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,CV,VC,CVC,CV,CVV,CVC,CVC,1,1,2,1,0,2,2,N,NV,T,2,Beamtenbeleidigung,sekunda
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,be,be,b,be,bed,beda,bedau,C,CK,CKC,CKCD,CKCDK,7,11,10,12,11,11,7,3,5,5,6,3,5,3,0,schwa,light,schwa,light,schwa,light,schwa,o,o,c,c,c,o,o,CK,CD,KC,CK,CKC,CD,CK,C,C,,C,C,C,C,,,C,,C,,,K,D,K,K,K,D,K,2,3,2,2,4,3,2,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,2,1,1,1,2,1,CV,CVV,VC,CVC,CVC,CVV,CV,1,0,1,2,2,0,1,ADV,AA,F,2,bedauerlicherweise,paenultima
tut,ø,t,ut,tut,itut,titut,C,LC,CLC,LCLC,CLCLC,Be,ø,B,Be,Bee,Beer,Beerd,C,CK,CKL,CKLC,CKLCC,7,10,9,13,11,10,10,3,5,4,3,5,3,3,0,schwa,light,light,heavy,light,light,light,o,c,c,c,c,o,c,CK,LC,CK,CKCC,KC,CCL,CLC,C,,C,C,,CC,C,,C,,CC,C,,C,K,L,K,K,K,L,L,2,2,2,5,2,3,3,0,1,1,2,1,0,1,1,0,1,1,0,2,1,1,2,1,1,1,2,2,CV,VVC,CVC,CVCC,VC,CCVV,CVVC,1,0,2,3,1,1,1,N,NN,T,2,Beerdigungsinstitut,sekunda
ge,ø,e,ge,age,lage,nlage,K,CK,LCK,CLCK,CCLCK,Be,ø,B,Be,Bef,Befe,Befes,C,CK,CKC,CKCK,CKCKC,7,8,9,13,9,14,7,3,2,4,3,4,7,3,0,schwa,light,light,heavy,light,light,schwa,o,c,c,c,c,o,o,CK,CKC,CK,CKCC,KC,CL,CK,C,C,C,C,,C,C,,C,,CC,C,,,K,K,K,K,K,L,K,2,2,3,5,2,2,2,0,1,1,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,CV,CVC,CVC,CVCC,VC,CVV,CV,1,2,2,3,1,0,1,N,NN,T,2,Befestigungsanlage,sekunda
ge,ø,e,ge,age,lage,nlage,K,CK,LCK,CLCK,CCLCK,Be,ø,B,Be,Ber,Beri,Berie,C,CK,CKC,CKCL,CKCLC,7,12,7,16,9,14,7,3,6,3,4,4,7,3,0,schwa,light,schwa,heavy,light,light,schwa,o,o,o,c,c,o,o,CK,CL,CK,CKCC,KC,CL,CK,C,C,C,C,,C,C,,,,CC,C,,,K,L,K,K,K,L,K,2,3,2,5,2,2,2,0,0,0,2,1,0,0,1,1,1,1,0,1,1,1,2,1,1,1,2,1,CV,CVV,CV,CVCC,VC,CVV,CV,1,0,1,3,1,0,1,N,NN,T,2,Berieselungsanlage,sekunda
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,Bo,ø,B,Bo,Bod,Bode,Boden,C,CL,CLC,CLCK,CLCKC,7,10,8,9,10,9,9,3,3,2,4,5,4,4,0,light,schwa,light,light,light,light,light,o,c,o,o,c,o,c,CL,CKC,CCL,CL,CK,AL,LC,C,C,CC,C,C,A,,,C,,,,,C,L,K,L,L,K,L,L,2,3,3,2,2,2,2,0,1,0,0,1,0,1,1,1,2,1,1,1,0,2,1,2,2,1,2,2,CVV,CVC,CCVV,CVV,CVC,CVV,VVC,0,2,1,0,2,0,0,N,NN,T,2,Bodenspekulation,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,B3r,ø,B,Bo,Boe,Boer,Boers,C,CK,CKC,CKCC,CKCCK,11,10,8,9,10,9,9,3,3,2,4,5,4,4,-1,light,schwa,light,light,light,light,light,c,c,o,o,c,o,c,CKC,CKC,CCL,CL,CK,AL,LC,C,C,CC,C,C,A,,C,C,,,,,C,K,K,L,L,K,L,L,3,3,3,2,2,2,2,1,1,0,0,1,0,1,1,1,2,1,1,1,0,1,1,2,2,1,2,2,CVC,CVC,CCVV,CVV,CVC,CVV,VVC,2,2,1,0,2,0,0,N,NN,T,2,Boersenspekulation,prima
men,ø,n,en,men,omen,nomen,C,KC,CKC,LCKC,CLCKC,De,ø,D,De,Dem,Demo,Demon,C,CL,CLC,CLCK,CLCKC,7,12,12,10,11,9,12,3,4,3,3,3,4,4,0,light,light,light,light,light,light,schwa,o,c,c,c,o,o,c,CL,CKC,CCCK,CLC,CCL,CL,CKC,C,C,CCC,C,CC,C,C,,C,,C,,,C,L,K,K,L,L,L,K,2,3,4,3,3,2,3,0,1,1,1,0,0,1,1,1,3,1,2,1,1,2,1,1,2,2,2,1,CVV,CVC,CCCVC,CVVC,CCVV,CVV,CVC,0,2,4,1,1,0,2,N,AN,T,2,Demonstrativpronomen,undef
tel,ø,l,el,tel,ttel,ittel,C,KC,CKC,KCKC,CKCKC,Des,ø,D,De,Des,Desi,Desin,C,CK,CKC,CKCK,CKCKC,8,11,8,9,10,11,11,2,5,2,4,3,5,3,0,light,light,light,light,heavy,light,schwa,c,c,c,o,c,c,c,CKC,KC,CKC,AL,LCC,CK,CKC,C,,C,A,,C,C,C,C,C,,CC,,C,K,K,K,L,L,K,K,3,2,3,2,3,3,3,1,1,1,0,2,1,1,1,0,1,1,0,1,1,1,1,1,2,2,1,1,CVC,VC,CVC,CVV,VVCC,CVC,CVC,2,1,2,0,1,2,2,N,NN,T,2,Desinfektionsmittel,antepaenultima
