syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
kraft,ø,t,ft,aft,raft,kraft,C,CC,KCC,CKCC,CCKCC,Seh,ø,S,Se,Seh,Sehk,Sehkr,C,CL,CLC,CLCC,CLCCK,7,13,3,2,3,light,heavy,o,c,CL,CCKCC,C,CC,?,CC,L,K,3,5,0,2,1,2,2,1,CVV,CCVCC,0,4,N,VN,T,2,Sehkraft,paenultima
ler,ler,r,er,ler,ller,eller,C,KC,CKC,KCKC,CKCKC,M2l,ø,M,Mu,Mue,Muel,Muell,C,CK,CKC,CKCK,CKCKC,11,14,5,4,2,light,schwa,c,c,CK,CKC,C,C,?,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Mueller,paenultima
bild,ø,d,ld,ild,bild,gbild,C,CC,KCC,CKCC,CCKCC,Trug,ø,T,Tr,Tru,Trug,Trugb,C,CC,CCL,CCLC,CCLCC,14,14,3,3,0,light,heavy,c,c,CCLC,CKCC,CC,C,C,CC,L,K,4,4,1,2,2,1,2,1,CCVVC,CVCC,1,3,N,NN,T,2,Trugbild,paenultima
vice,ø,e,ce,ice,vice,rvice,C,LC,CLC,CCLC,KCCLC,Ser,ø,S,Se,Ser,Serv,Servi,C,CK,CKC,CKCC,CKCCL,11,10,3,3,0,light,light,c,c,CKC,CLC,C,C,C,C,K,L,3,4,1,1,1,1,1,2,CVC,CVVC,2,1,N,ø,T,0,Service,ultima
ma,ø,a,ma,gma,egma,legma,L,CL,CCL,KCCL,CKCCL,Phleg,ø,P,Ph,Phl,Phle,Phleg,C,CC,CCK,CCKC,CCKCC,11,14,3,4,2,light,light,c,o,CCK,CCL,CC,CC,?,?,K,L,5,2,1,0,2,2,1,2,CCVC,CCVV,3,1,N,N,T,1,Phlegma,paenultima
taur,ø,r,ur,aur,taur,ntaur,C,DC,CDC,CCDC,KCCDC,Zen,ø,Z,Ze,Zen,Zent,Zenta,A,AK,AKC,AKCC,AKCCD,10,15,3,5,3,light,light,c,c,AKC,CDC,A,C,C,C,K,D,3,4,1,1,1,1,1,2,CVC,CVVC,2,1,N,ø,T,0,Zentaur,ultima
sor,ø,r,or,sor,nsor,ensor,C,KC,CKC,CCKC,KCCKC,Zen,ø,Z,Ze,Zen,Zens,Zenso,A,AK,AKC,AKCC,AKCCK,10,11,3,3,1,light,light,c,c,AKC,CKC,A,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,ø,T,0,Zensor,paenultima
ri$,ø,s,ss,iss,riss,driss,C,KC,CKC,CCKC,CCCKC,Grund,ø,G,Gr,Gru,Grun,Grund,C,CC,CCK,CCKC,CCKCC,17,13,3,4,-2,heavy,light,c,c,CCKCC,CKC,CC,C,CC,C,K,K,5,3,2,1,2,1,1,1,CCVCC,CVC,4,2,N,NN,T,2,Grundriss,paenultima
weg,ø,g,eg,weg,tweg,ftweg,C,LC,CLC,CCLC,CCCLC,Luft,ø,L,Lu,Luf,Luft,Luftw,C,CK,CKC,CKCC,CKCCC,14,8,3,2,-3,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Luftweg,paenultima
richt,ø,t,ht,cht,icht,richt,C,CC,KCC,CKCC,CCKCC,Nach,ø,N,Na,Nac,Nach,Nachr,C,CL,CLC,CLCC,CLCCK,14,14,4,3,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,4,5,1,2,1,1,2,1,CVVC,CVCC,1,3,N,N,T,1,Nachricht,paenultima
weicht,ø,t,ht,cht,icht,eicht,C,CC,DCC,CDCC,CCDCC,durch,durch,d,du,dur,durc,durch,C,CK,CKC,CKCC,CKCCC,14,13,3,3,0,heavy,heavy,c,c,CKCC,CDCC,C,C,CC,CC,K,D,5,6,2,2,1,1,1,2,CVCC,CVVCC,3,1,A,F,F,1,durchweicht,paenultima
sig,ø,g,ig,sig,isig,eisig,C,KC,CKC,DCKC,ADCKC,Zei,ø,Z,Ze,Zei,Zeis,Zeisi,A,AD,ADC,ADCK,ADCKC,11,10,5,3,0,light,light,o,c,AD,CKC,A,C,?,C,D,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Zeisig,paenultima
den,ø,n,en,den,nden,inden,C,KC,CKC,CCKC,KCCKC,win,ø,w,wi,win,wind,winde,C,CK,CKC,CKCC,CKCCK,12,10,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,V,N,F,1,winden,paenultima
der,ø,r,er,der,ider,eider,C,KC,CKC,DCKC,CDCKC,Nei,ø,N,Ne,Nei,Neid,Neide,C,CD,CDC,CDCK,CDCKC,13,11,6,3,-1,light,schwa,o,c,CD,CKC,C,C,?,C,D,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Neider,paenultima
boot,ø,t,ot,oot,boot,hboot,C,LC,CLC,CCLC,DCCLC,Schlauch,ø,S,Sc,Sch,Schl,Schla,C,CC,CCD,CCDC,CCDCC,16,8,4,2,-4,light,light,c,c,CCDC,CLC,CC,C,C,C,D,L,8,4,1,1,2,1,2,2,CCVVC,CVVC,1,1,N,NN,T,2,Schlauchboot,paenultima
skus,ø,s,us,kus,skus,uskus,C,KC,CKC,CCKC,KCCKC,Ku,ø,K,Ku,Kus,Kusk,Kusku,C,CK,CKC,CKCC,CKCCK,10,10,3,3,0,light,light,c,c,CKC,CKC,C,C,C,C,K,K,2,4,1,1,1,1,1,1,CVC,CVC,2,2,N,ø,T,0,Kuskus,paenultima
