syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
big,ø,g,ig,big,ubig,eubig,C,KC,CKC,DCKC,CDCKC,noacc,a,ø,a,ab,abe,aber,aberg,L,LC,LCK,LCKC,LCKCC,ø,10,11,15,10,10,3,5,3,0,light,schwa,light,light,o,c,o,c,L,CKC,CCD,CKC,,C,CC,C,,C,,C,L,K,D,K,1,3,4,3,0,1,0,1,0,1,2,1,2,1,2,1,VV,CVC,CCVV,CVC,0,2,1,2,A,N,F,1,aberglaeubig,prima
bisch,ø,h,ch,sch,isch,bisch,C,KC,CKC,DCKC,CDCKC,ø,a,ø,a,ab,abe,aber,aberg,L,LC,LCK,LCKC,LCKCC,ø,10,11,15,10,10,3,5,3,0,light,schwa,light,light,o,c,o,c,L,CKC,CCD,CKC,,C,CC,C,,C,,C,L,K,D,K,1,3,4,5,0,1,0,1,0,1,2,1,2,1,2,1,VV,CVC,CCVV,CVC,0,2,1,2,A,N,F,1,aberglaeubisch,prima
dert,ø,t,rt,ert,dert,ndert,C,CC,KCC,CKCC,CCKCC,ø,a,ø,a,ab,abe,aber,aberh,L,LC,LCK,LCKC,LCKCC,ø,10,11,12,12,10,3,4,3,0,light,schwa,light,schwa,o,c,c,c,L,CKC,CKC,CKCC,,C,C,C,,C,C,CC,L,K,K,K,1,3,3,4,0,1,1,2,0,1,1,1,2,1,1,1,VV,CVC,CVC,CVCC,0,2,2,3,X,ø,F,1,aberhundert,prima
nen,ø,n,en,nen,nnen,ennen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abe,aber,aberk,K,KC,KCK,KCKC,KCKCC,acc,7,10,7,12,3,5,3,4,1,light,light,light,schwa,c,c,c,c,KC,KC,CK,CKC,,,C,C,C,C,,C,K,K,K,K,2,2,3,3,1,1,1,1,0,0,1,1,1,1,1,1,VC,VC,CVC,CVC,1,1,2,2,V,V,F,1,aberkennen,prima
nung,ø,g,ng,ung,nung,nnung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abe,Aber,Aberk,K,KC,KCK,KCKC,KCKCC,acc,7,10,7,14,3,5,3,4,1,light,light,light,light,c,c,c,c,KC,KC,CK,CKC,,,C,C,C,C,,C,K,K,K,K,2,2,3,4,1,1,1,1,0,0,1,1,1,1,1,1,VC,VC,CVC,CVC,1,1,2,2,N,V,T,1,Aberkennung,prima
lig,ø,g,ig,lig,alig,malig,C,KC,CKC,LCKC,CLCKC,noacc,a,ø,a,ab,abe,aber,aberm,L,LC,LCK,LCKC,LCKCC,ø,10,11,13,13,10,3,6,4,1,light,schwa,light,light,o,c,o,c,L,CKC,CL,CKC,,C,C,C,,C,,C,L,K,L,K,1,3,2,3,0,1,0,1,0,1,1,1,2,1,2,1,VV,CVC,CVV,CVC,0,2,0,2,A,N,F,1,abermalig,prima
zig,ø,g,ig,zig,tzig,itzig,C,KC,AKC,KAKC,CKAKC,noacc,a,ø,a,ab,abe,aber,aberw,L,LC,LCK,LCKC,LCKCC,ø,10,11,9,10,10,3,4,3,-1,light,schwa,light,light,o,c,c,c,L,CKC,CK,AKC,,C,C,A,,C,,C,L,K,K,K,1,3,3,3,0,1,1,1,0,1,1,1,2,1,1,1,VV,CVC,CVC,CVC,0,2,2,2,A,N,F,1,aberwitzig,prima
nisch,ø,h,ch,sch,isch,nisch,C,KC,CKC,LCKC,CLCKC,ø,a,ø,a,ab,abe,abes,abess,K,KC,KCK,KCKC,KCKCL,acc,6,7,9,12,6,3,4,4,2,light,light,light,light,c,c,o,c,K,CK,CL,CKC,,C,C,C,,,,C,K,K,L,K,1,3,2,5,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,A,V,F,1,abessinisch,paenultima
mer,ø,r,er,mer,imer,eimer,C,KC,CKC,DCKC,CDCKC,ø,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,acc,7,11,10,13,3,3,10,4,1,light,light,light,schwa,c,c,o,c,KC,CKC,D,CKC,,C,,C,C,C,,C,K,K,D,K,2,4,2,3,1,1,0,1,0,1,0,1,1,1,2,1,VC,CVC,VV,CVC,1,2,0,2,N,NN,T,2,Abfalleimer,prima
dukt,ø,t,kt,ukt,dukt,odukt,C,CC,KCC,CKCC,LCKCC,ø,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,acc,7,11,11,11,3,3,3,2,1,light,light,light,heavy,c,c,o,c,KC,CKC,CCL,CKCC,,C,CC,C,C,C,,CC,K,K,L,K,2,4,3,4,1,1,0,2,0,1,2,1,1,1,2,1,VC,CVC,CCVV,CVCC,1,2,1,3,N,VN,T,2,Abfallprodukt,prima
