syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl0,syl1,syl2,syl3,syl4,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,nomen,sylcnt,stress_class
2,3,2,5,4,Ab,lie,fe,rungs,soll,oll,ab,N,NN,SAS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,CCCKC,ø,VC,CVV,CV,CVCC,CVC,1,0,1,3,2,1,0,0,2,1,0,1,1,1,1,1,2,1,1,1,2,101,11,101,1111,111,2,4,2,2,2,1,KC,CL,CK,CKCC,CKC,,C,C,C,C,C,,,CC,C,K,L,K,K,K,1,1,0,2,1,T,5,prima
1,3,2,2,3,A,bra,ka,da,bra,a,ø,N,ø,ø,ø,L,LC,LCC,LCCK,LCCKC,L,CL,CCL,LCCL,CLCCL,ø,VV,CCVC,CVC,CVV,CCVV,0,3,2,0,1,0,1,1,0,0,0,2,1,1,2,2,1,1,2,2,0,1,111,101,101,111,6,2,2,3,3,1,L,CCK,CK,CL,CCL,,CC,C,C,CC,,,,,,L,K,K,L,L,1,1,1,1,1,T,5,paenultima
2,2,1,3,3,ab,re,a,gie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCL,KCCLK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,VC,CVV,CVC,1,0,1,0,2,1,0,1,0,1,0,1,0,1,1,1,2,1,2,1,1,101,11,1,101,1011,2,3,4,3,3,1,KC,CL,K,CL,CKC,,C,,C,C,C,,,,C,K,L,K,L,K,1,1,1,1,0,F,5,prima
2,4,2,3,3,Ab,rei$,ka,len,der,er,ab,N,VN,SS,acc,K,KC,KCC,KCCD,KCCDC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVVC,CVC,CVC,CVC,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2,101,111,101,1011,111,2,3,2,3,2,1,KC,CDC,CK,CKC,CKC,,C,C,C,C,C,C,,C,C,K,D,K,K,K,1,1,1,1,0,T,5,prima
2,5,2,2,4,ab,sche2,er,re,gend,end,ab,A,ø,SS,acc,K,KC,KCC,KCCD,KCCDK,C,CC,KCC,CKCC,LCKCC,ø,VC,CVV,VC,CVV,CVCC,1,0,1,0,3,1,0,1,0,2,0,1,0,1,1,1,2,1,2,1,2,101,101,11,11,1201,2,3,3,3,2,1,KC,CD,KC,CL,CKCC,,C,,C,C,C,,C,,CC,K,D,K,L,K,1,1,1,1,0,F,5,prima
2,6,2,1,3,Ab,schlu$,ex,a,men,en,ab,N,NN,SS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVC,VC,CCVV,CVC,1,3,1,1,2,1,1,1,0,1,0,2,0,2,1,1,1,1,2,1,2,101,211,1,201,2001,2,2,4,2,2,1,KC,CCKC,K,CCL,CKC,,CC,,CC,C,C,C,,,C,K,K,K,L,K,1,1,1,1,0,T,5,prima
2,5,6,4,2,Ab,schre,ckungs,stra,fe,e,ab,N,NN,SAS,acc,K,KC,KCC,KCCC,KCCCK,K,CK,LCK,CLCK,CCLCK,ø,VC,CCVC,CVCC,CCCVV,CV,1,3,3,1,1,1,1,2,0,0,0,2,1,3,1,1,1,1,2,1,2,101,111,1201,211,101,2,2,2,2,2,1,KC,CCK,CKCC,CCCL,CK,,CC,C,CCC,C,C,,CC,,,K,K,K,L,K,1,1,2,1,0,T,5,prima
2,6,2,3,4,Ab,sichts,er,kl1,rung,ung,ab,N,NV,ø,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVCC,VC,CCVV,CVC,1,3,1,1,2,1,2,1,0,1,0,1,0,2,1,1,1,1,2,1,2,101,301,11,111,1011,2,2,3,2,3,1,KC,CKCA,KC,CCL,CKC,,C,,CC,C,C,CA,C,,C,K,K,K,L,K,1,2,1,1,1,T,5,prima
2,2,2,2,2,Ab,so,lu,ti,on,on,ø,N,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,LC,LLC,ALLC,LALLC,ø,VC,CVV,CVV,CVV,VVC,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,2,2,2,2,1,101,101,11,101,1001,2,2,4,3,3,1,KC,CL,CL,AL,LC,,C,C,A,,C,,,,C,K,L,L,L,L,1,1,1,1,1,T,5,ultima
2,2,2,3,3,Ab,so,lu,tis,mus,us,ø,N,A,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,noacc,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,1,101,101,11,201,1101,2,2,4,2,2,1,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,1,1,1,1,1,T,5,paenultima
2,2,2,2,6,ab,so,lu,ti,stisch,isch,ø,A,A,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,1,101,101,11,201,201,2,2,4,2,2,1,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,1,1,1,1,1,F,5,paenultima
2,3,3,4,4,Ab,son,der,lich,keit,eit,ab,N,A,SA,acc,K,KC,KCC,KCCK,KCCKC,C,DC,CDC,CCDC,KCCDC,ø,VC,CVC,CVC,CVC,CVVC,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,101,1101,111,111,201,2,2,2,3,2,-1,KC,CKC,CKC,CKC,CDC,,C,C,C,C,C,C,C,C,C,K,K,K,K,D,1,1,0,1,1,T,5,sekunda
2,4,3,2,3,ab,spra,che,ge,m1$,1$,ab,A,NA,SS,acc,K,KC,KCC,KCCC,KCCCC,C,LC,CLC,KCLC,CKCLC,ø,VC,CCCVV,CV,CV,CVVC,1,1,1,1,1,1,0,0,0,1,0,3,1,1,1,1,2,1,1,2,2,101,211,101,101,1101,2,2,2,2,2,1,KC,CCCL,CK,CK,CLC,,CCC,C,C,C,C,,,,C,K,L,K,K,L,1,1,0,0,1,F,5,prima
2,4,2,4,4,Ab,stei,ge,quar,tier,ier,ab,N,NN,SS,acc,K,KC,KCC,KCCC,KCCCD,C,LC,CLC,CCLC,KCCLC,ø,VC,CCVV,CV,CCVC,CVVC,1,1,1,3,1,1,0,0,1,1,0,2,1,2,1,1,2,1,1,2,2,101,201,101,211,111,2,2,2,2,3,1,KC,CCD,CK,CCKC,CLC,,CC,C,CC,C,C,,,C,C,K,D,K,K,L,1,1,0,1,1,T,5,prima
2,6,2,4,3,ab,stiegs,ge,f1hr,det,et,ab,A,ø,SAS,acc,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,CCKC,LCCKC,ø,VC,CCVVCC,CV,CVVC,CVC,1,2,1,1,2,1,2,0,1,1,0,2,1,1,1,1,2,1,2,1,2,101,401,101,111,201,2,1,2,2,2,-1,KC,CCLCC,CK,CLC,CKC,,CC,C,C,C,C,CC,,C,C,K,L,K,L,K,1,2,0,1,0,F,5,prima
2,4,3,3,2,Ab,szis,sen,ach,se,e,ø,N,NN,SAS,ø,K,KC,KCC,KCCA,KCCAK,K,CK,CCK,KCCK,CKCCK,ø,VCC,CVC,CVC,VC,CV,2,2,2,1,1,2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,2,201,101,1101,101,101,2,3,2,2,2,-1,KCC,AK,CKC,KC,CK,,A,C,,C,CC,,C,C,,K,K,K,K,K,2,1,0,1,0,T,5,sekunda
2,3,5,3,3,Ab,tei,lungs,lei,ter,er,ab,N,NV,ø,acc,K,KC,KCC,KCCD,KCCDC,C,KC,CKC,DCKC,CDCKC,ø,VC,CVV,CVCC,CVV,CVC,1,0,3,0,2,1,0,2,0,1,0,1,1,1,1,1,2,1,2,1,2,101,101,1111,11,111,2,3,2,4,2,-1,KC,CD,CKCC,CD,CKC,,C,C,C,C,C,,CC,,C,K,D,K,D,K,1,1,2,1,0,T,5,prima
2,5,3,3,3,ab,trans,por,tie,ren,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVCC,CVC,CVV,CVC,1,4,2,0,2,1,2,1,0,1,0,2,1,1,1,1,1,1,2,1,1,101,1211,111,101,1011,2,2,2,3,3,1,KC,CCKCC,CKC,CL,CKC,,CC,C,C,C,C,CC,C,,C,K,K,K,L,K,1,2,1,1,0,F,5,prima
1,4,3,3,2,A,chil,les,fer,se,e,ø,N,ø,ø,ø,K,KC,KCK,KCKC,KCKCK,K,CK,CCK,KCCK,CKCCK,ø,VC,CVC,CVC,CVC,CV,1,2,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,101,111,111,101,4,3,2,2,2,1,K,CK,CKC,CKC,CK,,C,C,C,C,,,C,C,,K,K,K,K,K,1,1,1,1,0,T,5,sekunda
1,4,3,3,2,A,chil,les,seh,ne,e,ø,N,ø,ø,ø,K,KC,KCK,KCKC,KCKCK,K,CK,LCK,CLCK,CCLCK,ø,VC,CVC,CVC,CVV,CV,1,2,2,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,0,1,101,111,101,1001,4,3,2,2,3,1,K,CK,CKC,CL,CK,,C,C,C,C,,,C,,,K,K,K,L,K,1,1,1,1,0,T,5,sekunda
1,4,2,3,3,A,chro,ma,top,sie,ie,ø,N,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,L,CL,CCL,KCCL,CKCCL,ø,VC,CCVV,CVC,CVC,CCVV,1,1,2,2,1,1,0,1,1,0,0,2,1,1,2,1,2,1,1,2,0,1,111,1001,101,201,4,2,3,2,2,1,K,CCL,CK,CK,CCL,,CC,C,C,CC,,,,,,K,L,K,K,L,1,1,1,1,1,T,5,ultima
3,3,2,3,3,Ach,sen,zy,lin,der,er,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVV,CVC,CVC,1,2,0,2,2,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,2,101,1101,101,1011,111,2,2,3,3,2,-1,KC,CKC,AL,CKC,CKC,,C,A,C,C,C,C,,C,C,K,K,L,K,K,1,0,1,1,0,T,5,prima
4,2,2,2,3,Achs,ki,lo,me,ter,er,ø,N,NN,SS,ø,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VCC,CVV,CVV,CVV,CVC,2,0,0,0,2,2,0,0,0,1,0,1,1,1,1,1,2,2,2,1,2,201,101,11,1001,111,2,3,3,3,2,1,KCC,CL,CL,CL,CKC,,C,C,C,C,CC,,,,C,K,L,L,L,K,2,1,1,1,0,T,5,prima
4,4,3,3,2,Acht,pfen,nig,mar,ke,e,ø,N,ø,SS,ø,K,KC,KCC,KCCA,KCCAK,K,CK,CCK,KCCK,CKCCK,ø,VCC,CVC,CVC,CVC,CV,2,2,2,2,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,2,201,101,1101,1011,101,2,2,2,3,2,1,KCC,AK,CKC,CKC,CK,,A,C,C,C,CC,,C,C,,K,K,K,K,K,2,1,1,1,0,T,5,sekunda
3,4,2,3,4,ach,tung,ge,bie,tend,end,ø,A,NA,SS,ø,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,LCKCC,ø,VC,CVC,CV,CVV,CVCC,1,2,1,0,3,1,1,0,0,2,0,1,1,1,1,1,1,1,2,1,2,101,1101,101,101,1201,2,2,2,3,2,1,KC,CKC,CK,CL,CKCC,,C,C,C,C,C,C,,,CC,K,K,K,L,K,1,1,0,1,0,F,5,prima
3,5,2,3,4,Ach,tungs,be,zei,gung,ung,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,DCKC,ADCKC,ø,VC,CVCC,CV,CVV,CVC,1,3,1,0,2,1,2,0,0,1,0,1,1,1,1,1,1,1,2,1,2,101,1201,101,101,1101,2,2,2,3,2,1,KC,CKCC,CK,AD,CKC,,C,C,A,C,C,CC,,,C,K,K,K,D,K,1,2,0,1,1,T,5,prima
1,4,3,4,4,a,cker,bau,trei,bend,end,ø,A,ø,SS,ø,K,KC,KCK,KCKC,KCKCC,C,CC,KCC,CKCC,DCKCC,ø,VC,CVC,CVV,CCVV,CVCC,1,2,0,1,3,1,1,0,0,2,0,1,1,2,1,1,1,2,2,1,2,1,111,101,111,1201,4,2,3,3,2,1,K,CKC,CD,CCD,CKCC,,C,C,CC,C,,C,,,CC,K,K,D,D,K,1,0,1,1,0,F,5,prima
1,3,2,2,2,A,dap,ta,ti,on,on,ø,N,R,SA,ø,K,KC,KCK,KCKC,KCKCC,C,LC,LLC,ALLC,KALLC,ø,VC,CVC,CVC,CVV,VVC,1,2,2,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,2,2,1,1,201,101,101,1001,4,2,2,3,3,1,K,CKC,CK,AL,LC,,C,C,A,,,C,,,C,K,K,K,L,L,1,1,1,1,1,T,5,ultima
2,4,2,4,2,Ad,dier,ma,schi,ne,e,ø,N,VN,SS,ø,K,KC,KCL,KCLC,KCLCC,K,CK,LCK,CLCK,KCLCK,ø,VC,CVVC,CVC,CVV,CV,1,1,2,0,1,1,1,1,0,0,0,1,1,1,1,1,2,1,2,1,2,1,111,1001,101,1001,4,3,3,3,3,1,K,CLC,CK,CL,CK,,C,C,C,C,,C,,,,K,L,K,L,K,1,1,1,1,0,T,5,sekunda
2,2,2,1,3,ad,di,ti,o,nal,al,ø,A,N,SA,ø,K,KC,KCL,KCLA,KCLAL,C,LC,CLC,LCLC,LLCLC,ø,VC,CVV,CVV,VV,CVVC,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,2,2,2,2,1,1,101,101,1,1011,4,3,3,4,3,1,K,CL,AL,L,CLC,,C,A,,C,,,,,C,K,L,L,L,L,1,1,1,1,1,F,5,paenultima
1,4,3,2,3,A,dels,pr1,di,kat,at,ø,N,NN,SAS,ø,L,LC,LCK,LCKC,LCKCC,C,LC,CLC,LCLC,CLCLC,ø,VV,CVCC,CCVC,CVV,CVVC,0,3,3,0,1,0,2,1,0,1,0,1,2,1,1,2,1,1,2,2,2,1,211,111,101,201,6,2,2,3,2,1,L,CKCC,CCK,CL,CLC,,C,CC,C,C,,CC,,,C,L,K,K,L,L,1,0,1,1,1,T,5,prima
1,2,2,2,3,a,de,no,ma,t3s,3s,ø,A,ø,ø,ø,K,KC,KCL,KCLC,KCLCL,C,LC,CLC,KCLC,CKCLC,ø,VC,CVV,CVV,CVC,CVVC,1,0,0,2,1,1,0,0,1,1,0,1,1,1,1,1,2,2,1,2,0,1,101,1001,1001,201,4,2,3,3,2,1,K,CL,CL,CK,CLC,,C,C,C,C,,,,,C,K,L,L,K,L,1,1,1,1,1,F,5,ultima
2,2,2,3,4,Ad,h1,si,ons,bahn,ahn,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,LC,CLC,CCLC,CCCLC,ø,VC,CVC,CVV,VVCC,CVVC,1,2,0,1,1,1,1,0,2,1,0,1,1,0,1,1,1,2,2,2,2,101,101,101,1101,1101,2,2,3,2,3,1,KC,CK,CL,LCC,CLC,,C,C,,C,C,,,CC,C,K,K,L,L,L,1,1,1,2,1,T,5,paenultima
