syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
tel,ø,l,el,tel,ttel,ittel,C,KC,CKC,KCKC,CKCKC,ø,All,ø,A,Al,All,Allh,Allhe,K,KC,KCC,KCCD,KCCDC,ø,10,15,11,11,5,5,5,3,0,light,light,light,schwa,c,c,c,c,KC,CDC,CK,CKC,,C,C,C,C,C,,C,K,D,K,K,3,4,3,3,1,1,1,1,0,1,1,1,1,2,1,1,VC,CVVC,CVC,CVC,1,1,2,2,N,ø,T,2,Allheilmittel,multa
lich,ø,h,ch,ich,lich,tlich,C,KC,CKC,CCKC,KCCKC,noacc,all,ø,a,al,all,allm,allmo,K,KC,KCC,KCCL,KCCLC,ø,10,9,10,13,5,4,3,4,1,light,light,light,light,c,o,c,c,KC,CL,CKC,CKC,,C,C,C,C,,C,C,K,L,K,K,3,2,3,4,1,0,1,1,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVC,1,0,2,2,A,ø,F,2,allmonatlich,multa
ler,ler,r,er,ler,tler,rtler,C,KC,CKC,CCKC,CCCKC,ø,All,ø,A,Al,All,Allr,Allro,L,LC,LCC,LCCD,LCCDC,ø,10,18,13,14,5,4,2,4,0,light,heavy,heavy,schwa,c,c,c,c,LC,CDCC,CCKCC,CKC,,C,CC,C,C,CC,CC,C,L,D,K,K,3,5,5,3,1,2,2,1,0,1,2,1,2,2,1,1,VVC,CVVCC,CCVCC,CVC,0,1,4,2,N,ø,T,0,Allroundsportler,multa
all,ø,l,ll,all,rall,erall,C,KC,CKC,KCKC,CKCKC,ø,all,ø,a,al,all,allu,allue,K,KC,KCL,KCLC,KCLCK,ø,10,8,11,10,5,8,3,5,0,light,light,schwa,light,c,o,c,c,KC,L,CKC,KC,,,C,,C,,C,C,K,L,K,K,3,1,3,3,1,0,1,1,0,0,1,0,1,2,1,1,VC,VV,CVC,VC,1,0,2,1,ADV,ø,F,2,allueberall,multa
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,KCCDC,ø,All,ø,A,Al,All,Allw,Allwi,K,KC,KCC,KCCK,KCCKC,ø,10,9,10,12,5,4,3,4,0,light,light,schwa,light,c,c,c,c,KC,CK,CKC,CDC,,C,C,C,C,,C,C,K,K,K,D,3,3,3,4,1,1,1,1,0,1,1,1,1,1,1,2,VC,CVC,CVC,CVVC,1,2,2,1,N,ø,T,2,Allwissenheit,multa
lich,ø,h,ch,ich,lich,tlich,C,KC,CKC,CCKC,CCCKC,ø,all,ø,a,al,all,allw,allwo,K,KC,KCC,KCCK,KCCKC,ø,10,7,11,13,5,3,2,4,1,light,light,schwa,light,c,c,c,c,KC,CK,CKCC,CKC,,C,C,C,C,,CC,C,K,K,K,K,3,2,5,4,1,1,2,1,0,1,1,1,1,1,1,1,VC,CVC,CVCC,CVC,1,2,3,2,A,ø,F,2,allwoechentlich,multa
lik,ø,k,ik,lik,olik,holik,C,LC,CLC,LCLC,CLCLC,noacc,Alt,ø,A,Al,Alt,Altk,Altka,L,LC,LCK,LCKC,LCKCL,ø,6,7,7,13,6,3,3,4,2,heavy,light,light,light,c,c,o,c,L,CK,CL,CLC,,C,C,C,,,,C,L,K,L,L,3,2,3,3,2,1,0,1,0,1,1,1,1,1,2,2,VCC,CVC,CVV,CVVC,2,2,0,1,N,AN,T,2,Altkatholik,multa
falls,ø,s,ls,lls,alls,falls,C,CC,KCC,CKCC,CCKCC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,7,13,12,4,3,4,3,1,light,schwa,schwa,heavy,c,o,c,c,KC,CK,CKC,CKCC,,C,C,C,C,,C,CC,K,K,K,K,2,2,3,5,1,0,1,2,0,1,1,1,1,1,1,1,VC,CV,CVC,CVCC,1,1,2,3,ADV,ø,F,2,anderenfalls,multa
orts,ø,s,ts,rts,orts,norts,A,CA,KCA,CKCA,KCKCA,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,7,13,11,4,3,4,3,1,light,schwa,schwa,heavy,c,o,c,c,KC,CK,CKC,KCA,,C,C,,C,,C,CA,K,K,K,K,2,2,3,4,1,0,1,2,0,1,1,0,1,1,1,1,VC,CV,CVC,VCC,1,1,2,2,ADV,ø,F,2,anderenorts,multa
tags,ø,s,gs,ags,tags,ntags,C,CC,LCC,CLCC,CCLCC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,7,13,13,4,3,4,3,1,light,schwa,schwa,heavy,c,o,c,c,KC,CK,CKC,CLCC,,C,C,C,C,,C,CC,K,K,K,L,2,2,3,4,1,0,1,2,0,1,1,1,1,1,1,2,VC,CV,CVC,CVVCC,1,1,2,1,ADV,ø,F,2,anderentags,multa
teils,ø,s,ls,ils,eils,teils,C,CC,DCC,CDCC,CCDCC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,7,13,16,4,3,4,4,2,light,schwa,schwa,heavy,c,o,c,c,KC,CK,CKC,CDCC,,C,C,C,C,,C,CC,K,K,K,D,2,2,3,5,1,0,1,2,0,1,1,1,1,1,1,2,VC,CV,CVC,CVVCC,1,1,2,1,ADV,ø,F,2,anderenteils,multa
seits,ø,s,ts,its,eits,seits,A,DA,CDA,CCDA,KCCDA,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,7,14,12,4,3,4,4,1,light,schwa,schwa,light,c,o,c,c,KC,CK,CKC,CDA,,C,C,C,C,,C,A,K,K,K,D,2,2,3,5,1,0,1,1,0,1,1,1,1,1,1,2,VC,CV,CVC,CVVC,1,1,2,1,ADV,ø,F,2,andererseits,multa
her,ø,r,er,her,oher,woher,C,LC,CLC,LCLC,CLCLC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,7,11,4,3,3,3,0,light,schwa,light,light,c,c,o,c,KC,CKCC,CL,CLC,,C,C,C,C,CC,,C,K,K,L,L,2,4,2,3,1,2,0,1,0,1,1,1,1,1,2,2,VC,CVCC,CVV,CVVC,1,3,0,1,ADV,ø,F,2,anderswoher,multa
hin,ø,n,in,hin,ohin,wohin,C,KC,CKC,LCKC,CLCKC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,7,12,4,3,3,4,0,light,schwa,light,light,c,c,o,c,KC,CKCC,CL,CKC,,C,C,C,C,CC,,C,K,K,L,K,2,4,2,3,1,2,0,1,0,1,1,1,1,1,2,1,VC,CVCC,CVV,CVC,1,3,0,2,ADV,ø,F,2,anderswohin,multa
fach,ø,h,ch,ach,fach,bfach,C,KC,CKC,CCKC,CCCKC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,12,8,4,3,3,2,-1,light,schwa,heavy,light,c,c,c,c,KC,CKCC,CKCC,CKC,,C,C,C,C,CC,CC,C,K,K,K,K,2,4,4,4,1,2,2,1,0,1,1,1,1,1,1,1,VC,CVCC,CVCC,CVC,1,3,3,2,X,ø,F,1,anderthalbfach,multa
