syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
obst,ø,t,st,bst,obst,robst,C,CC,CCC,LCCC,CLCCC,Spa,ø,S,Sp,Spa,Spal,Spali,C,CC,CCK,CCKC,CCKCL,8,16,9,2,5,2,0,light,light,heavy,c,c,c,CCK,CLC,LCCC,CC,C,,,C,CCC,K,L,L,3,4,4,1,1,3,2,1,0,1,2,2,CCVC,CVVC,VVCCC,3,1,1,N,NN,T,2,Spalierobst,paenultima
lang,ø,g,ng,ang,lang,nlang,C,KC,CKC,CCKC,KCCKC,spal,ø,s,sp,spa,spal,spalt,C,CC,CCK,CCKC,CCKCC,12,10,13,3,3,4,0,light,schwa,light,c,c,c,CCKC,CKC,CKC,CC,C,C,C,C,C,K,K,K,4,3,4,1,1,1,2,1,1,1,1,1,CCVC,CVC,CVC,3,2,2,A,NA,F,2,spaltenlang,antepaenultima
der,ø,r,er,der,eder,leder,C,KC,CKC,LCKC,CLCKC,Spalt,ø,S,Sp,Spa,Spal,Spalt,C,CC,CCL,CCLC,CCLCL,8,10,11,2,5,3,1,heavy,light,schwa,c,o,c,CCL,CL,CKC,CC,C,C,,,C,L,L,K,5,2,3,2,0,1,2,1,1,1,2,1,CCVCC,CVV,CVC,4,0,2,N,VN,T,2,Spaltleder,antepaenultima
dukt,ø,t,kt,ukt,dukt,odukt,C,CC,KCC,CKCC,LCKCC,Spalt,ø,S,Sp,Spa,Spal,Spalt,C,CC,CCL,CCLC,CCLCC,8,11,11,2,3,2,1,heavy,light,heavy,c,o,c,CCL,CCL,CKCC,CC,CC,C,,,CC,L,L,K,5,3,4,2,0,2,2,2,1,1,2,1,CCVCC,CCVV,CVCC,4,1,3,N,VN,T,2,Spaltprodukt,antepaenultima
kel,ø,l,el,kel,rkel,erkel,C,KC,CKC,CCKC,KCCKC,Span,ø,S,Sp,Spa,Span,Spanf,C,CC,CCL,CCLC,CCLCC,15,11,11,3,3,3,-2,light,light,schwa,c,c,c,CCLC,CKC,CKC,CC,C,C,C,C,C,L,K,K,4,3,3,1,1,1,2,1,1,2,1,1,CCVVC,CVC,CVC,1,2,2,N,VN,T,2,Spanferkel,antepaenultima
schuh,ø,h,uh,huh,chuh,schuh,L,CL,CCL,KCCL,CKCCL,Span,ø,S,Sp,Spa,Span,Spang,C,CC,CCK,CCKC,CCKCK,8,12,9,2,4,4,0,light,schwa,light,c,c,o,CCK,CKC,CL,CC,C,C,,C,,K,K,L,4,3,5,1,1,0,2,1,1,1,1,2,CCVC,CVC,CVV,3,2,0,N,NN,T,2,Spangenschuh,antepaenultima
gelb,ø,b,lb,elb,gelb,hgelb,C,CC,KCC,CKCC,CCKCC,spa,ø,s,sp,spa,span,spani,C,CC,CCL,CCLC,CCLCK,12,12,12,4,4,3,0,light,light,heavy,o,c,c,CCL,CKC,CKCC,CC,C,C,,C,CC,L,K,K,3,5,4,0,1,2,2,1,1,2,1,1,CCVV,CVC,CVCC,1,2,3,A,AA,F,2,spanischgelb,antepaenultima
ton,ø,n,on,ton,eton,beton,C,KC,CKC,LCKC,CLCKC,Spann,ø,S,Sp,Spa,Span,Spann,C,CC,CCK,CCKC,CCKCC,11,7,10,2,3,3,-1,light,light,light,c,o,c,CCKC,CL,CKC,CC,C,C,C,,C,K,L,K,5,2,3,1,0,1,2,1,1,1,2,1,CCVC,CVV,CVC,3,0,2,N,VN,T,2,Spannbeton,antepaenultima
lang,ø,g,ng,ang,lang,nlang,C,KC,CKC,CCKC,KCCKC,span,ø,s,sp,spa,span,spann,C,CC,CCK,CCKC,CCKCK,8,12,13,2,4,4,2,light,schwa,light,c,c,c,CCK,CKC,CKC,CC,C,C,,C,C,K,K,K,4,3,4,1,1,1,2,1,1,1,1,1,CCVC,CVC,CVC,3,2,2,A,NA,F,2,spannenlang,antepaenultima
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,spann,ø,s,sp,spa,span,spann,C,CC,CCK,CCKC,CCKCC,11,7,9,2,3,4,-1,light,light,light,c,o,c,CCKC,CL,KC,CC,C,,C,,C,K,L,K,5,2,3,1,0,1,2,1,0,1,2,1,CCVC,CVV,VC,3,0,1,A,ø,F,2,spannfaehig,antepaenultima
men,ø,n,en,men,hmen,ahmen,C,KC,CKC,LCKC,CLCKC,Spann,ø,S,Sp,Spa,Span,Spann,C,CC,CCK,CCKC,CCKCC,11,14,12,2,7,4,0,light,light,schwa,c,o,c,CCKC,CL,CKC,CC,C,C,C,,C,K,L,K,5,3,3,1,0,1,2,1,1,1,2,1,CCVC,CVV,CVC,3,0,2,N,VN,T,2,Spannrahmen,antepaenultima
feld,ø,d,ld,eld,feld,sfeld,C,CC,KCC,CKCC,CCKCC,Span,ø,S,Sp,Spa,Span,Spann,C,CC,CCK,CCKC,CCKCK,8,15,12,2,3,3,2,light,heavy,heavy,c,c,c,CCK,CKCC,CKCC,CC,C,C,,CC,CC,K,K,K,4,5,4,1,2,2,2,1,1,1,1,1,CCVC,CVCC,CVCC,3,3,3,N,NN,T,2,Spannungsfeld,antepaenultima
te,ø,e,te,ite,eite,weite,K,CK,DCK,CDCK,CCDCK,Spann,ø,S,Sp,Spa,Span,Spann,C,CC,CCK,CCKC,CCKCC,11,11,7,2,5,3,-2,light,light,schwa,c,o,o,CCKC,CD,CK,CC,C,C,C,,,K,D,K,5,3,2,1,0,0,2,1,1,1,2,1,CCVC,CVV,CV,3,0,1,N,VN,T,2,Spannweite,antepaenultima
se,ø,e,se,hse,chse,echse,K,CK,CCK,KCCK,CKCCK,Spar,ø,S,Sp,Spa,Spar,Sparb,C,CC,CCL,CCLC,CCLCC,16,10,7,4,3,3,-5,light,light,schwa,c,c,o,CCLC,CKC,CK,CC,C,C,C,C,,L,K,K,4,4,2,1,1,0,2,1,1,2,1,1,CCVVC,CVC,CV,1,2,1,N,VN,T,2,Sparbuechse,antepaenultima
me,ø,e,me,mme,amme,lamme,K,CK,KCK,CKCK,CCKCK,Spar,ø,S,Sp,Spa,Spar,Sparf,C,CC,CCL,CCLC,CCLCC,16,11,9,4,3,4,-4,light,light,schwa,c,c,o,CCLC,CCK,CK,CC,CC,C,C,,,L,K,K,4,4,2,1,1,0,2,2,1,2,1,1,CCVVC,CCVC,CV,1,3,1,N,VN,T,2,Sparflamme,antepaenultima
schen,ø,n,en,hen,chen,schen,C,KC,CKC,KCKC,CKCKC,Spar,ø,S,Sp,Spa,Spar,Sparg,C,CC,CCL,CCLC,CCLCC,16,11,10,4,3,3,-3,light,light,schwa,c,c,c,CCLC,CCK,CKC,CC,CC,C,C,,C,L,K,K,4,3,5,1,1,1,2,2,1,2,1,1,CCVVC,CCVC,CVC,1,3,2,N,VN,T,2,Spargroschen,antepaenultima
se,ø,e,se,sse,asse,kasse,K,CK,KCK,CKCK,CCKCK,Spar,ø,S,Sp,Spa,Spar,Spark,C,CC,CCL,CCLC,CCLCC,16,7,7,4,3,3,-5,light,light,schwa,c,c,o,CCLC,CK,CK,CC,C,C,C,,,L,K,K,4,3,2,1,1,0,2,1,1,2,1,1,CCVVC,CVC,CV,1,2,1,N,VN,T,2,Sparkasse,antepaenultima
nig,ø,g,ig,nig,nnig,ennig,C,KC,CKC,KCKC,AKCKC,Spar,ø,S,Sp,Spa,Spar,Sparp,C,CC,CCL,CCLC,CCLCA,16,7,12,4,3,4,-2,light,light,light,c,c,c,CCLC,AK,CKC,CC,A,C,C,,C,L,K,K,4,4,3,1,1,1,2,1,1,2,1,1,CCVVC,CVC,CVC,1,2,2,N,VN,T,2,Sparpfennig,antepaenultima
te,ø,e,te,ote,uote,quote,K,CK,LCK,CLCK,CCLCK,Spar,ø,S,Sp,Spa,Spar,Sparq,C,CC,CCL,CCLC,CCLCC,16,8,7,4,2,3,-5,light,light,schwa,c,o,o,CCLC,CCL,CK,CC,CC,C,C,,,L,L,K,4,3,2,1,0,0,2,2,1,2,2,1,CCVVC,CCVV,CV,1,1,1,N,VN,T,2,Sparquote,antepaenultima
gel,ø,l,el,gel,ogel,vogel,C,KC,CKC,LCKC,CLCKC,Spa$,ø,S,Sp,Spa,Spas,Spass,C,CC,CCL,CCLC,CCLCC,13,7,11,3,3,3,-1,light,light,schwa,c,o,c,CCLC,CL,CKC,CC,C,C,C,,C,L,L,K,4,2,3,1,0,1,2,1,1,2,2,1,CCVVC,CVV,CVC,1,0,2,N,VN,T,2,Spassvogel,antepaenultima
bends,ø,s,ds,nds,ends,bends,A,CA,KCA,CKCA,LCKCA,sp1t,ø,s,sp,spa,spae,spaet,C,CC,CCL,CCLC,CCLCL,9,10,11,2,10,2,1,light,light,schwa,c,o,c,CCLC,L,CKCA,CC,,C,C,,CA,L,L,K,4,1,5,1,0,2,2,0,1,2,2,1,CCVVC,VV,CVCC,1,0,3,ADV,ø,F,2,spaetabends,antepaenultima
stich,ø,h,ch,ich,tich,stich,C,KC,CKC,CCKC,CCCKC,Spa,ø,S,Sp,Spa,Spat,Spate,C,CC,CCL,CCLC,CCLCK,12,10,11,4,3,2,-1,light,schwa,light,o,c,c,CCL,CKC,CCKC,CC,C,CC,,C,C,L,K,K,3,3,5,0,1,1,2,1,2,2,1,1,CCVV,CVC,CCVC,1,2,3,N,NN,T,2,Spatenstich,antepaenultima
hin,ø,n,in,hin,rhin,erhin,C,KC,CKC,CCKC,KCCKC,sp1,ø,s,sp,spa,spae,spaet,C,CC,CCL,CCLC,CCLCK,8,11,12,2,3,4,2,light,schwa,light,o,c,c,CCL,CKC,CKC,CC,C,C,,C,C,L,K,K,3,3,3,0,1,1,2,1,1,2,1,1,CCVV,CVC,CVC,1,2,2,ADV,ø,F,2,spaeterhin,antepaenultima
