syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
bl3d,ø,d,ed,oed,loed,bloed,C,LC,CLC,CCLC,DCCLC,ø,sau,ø,s,sa,sau,saub,saubl,C,CD,CDC,CDCC,CDCCL,ø,11,12,5,3,1,light,light,o,c,CD,CCLC,C,CC,,C,D,L,3,4,0,1,1,2,2,2,CVV,CCVVC,0,1,A,NA,F,2,saubloed,multa
dumm,ø,m,mm,umm,dumm,udumm,C,KC,CKC,DCKC,CDCKC,ø,sau,ø,s,sa,sau,saud,saudu,C,CD,CDC,CDCK,CDCKC,ø,11,12,5,4,1,light,light,o,c,CD,CKC,C,C,,C,D,K,3,4,0,1,1,1,2,1,CVV,CVC,0,2,A,NA,F,2,saudumm,multa
kalt,ø,t,lt,alt,kalt,ukalt,L,CL,DCL,CDCL,ø,ø,sau,ø,s,sa,sau,sauk,sauka,C,CD,CDC,CDCL,ø,ø,11,7,5,3,-2,light,heavy,o,c,CD,CL,C,C,,,D,L,3,4,0,2,1,1,2,1,CVV,CVCC,0,3,A,NA,F,2,saukalt,multa
wohl,ø,l,hl,ohl,wohl,uwohl,C,LC,CLC,DCLC,CDCLC,ø,sau,ø,s,sa,sau,sauw,sauwo,C,CD,CDC,CDCL,CDCLC,ø,11,11,5,3,0,light,light,o,c,CD,CLC,C,C,,C,D,L,3,4,0,1,1,1,2,2,CVV,CVVC,0,1,ADV,ø,F,2,sauwohl,multa
wut,ø,t,ut,wut,uwut,auwut,C,LC,CLC,DCLC,CDCLC,ø,Sau,ø,S,Sa,Sau,Sauw,Sauwu,C,CD,CDC,CDCL,CDCLC,ø,11,10,5,3,0,light,light,o,c,CD,CLC,C,C,,C,D,L,3,3,0,1,1,1,2,2,CVV,CVVC,0,1,N,NN,T,2,Sauwut,multa
wei$,ø,s,ss,iss,eiss,weiss,C,DC,CDC,LCDC,CLCDC,ø,schloh,ø,s,sc,sch,schl,schlo,C,CC,CCL,CCLC,CCLCD,ø,11,12,3,4,1,light,light,o,c,CCL,CDC,CC,C,,C,L,D,6,4,0,1,2,1,2,2,CCVV,CVVC,1,1,A,NA,F,2,schlohweiss,multa
stracks,ø,s,ks,cks,acks,racks,C,CC,KCC,CKCC,CCKCC,ø,schnur,ø,s,sc,sch,schn,schnu,C,CC,CCL,CCLC,CCLCC,ø,16,14,4,2,-1,light,heavy,c,c,CCLC,CCCKCC,CC,CCC,C,CC,L,K,6,7,1,2,2,3,2,1,CCVVC,CCCVCC,1,5,ADV,ø,F,2,schnurstracks,multa
wei$,ø,s,ss,iss,eiss,weiss,C,DC,CDC,ACDC,CACDC,ø,schwarz,ø,s,sc,sch,schw,schwa,C,CC,CCK,CCKC,CCKCA,ø,13,12,2,4,0,heavy,light,c,c,CCKCA,CDC,CC,C,CA,C,K,D,7,4,2,1,2,1,1,2,CCVCC,CVVC,4,1,A,AA,F,2,schwarzweiss,multa
weit,ø,t,it,eit,weit,rweit,C,DC,CDC,CCDC,KCCDC,ø,sperr,ø,s,sp,spe,sper,sperr,C,CC,CCK,CCKC,CCKCC,ø,12,12,3,4,0,light,light,c,c,CCKC,CDC,CC,C,C,C,K,D,5,4,1,1,2,1,1,2,CCVC,CVVC,3,1,ADV,NA,F,2,sperrweit,multa
alt,ø,t,lt,alt,nalt,inalt,L,CL,DCL,CDCL,CCDCL,ø,stein,ø,s,st,ste,stei,stein,C,CC,CCD,CCDC,CCDCL,ø,15,6,3,6,-4,light,heavy,c,c,CCDC,L,CC,,C,,D,L,5,3,1,2,2,0,2,1,CCVVC,VCC,1,2,A,NA,F,2,steinalt,multa
