basic_pos,praefix,stress_class
A,ø,paenultima
ø,ø,multa
A,ø,multa
A,ø,multa
ADV,ø,multa
A,ø,paenultima
N,ø,paenultima
V,an,prima
V,an,prima
N,ø,paenultima
N,an,prima
V,an,prima
N,an,antepaenultima
N,an,prima
N,ø,ultima
N,an,prima
N,an,prima
V,an,prima
N,an,prima
N,an,prima
N,an,prima
N,an,ultima
A,an,prima
N,an,prima
A,ø,prima
V,an,prima
N,ø,prima
A,ø,prima
A,ø,prima
V,an,prima
A,an,prima
N,ø,prima
A,ø,prima
A,ø,prima
V,an,prima
N,ø,prima
A,ø,prima
A,ø,prima
A,ø,prima
N,ø,prima
ADV,ø,prima
N,ø,prima
A,ø,prima
A,ø,prima
V,an,prima
N,an,prima
N,an,prima
N,an,prima
A,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
N,an,prima
N,an,prima
V,an,antepaenultima
V,ø,antepaenultima
V,ø,antepaenultima
A,ø,antepaenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,an,prima
N,an,prima
N,an,prima
N,an,prima
V,an,prima
N,an,prima
N,an,prima
N,an,prima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,antepaenultima
N,ø,antepaenultima
A,an,prima
V,an,prima
N,an,prima
A,an,prima
N,an,prima
N,an,prima
N,an,prima
N,ø,prima
N,an,prima
N,an,prima
V,an,prima
N,an,prima
N,ø,prima
N,an,prima
N,an,prima
ADV,an,prima
N,an,ultima
N,an,prima
N,an,prima
N,ø,ultima
V,an,prima
N,an,prima
N,ø,ultima
A,ø,paenultima
A,ø,ultima
N,ø,ultima
A,ø,prima
N,ø,paenultima
N,ø,paenultima
A,ø,ultima
N,ø,prima
N,ø,ultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
A,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
A,ø,paenultima
V,an,prima
V,an,prima
V,an,prima
N,an,prima
V,an,prima
N,an,prima
N,an,prima
N,ø,prima
N,an,prima
N,an,prima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,ultima
A,ø,paenultima
N,ø,antepaenultima
N,ø,paenultima
A,ø,ultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
A,ø,paenultima
A,ø,paenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,antepaenultima
N,ø,antepaenultima
A,ø,paenultima
N,ø,prima
N,ø,prima
N,ø,prima
N,ø,prima
A,ø,prima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,ultima
A,ø,paenultima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,prima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,antepaenultima
N,ø,antepaenultima
N,ø,prima
A,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
A,ø,ultima
N,ø,antepaenultima
A,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
A,ø,antepaenultima
A,ø,antepaenultima
A,ø,prima
N,ø,ultima
N,ø,antepaenultima
V,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,paenultima
A,ø,ultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
A,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,ultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,ultima
A,ø,prima
A,ø,paenultima
A,ø,prima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,antepaenultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
V,ø,paenultima
N,ø,prima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
A,ø,ultima
A,ø,paenultima
N,ø,paenultima
N,ø,prima
V,auf,prima
V,auf,prima
N,auf,prima
V,auf,prima
V,auf,prima
V,auf,prima
V,auf,prima
N,auf,prima
N,auf,prima
V,auf,prima
N,auf,prima
N,auf,prima
ADV,auf,prima
N,auf,prima
V,auf,prima
V,auf,prima
N,auf,prima
V,auf,prima
N,auf,prima
N,auf,prima
N,auf,prima
A,ø,prima
A,ø,prima
N,ø,prima
A,ø,prima
A,ø,prima
N,ø,prima
N,auf,prima
N,auf,prima
A,auf,prima
V,ø,prima
N,auf,prima
N,auf,prima
V,auf,prima
N,auf,prima
V,auf,prima
N,auf,prima
V,auf,prima
N,auf,prima
V,auf,prima
V,auf,prima
N,auf,prima
A,auf,prima
N,auf,prima
N,auf,prima
N,auf,prima
N,auf,ultima
A,auf,prima
N,auf,prima
V,auf,prima
V,auf,prima
N,auf,prima
N,auf,ultima
N,auf,prima
A,auf,prima
A,ø,prima
A,ø,prima
A,ø,prima
V,aus,prima
V,aus,prima
N,aus,prima
V,aus,prima
V,aus,prima
N,aus,prima
A,ø,prima
V,aus,prima
N,aus,prima
ADV,aus,paenultima
A,ø,prima
V,aus,prima
V,aus,prima
V,aus,prima
V,aus,prima
N,aus,prima
N,aus,ultima
N,aus,prima
N,ø,prima
N,aus,prima
N,aus,prima
A,ø,prima
A,ø,prima
A,ø,prima
A,ø,prima
A,ø,prima
N,ø,prima
A,aus,prima
ø,ø,prima
N,ø,prima
ADV,ø,prima
A,ø,prima
A,ø,prima
A,ø,prima
V,aus,prima
N,aus,prima
A,ø,prima
A,ø,prima
A,ø,prima
N,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
V,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
V,ø,paenultima
V,aus,prima
N,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
N,aus,prima
V,aus,prima
N,ø,prima
V,aus,prima
V,aus,prima
N,aus,prima
V,aus,prima
V,aus,prima
V,aus,prima
N,ø,prima
N,aus,prima
A,aus,prima
N,aus,prima
N,ø,prima
N,aus,prima
N,aus,prima
V,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
V,aus,prima
N,ø,antepaenultima
A,ø,ultima
V,aus,prima
V,aus,prima
N,aus,prima
N,aus,prima
A,aus,prima
N,aus,prima
N,aus,prima
N,ø,paenultima
N,ø,prima
N,ø,ultima
A,ø,paenultima
N,ø,prima
N,ø,ultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,prima
A,ø,ultima
A,ø,ultima
N,ø,ultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,antepaenultima
N,ø,paenultima
N,ø,ultima
N,ø,antepaenultima
A,ø,ultima
N,ø,antepaenultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,prima
N,ø,antepaenultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,prima
N,ø,prima
N,ø,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
A,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,ø,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
A,be,antepaenultima
A,ø,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
A,be,antepaenultima
N,ø,antepaenultima
A,be,antepaenultima
A,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
A,ø,antepaenultima
V,be,antepaenultima
A,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
A,ø,antepaenultima
V,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,ø,antepaenultima
ADV,ø,antepaenultima
A,be,antepaenultima
N,be,antepaenultima
A,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
A,ø,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
A,be,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,bei,prima
ADV,bei,paenultima
V,bei,prima
N,bei,prima
V,be,antepaenultima
N,ø,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
A,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
N,ø,paenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
A,be,antepaenultima
V,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
A,be,antepaenultima
V,ø,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
A,ø,antepaenultima
A,ø,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
N,be,antepaenultima
A,ø,paenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,ø,paenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
V,be,antepaenultima
V,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
N,be,antepaenultima
V,ø,antepaenultima
N,ø,antepaenultima
ø,ø,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
V,be,antepaenultima
A,be,antepaenultima
N,ø,ultima
N,ø,paenultima
N,ø,prima
A,ø,ultima
V,ø,paenultima
A,ø,prima
A,ø,ultima
V,ø,paenultima
N,ø,ultima
A,ø,paenultima
N,ø,paenultima
N,ø,ultima
A,ø,paenultima
N,ø,ultima
A,ø,ultima
V,ø,paenultima
V,ø,paenultima
A,ø,prima
N,ø,prima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
N,ø,prima
N,ø,prima
V,ø,paenultima
N,ø,antepaenultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
ADV,ø,prima
ADV,ø,prima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,paenultima
ADV,ø,prima
A,ø,paenultima
N,ø,paenultima
N,ø,antepaenultima
A,ø,paenultima
N,ø,antepaenultima
N,ø,paenultima
A,ø,antepaenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
A,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
ADV,ø,prima
V,ø,paenultima
V,ø,paenultima
A,ø,paenultima
A,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
A,ø,paenultima
A,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
V,ø,prima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,antepaenultima
ADV,ø,multa
V,ø,paenultima
ø,ø,antepaenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
ADV,ø,multa
N,ø,ultima
V,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,ultima
A,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,ultima
A,ø,paenultima
N,ø,prima
N,ø,antepaenultima
N,ø,prima
N,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,paenultima
A,ø,paenultima
A,ø,ultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,ultima
V,ø,paenultima
A,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
A,ø,paenultima
V,ø,paenultima
A,ø,paenultima
A,ø,paenultima
V,ø,paenultima
A,ø,paenultima
V,ø,paenultima
N,ø,paenultima
N,ø,ultima
N,ø,ultima
A,ø,ultima
A,ø,ultima
N,ø,paenultima
N,ø,antepaenultima
N,ø,ultima
N,ø,paenultima
V,ø,paenultima
N,ø,prima
V,ø,paenultima
A,ø,prima
N,ø,antepaenultima
N,ø,paenultima
A,ø,paenultima
V,ø,paenultima
V,ø,paenultima
A,ø,prima
N,durch,prima
N,durch,prima
N,durch,prima
A,ø,prima
A,ø,paenultima
A,ø,antepaenultima
N,ø,antepaenultima
A,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
N,ø,paenultima
N,ø,paenultima
V,ø,prima
A,ø,prima
ADV,ø,prima
N,ø,antepaenultima
A,ø,prima
A,ø,prima
N,ø,prima
A,ø,prima
A,ø,prima
ADV,ø,prima
V,ein,prima
N,ein,prima
V,ein,prima
A,ø,prima
V,ein,prima
V,ein,prima
N,ein,prima
V,ein,prima
V,ein,prima
A,ø,prima
V,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
A,ø,prima
A,ø,prima
A,ein,prima
A,ø,prima
A,ø,prima
N,ø,prima
A,ø,prima
A,ø,prima
N,ein,prima
V,ein,prima
N,ø,prima
N,ø,prima
V,ein,prima
A,ø,prima
N,ein,prima
V,ein,prima
V,ein,prima
V,ø,prima
N,ø,prima
V,ein,prima
N,ein,prima
N,ø,prima
N,ø,prima
N,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
V,ein,prima
V,ein,prima
V,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
N,ein,prima
N,ein,prima
N,ø,ultima
A,ø,prima
N,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
A,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
N,ø,prima
A,ein,prima
A,ø,prima
A,ø,prima
N,ø,prima
N,ein,prima
N,ein,prima
N,ein,prima
V,ein,prima
N,ein,prima
N,ein,prima
A,ø,prima
N,ø,antepaenultima
N,ø,antepaenultima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,ultima
A,ø,prima
A,ø,prima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
A,ø,ultima
N,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,antepaenultima
N,ø,antepaenultima
A,ø,antepaenultima
N,ø,paenultima
A,ø,ultima
A,ø,antepaenultima
V,ø,paenultima
N,ø,prima
N,ø,antepaenultima
N,ø,prima
N,ø,paenultima
A,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,prima
A,ø,paenultima
N,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
N,ø,antepaenultima
N,ent,antepaenultima
N,ø,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
V,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
A,ent,antepaenultima
N,ent,antepaenultima
N,ent,antepaenultima
A,ø,paenultima
A,ø,ultima
A,ø,paenultima
A,ø,ultima
A,ø,paenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
A,er,prima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
A,er,antepaenultima
N,ø,antepaenultima
A,er,antepaenultima
A,er,antepaenultima
N,er,antepaenultima
N,ø,antepaenultima
A,er,antepaenultima
A,er,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
A,ø,antepaenultima
N,ø,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,ø,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
N,ø,paenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
A,ø,antepaenultima
N,er,antepaenultima
N,ø,prima
N,er,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
N,ø,antepaenultima
N,er,antepaenultima
A,er,antepaenultima
A,er,antepaenultima
N,er,antepaenultima
N,ø,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
N,ø,prima
A,er,antepaenultima
V,er,antepaenultima
N,er,antepaenultima
V,er,antepaenultima
V,ø,paenultima
N,ø,ultima
N,ø,antepaenultima
N,er,antepaenultima
N,er,antepaenultima
A,er,antepaenultima
A,ø,prima
N,ø,multa
N,ø,prima
A,er,antepaenultima
V,ø,paenultima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,paenultima
A,ø,ultima
A,ø,ultima
N,ø,paenultima
A,ø,paenultima
ADV,ø,multa
ADV,ø,multa
N,ø,antepaenultima
A,ø,paenultima
N,ø,ultima
A,ø,ultima
V,ø,paenultima
A,ø,ultima
N,ø,paenultima
A,ø,paenultima
V,ø,paenultima
N,ø,ultima
N,ø,ultima
A,ø,paenultima
V,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,paenultima
N,ø,paenultima
V,ø,paenultima
A,ø,paenultima
A,ø,ultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,ultima
A,ø,ultima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,antepaenultima
V,ø,paenultima
V,ø,paenultima
V,ø,paenultima
N,ø,ultima
A,ø,prima
N,ø,prima
A,ø,prima
V,ø,paenultima
V,ø,paenultima
A,ø,ultima
N,ø,antepaenultima
N,ø,paenultima
A,ø,prima
N,ø,prima
A,ø,ultima
A,ø,prima
V,ø,paenultima
N,ø,prima
V,ø,paenultima
N,ø,paenultima
A,ø,paenultima
N,ø,ultima
N,ø,ultima
N,ø,prima
N,ø,prima
A,ø,prima
N,ø,prima
N,ø,prima
N,ø,paenultima
N,ø,paenultima
A,ø,paenultima
A,ø,ultima
V,ø,paenultima
A,ø,prima
N,fern,prima
N,ø,prima
N,ø,ultima
N,ø,paenultima
A,ø,paenultima
