					
					
(sonority0 <= 11) and (sonority_ratio0 <= 3) and (sonority_ratio0 >= 3) and (sonority_ratio2 >= 4) and (sonority_dir <= 1) and (sonority1 >= 8) => stress_class=paenultima (544.0/204.0)	544.0	204.0	625	3syl	models-sonority.txt
(nucleus_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3) => stress_class=ultima (516.0/44.0)	516.0	44.0	0.914729	3syl	models-sparse.txt
(nucleus_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3) => stress_class=ultima (516.0/44.0)	516.0	44.0	0.914729	3syl	models-numeric.txt
(nucleus_phoncat3 = L) and (comp_len <= 1) and (signi_suffix = ø) and (syl_len3 >= 3) => stress_class=ultima (498.0/56.0)	498.0	56.0	0.88755	4syl	models-all.txt
(syl_weight1 = light) and (nucleus_phoncat2 = L) and (syl_phoncat4 = CKC) => stress_class=paenultima (490.0/86.0)	490.0	86.0	0.82449	5syl	models-phon.txt
(suffix_phoncat4 = LCKC) and (suffix4 = eren) => stress_class=paenultima (477.0/50.0)	477.0	50.0	0.895178	4syl	models-suffix.txt
(nucleus_phoncat3 = L) and (comp_len <= 1) and (syl_len2 <= 2) and (koda_phoncat3 = C) => stress_class=ultima (477.0/38.0)	477.0	38.0	0.920335	4syl	models-sparse.txt
(nucleus_phoncat1 = L) and (nucleus_phoncat2 = L) and (onset_phoncat3 = C) and (syl_open1 = o) => stress_class=paenultima (463.0/77.0)	463.0	77.0	0.833693	4syl	models-phon.txt
(syl_weight1 = light) and (nucleus_phoncat2 = L) and (sonority0 <= 10) and (sonority3 >= 13) => stress_class=paenultima (454.0/44.0)	454.0	44.0	0.903084	4syl	models-phon.txt
(comp_len <= 1) and (sonority0 <= 10) and (sonority0 >= 10) and (onset_len0 <= 0) and (nucleus_len0 <= 1) => stress_class=paenultima (450.0/23.0)	450.0	23.0	0.948889	3syl	models-numeric.txt
(sonority_ratio0 <= 4) and (sonority2 >= 10) and (sonority_ratio2 <= 4) and (sonority0 <= 11) => stress_class=sekunda (447.0/197.0)	447.0	197.0	0.559284	5syl	models-sonority.txt
(comp_len <= 1) and (cv_ratio0 >= 2) and (sonority0 <= 11) and (sonority0 >= 11) and (koda_len1 >= 1) and (nucleus_len2 <= 1) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) => stress_class=paenultima (435.0/12.0)	435.0	12.0	0.972414	3syl	models-numeric.txt
(nucleus_len2 >= 2) and (syl_cv1 = CVV) and (koda_len2 >= 1) => stress_class=ultima (428.0/80.0)	428.0	80.0	0.813084	3syl	models-sylstruct.txt
(suffix_phoncat4 = LCKC) and (suffix5 = ieren) and (prae_class = ø) => stress_class=paenultima (426.0/4.0)	426.0	4.0	0.99061	4syl	models-affix.txt
(sonority_dir >= 1) and (sonority_ratio2 >= 4) and (sonority3 >= 13) and (sonority3 <= 13) => stress_class=paenultima (425.0/106.0)	425.0	106.0	0.750588	4syl	models-sonority.txt
(syl_weight3 = light) and (syl_open2 = o) and (syl_weight2 = light) and (syl_weight1 = light) and (syl_open0 = o) => stress_class=ultima (416.0/207.0)	416.0	207.0	0.502404	4syl	models-weight.txt
(syl_len0 <= 2) and (nucleus_len1 >= 2) and (onset_len0 >= 1) and (onset_len2 >= 1) => stress_class=paenultima (412.0/113.0)	412.0	113.0	0.725728	3syl	models-numeric.txt
(comp_len <= 1) and (sonority0 <= 10) and (nucleus_phoncat2 = L) and (syl_weight1 = light) and (sonority1 <= 10) and (onset_phoncat3 = C) => stress_class=paenultima (398.0/37.0)	398.0	37.0	0.907035	4syl	models-all.txt
(prae_class = noacc) => stress_class=antepaenultima (392.0/2.0)	392.0	2.0	0.994898	4syl	models-sparse.txt
(prae_class = noacc) => stress_class=antepaenultima (392.0/2.0)	392.0	2.0	0.994898	4syl	models-praefix.txt
(prae_class = noacc) => stress_class=antepaenultima (392.0/2.0)	392.0	2.0	0.994898	4syl	models-all.txt
(prae_class = noacc) => stress_class=antepaenultima (390.0/2.0)	390.0	2.0	0.994872	4syl	models-affix.txt
(syl_suffix = ø) and (comp_len <= 1) and (syl_weight2 = heavy) and (syl_weight1 = light) => stress_class=ultima (382.0/74.0)	382.0	74.0	0.806283	3syl	models-all.txt
(sonority0 <= 11) and (syl_weight1 = light) and (syl_open0 = o) and (syl_phoncat0 = CL) and (onset_phoncat2 = C) and (nucleus_phoncat2 = K) => stress_class=paenultima (378.0/103.0)	378.0	103.0	0.727513	3syl	models-phon.txt
(sonority0 <= 10) and (syl_weight1 = light) and (sonority0 >= 10) and (nucleus_phoncat0 = K) and (sonority_ratio0 >= 5) => stress_class=paenultima (370.0/31.0)	370.0	31.0	0.916216	3syl	models-phon.txt
(syl_len0 <= 2) and (nucleus_len2 >= 2) and (nucleus_len1 >= 2) and (syl_cv3 = CVC) and (syl_len1 <= 3) => stress_class=paenultima (364.0/39.0)	364.0	39.0	0.892857	4syl	models-sylstruct.txt
(nucleus_phoncat2 = L) and (syl_phoncat1 = CL) and (koda_phoncat2 = C) => stress_class=ultima (359.0/60.0)	359.0	60.0	0.832869	3syl	models-phoncat.txt
(comp_len <= 1) and (sonority0 <= 10) and (syl_weight1 = light) and (prae_class = ø) and (syl_weight3 = schwa) => stress_class=paenultima (359.0/50.0)	359.0	50.0	0.860724	4syl	models-sparse.txt
(syl_phoncat0 = L) and (syl_phoncat1 = CKC) => stress_class=paenultima (342.0/150.0)	342.0	150.0	0.561404	4syl	models-phoncat.txt
(comp_len <= 1) and (suffix_phoncat4 = LCKC) and (sonority4 >= 13) and (prae_class = ø) => stress_class=paenultima (341.0/5.0)	341.0	5.0	0.985337	5syl	models-all.txt
(nucleus_phoncat1 = L) and (sonority0 <= 11) and (nucleus_phoncat0 = K) and (sonority_ratio0 >= 3) and (syl_open1 = c) => stress_class=ultima (339.0/120.0)	339.0	120.0	0.646018	2syl	models-phon.txt
